"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","286764","Anacardiaceae","Toxicodendron diversilobum","poison oak","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 138 to 139","43.4137","-123.3272","","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","327860","Anacardiaceae","Toxicodendron diversilobum","poison oak","Morse, K.","","3 July 2007","2007","Josephine","Deer Creek Center - North","42.3038","-123.6594","456","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","292418","Anacardiaceae","Toxicodendron diversilobum","poison oak","Wilson, B.","","2002","2002","Hood River","I-84, mile 61 to 62","45.7090","-121.5609","","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","381521","Anacardiaceae","Toxicodendron diversilobum","poison oak","Wilson, B., Brainerd, R., Otting, N.","","30 April 2009","2009","Douglas","Rice Valley quince site","43.5204","-123.3187","197","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","405593","Anacardiaceae","Toxicodendron diversilobum","poison oak","Wilson, B.","","10 July 2011","2011","Benton","Jackson-Frazier Wetland","44.6041","-123.2401","66","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","405282","Anacardiaceae","Toxicodendron diversilobum","poison oak","Wilson, B., Brainerd, R.","","28 June 2011","2011","Douglas","North Bank Habitat Management Area, east entrance","43.3166","-123.2002","202","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","329264","Anacardiaceae","Toxicodendron diversilobum","poison oak","Morse, K.","","25 July 2007","2007","Josephine","Deer Creek Center - South","42.2798","-123.6518","382","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","327020","Anacardiaceae","Toxicodendron diversilobum","poison oak","Morse, K.","","1 June 2007","2007","Josephine","Deer Creek Center - North","42.2930","-123.6539","456","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","414323","Anacardiaceae","Toxicodendron diversilobum","poison oak","Newhouse, B.","","20 February 2006","2006","Lane","SE Springfield Private Site in T18S R02W","44.0291","-122.9193","","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","319642","Anacardiaceae","Toxicodendron diversilobum","poison oak","Otting, N., Wilson, B.","","2 May 2007","2007","Douglas","Road 17","42.8767","-123.5483","298","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","412818","Anacardiaceae","Toxicodendron diversilobum","poison oak","Newhouse, B.","","2011","2011","Lane","Berggren Watershed Conservation Area","44.0649","-122.8989","155","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","206395","Anacardiaceae","Toxicodendron diversilobum","poison oak","Bluhm, W., Savage, J.","","June 2004","2004","Marion","Joryville County Park","44.8561","-123.0789","244","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","366338","Anacardiaceae","Toxicodendron diversilobum","poison oak","Harvey, T.","","2005 - 2010","2005","Douglas","Big Squaw Mountain - Harvey","43.1425","-122.7651","1219","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","355194","Anacardiaceae","Toxicodendron diversilobum","poison oak","Wilson, B., Otting, N.","","2 July 2008","2008","Douglas","Boomer Hill, pond in S27","43.0186","-123.3919","583","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","229063","Anacardiaceae","Toxicodendron diversilobum","poison oak","Wilson, B.","","2002 - 2004","2002","Wasco","Rest area on eastbound I-84 at Memaloose State Park","45.6947","-121.3448","91","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","415385","Anacardiaceae","Toxicodendron diversilobum","poison oak","Newhouse, B.","","2004","2004","Benton","BLM Maxfield - Section 19 Oak fringe of meadows","44.6869","-123.3473","","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","415544","Anacardiaceae","Toxicodendron diversilobum","poison oak","Newhouse, B.","","2007","2007","Benton","Blake Homestead, OSU Prairie","44.6708","-123.2248","110","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","323330","Anacardiaceae","Toxicodendron rydbergii","poison ivy","Otting, N., Wilson, B.","","23 July 2007","2007","Gilliam","seep, base of Philippi Canyon","45.6868","-120.4865","104","","","Toxicodendron rydbergii (Small ex Rydb.) Greene "
"observation","286392","Anacardiaceae","Toxicodendron diversilobum","poison oak","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 153 to 154","43.5977","-123.2384","","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","327476","Anacardiaceae","Toxicodendron diversilobum","poison oak","Morse, K.","","12 May 2007","2007","Josephine","Deer Creek Center - North","42.2981","-123.6583","456","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","413180","Anacardiaceae","Toxicodendron diversilobum","poison oak","Newhouse, B.","","2010 - 2012","2010","Lane","Coyote-Spencer Wetlands, Eugene","44.0113","-123.2633","","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","355405","Anacardiaceae","Toxicodendron diversilobum","poison oak","Wilson, B., Otting, N.","","4 July 2008","2008","Douglas","Roseburg: Garden Valley Mall","43.2337","-123.3754","","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","351917","Anacardiaceae","Toxicodendron diversilobum","poison oak","Wilson, B.","","2008","2008","Douglas","Cabin Creek Rest Area, southbound","43.4766","-123.3193","","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","412247","Anacardiaceae","Toxicodendron diversilobum","poison oak","Newhouse, B.","","September 2010","2010","Douglas","Devils Staircase Proposed Wilderness","43.7545","-123.8506","137","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"observation","327469","Anacardiaceae","Toxicodendron diversilobum","poison oak","Morse, K.","","3 May 2007","2007","Josephine","Deer Creek Center - North","42.2979","-123.6522","456","","","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"image","dig37701","Anacardiaceae","Rhus aromatica","lemonade sumac, skunkbush","Mason London","","June 23, 2014","2014","Jackson","Deman ODFW hunting preserve; [Central Point].; 42.45716&#176; N -122.85839&#176; W","42.4572","-122.8584","","","","Rhus aromatica Aiton "
