"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","364322","Apiaceae","Daucus pusillus","American carrot, rattlesnake weed","Bluhm, W., BLM Botanist","","2004 - 2006","2004","Coos","New River ACEC","42.9745","-124.4623","","","","Daucus pusillus Michx. "
"observation","407023","Apiaceae","Anthriscus caucalis","bur chervil, beaked parsley","Wilson, B.","","12 May 2012","2012","Benton","South part of Luckiamute Landing","44.7159","-123.1618","61","","","Anthriscus caucalis M. Bieb. "
"image","dig39047","Apiaceae","Lomatium ochocense","Ochoco lomatium","Gerald D. Carr","","April 30, 2014","2014","Crook","Sensitive species - location undisclosed","44.2000","-120.2000","1385","","","Lomatium ochocense Helliwell & Constance ex Helliwell "
"observation","180448","Apiaceae","Daucus pusillus","American carrot, rattlesnake weed","Koenig, J.","","22 May 2002","2002","Lane","Jims Oak Patch Oak Habitat Inventory","43.5004","-122.4263","686","","","Daucus pusillus Michx. "
"observation","311553","Apiaceae","Ligusticum apiifolium","celery leaved lovage, parsley leaved lovage","Brainerd, R., Newhouse, B., Otting, N.","","2005","2005","Lane","North Taylor","44.1378","-123.2937","102","","","Ligusticum apiifolium (Nutt.) A. Gray "
"observation","298209","Apiaceae","Heracleum maximum","cow parsnip","Brainerd, R., Wilson, B.","","30 June 2005","2005","Linn","Blagen Road","44.3195","-122.9275","","","","Heracleum maximum W. Bartram "
"observation","152066","Apiaceae","Sanicula bipinnatifida","purple sanicle, purple snakeroot","Heinze, D.","","1 May 2003","2003","Josephine","Illinois River Canyon","42.3773","-123.8116","276","forest, herbland, savanna","","Sanicula bipinnatifida Douglas ex Hook. "
"image","dig28196","Apiaceae","Lomatium peckianum","Peck's desert parsley","Gerald D. Carr","","May 25, 2011","2011","Lake","Warner Pass, SR 140, 4.7 mi. southeast of junction with Highway 395, northeast of Lakeview; 1786m","42.2333","-120.2920","1786","","","Lomatium peckianum Mathias & Constance "
"observation","386464","Apiaceae","Torilis arvensis","field hedgeparsley","Wilson, B.","","30 July 2010","2010","Linn","Freeway Lakes County Park","44.5909","-123.0600","68","","","Torilis arvensis (Huds.) Link "
"observation","352231","Apiaceae","Torilis arvensis","field hedgeparsley","Wilson, B.","","2008","2008","Polk","Luckiamute Landing","44.7390","-123.1435","50","","","Torilis arvensis (Huds.) Link "
"observation","302273","Apiaceae","Heracleum maximum","cow parsnip","Harvey, T.","","2004 - 2010","2004","Marion","Whetstone Mountain Trail: Harvey","44.8661","-122.2021","1204","","","Heracleum maximum W. Bartram "
"observation","306492","Apiaceae","Heracleum maximum","cow parsnip","Wilson, B., Brainerd, R.","","10 August 2006","2006","Benton","Rock Creek Watershed: intersection of road 3405 and unnumbered side road that crosses the creek","44.5121","-123.4598","","","","Heracleum maximum W. Bartram "
"observation","420300","Apiaceae","Heracleum maximum","cow parsnip","Harvey, T.","","2004 - 2011","2004","Douglas","Abbott Butte","42.9321","-122.5699","1637","","","Heracleum maximum W. Bartram "
"observation","301007","Apiaceae","Lomatium triternatum","nineleaf biscuitroot, Packard's lomatium, broad fruit lomatium, broad nineleaf lomatium","Bluhm, W.","","28 June 2006","2006","Jefferson","Green Ridge","44.4376","-121.6019","1280","","","Lomatium triternatum (Pursh) J.M. Coult. & Rose "
"observation","418066","Apiaceae","Torilis arvensis","field hedgeparsley","Salix Associates","","2009","2009","Lane","East Ridgeline Extension Survey, Eugene","43.9987","-123.0432","194","","","Torilis arvensis (Huds.) Link "
"observation","322699","Apiaceae","Daucus carota","wild carrot, Queen Anne's lace","Otting, N., Wilson, B.","","21 June 2007","2007","Douglas","Elk Creek crossing","42.9006","-122.9310","386","","","Daucus carota L. "
"observation","286618","Apiaceae","Conium maculatum","poison hemlock","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 143 to 144","43.4783","-123.3208","","","","Conium maculatum L. "
"observation","330195","Apiaceae","Daucus carota","wild carrot, Queen Anne's lace","Wilson, B., Otting, N.","","3 October 2007","2007","Douglas","Ridge Road, T30S R8W S33","42.9178","-123.6475","831","","","Daucus carota L. "
"image","dig24895","Apiaceae","Lomatium piperi","Piper's desert parsley, Indian biscuitroot","Gerald D. Carr","","March 30, 2010","2010","Wasco","Tygh Ridge Road, 1.0 mi. southeast of junction with Highway 197, 9 mi. south of Dufur; 771m; 45.3349&#176; N -121.13428&#176; W","45.3349","-121.1343","771","","","Lomatium piperi J.M. Coult. & Rose "
