binomial,count
Angelica arguta,57
Angelica genuflexa,49
Angelica hendersonii,12
Angelica lucida,8
Anthriscus caucalis,52
Anthriscus sylvestris,1
Cicuta douglasii,43
Conium maculatum,164
Daucus carota,705
Daucus pusillus,18
Eryngium alismifolium,1
Eryngium articulatum,2
Eryngium petiolatum,12
Foeniculum vulgare,53
Glehnia littoralis,6
Heracleum mantegazzianum,1
Heracleum maximum,288
Ligusticum apiifolium,61
Ligusticum grayi,71
Lilaeopsis occidentalis,8
Lomatium bradshawii,5
Lomatium columbianum,8
Lomatium cookii,1
Lomatium cous,1
Lomatium dissectum,29
Lomatium engelmannii,1
Lomatium farinosum,1
Lomatium hallii,39
Lomatium hendersonii,1
Lomatium howellii,6
Lomatium leptocarpum,2
Lomatium macrocarpum,28
Lomatium martindalei,48
Lomatium nevadense,3
Lomatium nudicaule,66
Lomatium papilioniferum,1
Lomatium piperi,4
Lomatium triternatum,31
Lomatium utriculatum,55
Lomatium vaginatum,1
Oenanthe sarmentosa,52
Orogenia fusiformis,19
Osmorhiza berteroi,230
Osmorhiza occidentalis,39
Osmorhiza purpurea,21
Oxypolis occidentalis,12
Pastinaca sativa,2
Perideridia bolanderi,7
Perideridia erythrorhiza,1
Perideridia howellii,2
Perideridia montana,27
Perideridia oregana,19
Pimpinella saxifraga,5
Sanicula arctopoides,1
Sanicula bipinnatifida,42
Sanicula crassicaulis,116
Sanicula graveolens,56
Scandix pecten-veneris,9
Sium suave,3
Sphenosciadium capitellatum,12
Tauschia glauca,1
Tauschia howellii,1
Tauschia stricklandii,1
Torilis arvensis,111
Yabea microcarpa,5
