"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","321604","Apocynaceae","Asclepias fascicularis","narrowleaf milkweed","Otting, N., Mitchell, K., Wilson, B.","","7 June 2007","2007","Sherman","Hwy 206 Rubus site, 1/4 mile E of Deschutes River Recreation Area campground entrance","45.6357","-120.9032","56","","","Asclepias fascicularis Duchesne "
"observation","170403","Apocynaceae","Apocynum × floribundum","western dogbane","Boyer, L.","","2002","2002","Lane","Vicinity of Eugene","44.1249","-123.3052","","","","Apocynum × floribundum Greene "
"observation","415015","Apocynaceae","Apocynum androsaemifolium","dogbane","Newhouse, B.","","2004","2004","Benton","BLM Maxfield - Section 19 Middle Meadow","44.6905","-123.3524","478","","","Apocynum androsaemifolium L. "
"observation","199325","Apocynaceae","Apocynum androsaemifolium","dogbane","Harvey, T.","","4 July 2003","2003","Linn","Bugaboo Ridge Trail","44.6331","-122.0028","1280","","","Apocynum androsaemifolium L. "
"observation","370796","Apocynaceae","Apocynum androsaemifolium","dogbane","Harvey, T.","","2004 - 2013","2004","Douglas","Reynolds Ridge to Grassy Ranch","43.4003","-122.5386","1524","","","Apocynum androsaemifolium L. "
"observation","171593","Apocynaceae","Asclepias speciosa","showy milkweed, Greek milkweed","Bluhm, W.","","2005","2005","Josephine","$8 Mountain to Onion Camp","42.2353","-123.7093","","","","Asclepias speciosa Torr. "
"image","dig8336","Apocynaceae","Asclepias cordifolia","purple milkweed","Gerald D. Carr","","June 12, 2007","2007","Josephine","NFDR 011, ca. 2.6 mi. northwest of O'Brien; 42.08493&#176; N -123.7317&#176; W","42.0849","-123.7317","","","","Asclepias cordifolia (Benth.) Jeps. "
"observation","294952","Apocynaceae","Vinca major","greater periwinkle","Wilson, B.","","9 June 2003","2003","Jackson","Lithia Park","42.1889","-122.7162","","","","Vinca major L. "
"observation","206240","Apocynaceae","Apocynum androsaemifolium","dogbane","ODA staff","","2004","2004","Lane","McGowan Prairie","44.1770","-122.9960","610","","","Apocynum androsaemifolium L. "
"observation","289502","Apocynaceae","Asclepias fascicularis","narrowleaf milkweed","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 32 to 33","42.3758","-122.9010","","","","Asclepias fascicularis Duchesne "
