"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","310964","Araceae","Lysichiton americanus","skunk cabbage","Brainerd, R., Newhouse, B.","","2 June 2005","2005","Lane","Cedar Creek Site","43.7087","-123.1161","544","","","Lysichiton americanus Hultén & H. St. John "
"observation","417608","Araceae","Lemna minor","common duckweed","NPSO - Portland","","2013","2013","Columbia or Multnomah","Sauvie Island: Two small ponds by oxbow","45.7508","-122.8172","","","","Lemna minor L. "
"observation","384461","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","28 March 2010","2010","Lincoln","Holly-Ivy list 19: Road 229","44.6617","-123.9499","6","","","Lysichiton americanus Hultén & H. St. John "
"observation","408485","Araceae","Lemna minor","common duckweed","Wilson, B., Otting, N.","","19 July 2012","2012","Harney","Malheur National Wildlife Refuge, Central Patrol Road 2, pond","42.8661","-118.8897","1272","","","Lemna minor L. "
"observation","361772","Araceae","Lysichiton americanus","skunk cabbage","Bluhm, W.","","2004 - 2006","2004","Curry","Harris Beach State Park, Brookings","42.0713","-124.3085","0","","","Lysichiton americanus Hultén & H. St. John "
"observation","417566","Araceae","Lemna minor","common duckweed","NPSO - Portland","","2013","2013","Columbia or Multnomah","Sauvie Island: Lost Lagoon","45.7508","-122.8172","","","","Lemna minor L. "
"observation","303773","Araceae","Lysichiton americanus","skunk cabbage","Newhouse, B.","","August 2005","2005","Lane","East side of Happy Lake","43.5419","-122.1939","1615","","","Lysichiton americanus Hultén & H. St. John "
"observation","10096573","Araceae","Landoltia punctata","dotted duckweed","N.J. Otting","","23 September 2010","2010","Grant","Unaccessioned specimen: Otting, N. #3057","44.7322","-118.8345","1026","Pond in placer mine tailings.","","Landoltia punctata (G. Mey.) Les & D.J. Crawford "
"observation","396966","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","7 July 2008","2008","Lane","Highway 58, mile post 27 to 28","43.8067","-122.5696","","","","Lysichiton americanus Hultén & H. St. John "
"observation","300720","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2005 - 2013","2005","Clackamas","Cache Meadows","45.1367","-121.9994","1234","","","Lysichiton americanus Hultén & H. St. John "
"observation","423406","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2013","2013","Lane","Rigdon Meadow and Sacandaga Campground","43.4920","-122.3409","741","","","Lysichiton americanus Hultén & H. St. John "
"observation","378762","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2009 - 2013","2009","Lane","Warfield Bog and Wetlands","43.6347","-122.2423","1494","","","Lysichiton americanus Hultén & H. St. John "
"image","dig6974","Araceae","Lysichiton americanus","skunk cabbage","Aaron Irving Liston","","","2002","Lincoln","Cape Perpetua","44.2872","-124.1139","","","","Lysichiton americanus Hultén & H. St. John "
"observation","393872","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B., Otting, N.","","27 June 2010","2010","Lincoln","Highway 101, mile post 143 to 144","44.6042","-124.0555","","","","Lysichiton americanus Hultén & H. St. John "
"observation","369762","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2013","2013","Linn","Ikenick Creek","44.3672","-122.1400","1030","","","Lysichiton americanus Hultén & H. St. John "
"observation","377819","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2008 - 2010","2008","Lane","Youngs Flat Camp picnic area","43.5205","-122.4399","558","","","Lysichiton americanus Hultén & H. St. John "
"observation","303054","Araceae","Lysichiton americanus","skunk cabbage","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Dillon Lake","44.0285","-121.9701","1227","","","Lysichiton americanus Hultén & H. St. John "
"observation","403057","Araceae","Lemna minor","common duckweed","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Lemna minor L. "
"observation","308642","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","7 September 2006","2006","Coos","Bradley Lake Boat Ramp","43.0634","-124.4230","17","","","Lysichiton americanus Hultén & H. St. John "
"observation","316208","Araceae","Lysichiton americanus","skunk cabbage","Salix Associates","","30 August 2006","2006","Lane","Elk Meadows, Mink Lake Basin","43.9589","-121.9207","1422","","","Lysichiton americanus Hultén & H. St. John "
"observation","304099","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","1 May 2005","2005","Linn","Sahalie Falls, parking lot to falls","44.3492","-121.9958","","","","Lysichiton americanus Hultén & H. St. John "
"observation","409209","Araceae","Lemna minor","common duckweed","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","26 July 2012","2012","Benton","Tripp Greenway, island in river","44.6091","-123.1869","","","","Lemna minor L. "
"observation","394559","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B., Otting, N., Coberly, C.","","2009","2009","Linn","Highway 20, Albany to Sisters, mile post 38 to 39","44.4002","-122.5426","","","","Lysichiton americanus Hultén & H. St. John "
"observation","419401","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2002 - 2013","2002","Lane","Saddleblanket Mountain and wetlands","43.9030","-122.5191","1311","","","Lysichiton americanus Hultén & H. St. John "
"observation","318201","Araceae","Wolffia columbiana","Columbia water meal","BLM Botanist","","2007","2007","Polk","Sensitive species - location undisclosed","44.8000","-123.4000","","","","Wolffia columbiana H. Karst. "
"observation","331075","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","26 April 2008","2008","Lane","Sutton Lake Boat Launch","44.0511","-124.0960","12","","","Lysichiton americanus Hultén & H. St. John "
"observation","302895","Araceae","Lysichiton americanus","skunk cabbage","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadow immediately west of Cedar Swamp","44.0341","-121.9575","1169","","","Lysichiton americanus Hultén & H. St. John "
"observation","417620","Araceae","Spirodela polyrrhiza","greater duckweed","NPSO - Portland","","2013","2013","Columbia or Multnomah","Sauvie Island: Dillion Slough","45.7508","-122.8172","","","","Spirodela polyrrhiza (L.) Schleid. "
"image","dig35705","Araceae","Lemna minor","common duckweed","Gerald D. Carr","","August 1, 2013","2013","Grant","NFD Rd. 757, 0.4 mi. E of Soda Spring (Hwy 395), S of Seneca; 1436m; 44.10418&#176; N -118.94933&#176; W","44.1042","-118.9493","1436","","","Lemna minor L. "
"image","dig6986","Araceae","Lysichiton americanus","skunk cabbage","Aaron Irving Liston","","","2002","Lincoln","Cape Perpetua","44.2872","-124.1139","","","","Lysichiton americanus Hultén & H. St. John "
"observation","386212","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","13 July 2010","2010","Lincoln","Yachats Loop Road","44.3053","-124.1060","3","","","Lysichiton americanus Hultén & H. St. John "
"observation","413032","Araceae","Arum italicum","Italian arum, Italian lords-and-ladies","Newhouse, B.","","2011","2011","Lane","Clearwater Park","44.0296","-122.9421","146","","","Arum italicum Mill. "
"observation","420767","Araceae","Lemna minor","common duckweed","Harvey, T.","","2004 - 2011","2004","Douglas","Hemlock Lake","43.1770","-122.7063","1356","","","Lemna minor L. "
"observation","304370","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","30 April 2006","2006","Lincoln","Rocky Creek State Park","44.7856","-124.0712","23","","","Lysichiton americanus Hultén & H. St. John "
"observation","418487","Araceae","Lemna minor","common duckweed","Maze, D.","","5 August 2013","2013","Multnomah","Birkland Property","45.4773","-122.7433","","","","Lemna minor L. "
"observation","379702","Araceae","Dracunculus vulgaris","dragon arum, voodoo lily","Bluhm, W.","","August 2010","2010","Columbia","Nob Hill Nature Park","45.8579","-122.7990","17","","","Dracunculus vulgaris Schott "
"observation","424015","Araceae","Lysichiton americanus","skunk cabbage","Newhouse, B., Brainerd, R.","","25 August 2007","2007","Lane","Erma Bell Lake Basin Meadow #45","43.8405","-122.0335","1420","","","Lysichiton americanus Hultén & H. St. John "
"observation","226149","Araceae","Lysichiton americanus","skunk cabbage","Mt. Hood NF botanist","","1 August 2002","2002","Clackamas","Mazama Lodge Trail","45.3120","-121.7360","1219","","","Lysichiton americanus Hultén & H. St. John "
"observation","413830","Araceae","Lysichiton americanus","skunk cabbage","Brainerd, R., Newhouse, B.","","2010","2010","Lane","Fall Creek Reservoir","43.9515","-122.7030","209","","","Lysichiton americanus Hultén & H. St. John "
"observation","299021","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","15 July 2005","2005","Lincoln","East Devil's Lake","44.9679","-123.9962","","","","Lysichiton americanus Hultén & H. St. John "
"observation","387844","Araceae","Lemna minor","common duckweed","Wilson, B., Otting, N.","","28 September 2010","2010","Baker","Deer Creek, Burnt River Canyon","44.5757","-117.6481","1189","","","Lemna minor L. "
"observation","383999","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","20 February 2010","2010","Lincoln","Highway 229, near junction with Elmer Miller Road","44.8578","-123.9752","34","","","Lysichiton americanus Hultén & H. St. John "
"image","dig6982","Araceae","Lysichiton americanus","skunk cabbage","Aaron Irving Liston","","","2002","Lincoln","Cape Perpetua","44.2872","-124.1139","","","","Lysichiton americanus Hultén & H. St. John "
"observation","181445","Araceae","Lysichiton americanus","skunk cabbage","Simpson, C., Harvey, T.","","20 September 2002","2002","Lane","Groundhog Mountain/Little Groundhog Mountain area","43.5781","-122.3402","1622","","","Lysichiton americanus Hultén & H. St. John "
"observation","302738","Araceae","Lysichiton americanus","skunk cabbage","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadow North of Cedar Swamp","44.0451","-121.9577","1199","","","Lysichiton americanus Hultén & H. St. John "
"observation","369067","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2006 - 2013","2006","Lane","Heckletooth Mountain","43.7466","-122.3622","759","","","Lysichiton americanus Hultén & H. St. John "
"observation","384516","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","18 April 2010","2010","Benton","Fort Hoskins Park","44.6756","-123.4632","152","","","Lysichiton americanus Hultén & H. St. John "
"observation","202327","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2003 - 2010","2003","Linn","Three Pyramids - Harvey","44.4976","-122.0786","1167","","","Lysichiton americanus Hultén & H. St. John "
"observation","300437","Araceae","Lemna minor","common duckweed","Olson, B.B., Maffitt, V.","","23 June 2005","2005","Washington","Tualatin Wildlife Refuge","45.3677","-122.8363","","","","Lemna minor L. "
"observation","424426","Araceae","Lysichiton americanus","skunk cabbage","Newhouse, B., Brainerd, R.","","11 August 2007","2007","Lane","Meadow North of Upper Salmon Lake","43.7579","-122.1059","1494","","","Lysichiton americanus Hultén & H. St. John "
"observation","374350","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2007 - 2013","2007","Clackamas","Anvil Lake and Black Wolf Meadows","45.1513","-121.8567","1225","","","Lysichiton americanus Hultén & H. St. John "
"observation","384874","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","19 April 2010","2010","Lincoln","Coast Range list 32: Beaver Creek Road at junction with Steer Creek Road","44.7170","-123.6720","148","","","Lysichiton americanus Hultén & H. St. John "
"observation","141650","Araceae","Lysichiton americanus","skunk cabbage","Cole, Gl.","","22 June 2002","2002","Linn","Quentin Creek Roadless Area","44.3090","-122.2406","640","forest","","Lysichiton americanus Hultén & H. St. John "
"observation","387780","Araceae","Lemna minor","common duckweed","Wilson, B., Otting, N.","","27 September 2010","2010","Baker","Highway 7 between mile posts 11 and 12, at Burnt River","44.6688","-118.3756","1317","","","Lemna minor L. "
"image","dig13078","Araceae","Lysichiton americanus","skunk cabbage","Keir Morse","","April 26, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I069; 42.2731270376&#176; N -123.642884653&#176; W","42.2731","-123.6429","","","","Lysichiton americanus Hultén & H. St. John "
"observation","297625","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","30 April 2005","2005","Lane","Cape Perpetua, Giant Spruce Trail","44.2814","-124.1053","","","","Lysichiton americanus Hultén & H. St. John "
"observation","328402","Araceae","Lysichiton americanus","skunk cabbage","Morse, K.","","26 April 2007","2007","Josephine","Deer Creek Center - South","42.2731","-123.6429","382","","","Lysichiton americanus Hultén & H. St. John "
"observation","336856","Araceae","Lemna minor","common duckweed","BLM Botanist","","17 May 2006","2006","Crook","19S 21E 06","43.9518","-120.2485","","","","Lemna minor L. "
"observation","311962","Araceae","Lemna minor","common duckweed","Brainerd, R., Newhouse, B., Lytjen, D., Otting, N.","","2004","2004","Lane","Green Island - Brainerd, Newhouse, Lytjen, Otting","44.1596","-123.1255","","","","Lemna minor L. "
"image","dig6983","Araceae","Lysichiton americanus","skunk cabbage","Aaron Irving Liston","","","2002","Lincoln","Cape Perpetua","44.2872","-124.1139","","","","Lysichiton americanus Hultén & H. St. John "
"observation","380270","Araceae","Lysichiton americanus","skunk cabbage","Bluhm, W., Myers, E.","","August 2010","2010","Marion","South Breitenbush Gorge Trail 3366","44.7672","-121.9321","744","","","Lysichiton americanus Hultén & H. St. John "
"observation","355171","Araceae","Lemna minor","common duckweed","Wilson, B., Otting, N.","","2 July 2008","2008","Douglas","Boomer Hill, pond in S27","43.0186","-123.3919","583","","","Lemna minor L. "
"observation","407528","Araceae","Lemna minor","common duckweed","Wilson, B., Otting, N.","","17 June 2012","2012","Crook","Springs west of Liggat Table","44.0522","-120.1248","1191","","","Lemna minor L. "
"observation","316370","Araceae","Lysichiton americanus","skunk cabbage","Salix Associates","","29 August 2006","2006","Lane","Cabin Meadow, Mink Lake Basin","43.9482","-121.9155","1462","","","Lysichiton americanus Hultén & H. St. John "
"observation","403946","Araceae","Wolffia columbiana","Columbia water meal","ORBIC","","25 August 2010","2010","Lane","Sensitive species - location undisclosed","44.1000","-123.1000","122","","","Wolffia columbiana H. Karst. "
"image","dig35706","Araceae","Lemna minor","common duckweed","Gerald D. Carr","","August 1, 2013","2013","Grant","NFD Rd. 757, 0.4 mi. E of Soda Spring (Hwy 395), S of Seneca; 1436m; 44.10418&#176; N -118.94933&#176; W","44.1042","-118.9493","1436","","","Lemna minor L. "
"observation","406818","Araceae","Lemna minor","common duckweed","Wilson, B., Otting, N.","","15 September 2011","2011","Grant","Summit Creek reach 2 plot 4","44.1107","-118.5844","1481","","","Lemna minor L. "
"observation","302678","Araceae","Lysichiton americanus","skunk cabbage","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadow about 2 miles NW of Cedar Swamp","44.0646","-121.9814","1210","","","Lysichiton americanus Hultén & H. St. John "
"observation","10096594","Araceae","Lemna trisulca","star duckweed","N.J. Otting","","29 September 2011","2011","Grant","Unaccessioned specimen: Otting, N. #3360","44.1519","-118.4589","","Submersed in 30 cm of water in low-gr...","","Lemna trisulca L. "
"observation","304207","Araceae","Arum italicum","Italian arum, Italian lords-and-ladies","Wilson, B.","","18 March 2006","2006","Multnomah","north end of Oak Bottoms Wildlife Refuge","45.4870","-122.6500","12","","","Arum italicum Mill. "
"observation","316659","Araceae","Lysichiton americanus","skunk cabbage","Salix Associates","","30 August 2006","2006","Lane","Cow Swamp, Mink Lake Basin","43.9498","-121.9752","1405","","","Lysichiton americanus Hultén & H. St. John "
"observation","306048","Araceae","Lysichiton americanus","skunk cabbage","Coberly, C., Mitchell, K., Wilson, B., Brainerd, R.","","17 July 2006","2006","Coos","Muddy Lake, East side of NE corner","42.9906","-124.4528","4","","","Lysichiton americanus Hultén & H. St. John "
"observation","316038","Araceae","Lysichiton americanus","skunk cabbage","Salix Associates","","9 September 2006","2006","Lane","Spring Prairie","43.8205","-122.2194","1433","","","Lysichiton americanus Hultén & H. St. John "
"observation","311286","Araceae","Spirodela polyrrhiza","greater duckweed","Brainerd, R.","","12 August 2005","2005","Lane","Hult Marsh","44.2501","-123.4958","253","","","Spirodela polyrrhiza (L.) Schleid. "
"observation","412502","Araceae","Lemna minor","common duckweed","Newhouse, B., Brainerd, R.","","July 2007","2007","Benton","Herbert Farm and Natural Area, Open Space Park","44.5198","-123.2956","","","","Lemna minor L. "
"observation","309509","Araceae","Lemna minor","common duckweed","Salix Associates","","June 2006","2006","Benton","Owens Farm","44.6143","-123.2487","","","","Lemna minor L. "
"image","dig6973","Araceae","Lysichiton americanus","skunk cabbage","Aaron Irving Liston","","","2002","Lincoln","Cape Perpetua","44.2872","-124.1139","","","","Lysichiton americanus Hultén & H. St. John "
"observation","321629","Araceae","Lemna minor","common duckweed","Otting, N., Mitchell, K., Wilson, B.","","7 June 2007","2007","Sherman","Gordon Ridge Road, stop 1","45.6055","-120.8467","306","","","Lemna minor L. "
"observation","303467","Araceae","Lysichiton americanus","skunk cabbage","Newhouse, B., Blakeley-Smith, M.","","11 August 2005","2005","Lane","Meadow 66; Southeast of Vivian Lake","43.5740","-122.1374","1753","","","Lysichiton americanus Hultén & H. St. John "
"observation","311731","Araceae","Lemna minor","common duckweed","Brainerd, R., Newhouse, B., Otting, N.","","2005","2005","Lane","South Taylor","44.1270","-123.2910","102","","","Lemna minor L. "
"observation","299656","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2003 - 2012","2003","Lane","Youngs Rock Trail","43.5349","-122.4005","610","","","Lysichiton americanus Hultén & H. St. John "
"observation","380781","Araceae","Lysichiton americanus","skunk cabbage","Bluhm, W., Savage, J., Kimmich, R.","","27 June 2009","2009","Yamhill","Yamhill Oaks Preserve","45.1802","-123.3722","91","","","Lysichiton americanus Hultén & H. St. John "
"observation","230465","Araceae","Lemna minor","common duckweed","Wilson, B.","","2002 - 2003","2002","Umatilla","Hermiston - Wilson","45.8404","-119.2895","","","","Lemna minor L. "
"observation","10096139","Araceae","Wolffia borealis","northern water meal","R.E. Brainerd","","24 July 2013","2013","Klamath","Sensitive species - location undisclosed","42.6000","-121.9000","1265","Floating in channel through marsh.","","Wolffia borealis (Engelm. ex Hegelm.) Landolt "
"observation","423260","Araceae","Lemna minor","common duckweed","Harvey, T.","","2013","2013","Linn","Parish Lake","44.5267","-122.0787","1088","","","Lemna minor L. "
"observation","381228","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","May 2009","2009","Lincoln","Moolack Beach","44.7023","-124.0613","5","","","Lysichiton americanus Hultén & H. St. John "
"observation","407465","Araceae","Lemna minor","common duckweed","Wilson, B., Otting, N.","","17 June 2012","2012","Crook","Eagle Rock, Crook County, across the road from the Rock itself","44.1937","-120.6395","1082","","","Lemna minor L. "
"observation","364477","Araceae","Lysichiton americanus","skunk cabbage","Bluhm, W., BLM Botanist","","2004 - 2006","2004","Coos","New River ACEC","42.9745","-124.4623","","","","Lysichiton americanus Hultén & H. St. John "
"observation","403194","Araceae","Wolffia brasiliensis","Brazilian water meal","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Wolffia brasiliensis Wedd. "
"observation","330517","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B., Otting, N.","","1 November 2007","2007","Hood River","Hwy 30, below I-84","45.6722","-121.8736","58","","","Lysichiton americanus Hultén & H. St. John "
"observation","408497","Araceae","Lemna minor","common duckweed","Wilson, B., Otting, N.","","19 July 2012","2012","Harney","Malheur National Wildlife Refuge, E-W road, S part","42.8240","-118.9091","1272","","","Lemna minor L. "
"observation","298036","Araceae","Lemna minor","common duckweed","Brainerd, R., Wilson, B.","","30 June 2005","2005","Lane","Mohawk Environmental Educational Area","44.1681","-122.9713","","","","Lemna minor L. "
"observation","370323","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2004 - 2007","2004","Linn","Monument Peak","44.6896","-122.3270","1219","","","Lysichiton americanus Hultén & H. St. John "
"observation","297715","Araceae","Lysichiton americanus","skunk cabbage","Newhouse, B., Wilson, B.","","14 June 2005","2005","Jackson","Cobleigh Road before bridge","42.5802","-122.6126","655","","","Lysichiton americanus Hultén & H. St. John "
"observation","368100","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2005 - 2012","2005","Lane","Fall Creek Trail","43.9825","-122.5007","396","","","Lysichiton americanus Hultén & H. St. John "
"observation","678","Araceae","Lemna minor","common duckweed","Wilson, B., Brainerd, R., Newhouse, B.","","22 August 2004","2004","Klamath","John Boyle Reservoir","42.1351","-122.0293","1219","","","Lemna minor L. "
"observation","179352","Araceae","Lysichiton americanus","skunk cabbage","Salix Associates","","2 July 2002","2002","Lane","Owl Creek Meadow","44.1595","-122.1561","","","","Lysichiton americanus Hultén & H. St. John "
"observation","302569","Araceae","Lysichiton americanus","skunk cabbage","Brainerd, R., Blakeley-Smith, M.","","August 2005","2005","Linn","meadow at Lake Anne","44.5712","-121.8735","1202","","","Lysichiton americanus Hultén & H. St. John "
"observation","328419","Araceae","Lysichiton americanus","skunk cabbage","Morse, K.","","11 May 2007","2007","Josephine","Deer Creek Center - South","42.2731","-123.6432","382","","","Lysichiton americanus Hultén & H. St. John "
"observation","305886","Araceae","Lemna minor","common duckweed","Coberly, C., Wilson, B.","","19 July 2006","2006","Coos","Lost Lake ACEC","43.0254","-124.4334","6","","","Lemna minor L. "
"image","dig26051","Araceae","Spirodela polyrrhiza","greater duckweed","Gerald D. Carr","","September 22, 2010","2010","Lane","Baker Beach Road, ca. 0.2 mi. west of Highway 101, ca. 5.3 mi. north of Heceta Junction; 6m; 44.08849&#176; N -124.11268&#176; W","44.0885","-124.1127","6","","","Spirodela polyrrhiza (L.) Schleid. "
"observation","325104","Araceae","Lysichiton americanus","skunk cabbage","BLM Botanist","","2006","2006","Tillamook","High Peak/Moon Creek Research Natural Area","45.3380","-123.6812","","","","Lysichiton americanus Hultén & H. St. John "
"observation","403825","Araceae","Wolffia columbiana","Columbia water meal","ORBIC","","10 September 2009","2009","Linn","Sensitive species - location undisclosed","44.4000","-122.6000","183","","","Wolffia columbiana H. Karst. "
"observation","321141","Araceae","Lemna minor","common duckweed","Otting, N., Wilson, B.","","21 May 2007","2007","Crook","Telephone Spring and the headwaters of Swamp Creek","44.1993","-120.2286","1463","","","Lemna minor L. "
"observation","207555","Araceae","Lysichiton americanus","skunk cabbage","Coquille Indian Tribe botanist","","2 July 2002","2002","Coos","Empire Watershed","43.3530","-124.2970","","","","Lysichiton americanus Hultén & H. St. John "
"observation","328345","Araceae","Lysichiton americanus","skunk cabbage","Morse, K.","","26 June 2007","2007","Josephine","Deer Creek Center - South","42.2727","-123.6427","382","","","Lysichiton americanus Hultén & H. St. John "
"observation","394680","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B., Otting, N., Coberly, C.","","2010","2010","Linn","Highway 20, Albany to Sisters, mile post 42 to 43","44.3959","-122.4678","","","","Lysichiton americanus Hultén & H. St. John "
"observation","405860","Araceae","Spirodela polyrrhiza","greater duckweed","Wilson, B., Otting, N.","","12 September 2011","2011","Grant","Trout Farm Campground","44.3051","-118.5527","1478","","","Spirodela polyrrhiza (L.) Schleid. "
"observation","323909","Araceae","Lemna minor","common duckweed","Brainerd, R., Otting, N., Wilson, B.","","10 August 2007","2007","Harney","Hines, near Best Western","43.5730","-119.0768","1268","","","Lemna minor L. "
"observation","353185","Araceae","Lysichiton americanus","skunk cabbage","Wilson, B.","","21 June 2008","2008","Douglas","Chief Miwaleta County Park","42.8505","-123.1605","587","","","Lysichiton americanus Hultén & H. St. John "
"observation","361574","Araceae","Arum italicum","Italian arum, Italian lords-and-ladies","Bluhm, W., Bluhm, J.","","25 May 2005","2005","Multnomah","Forest Park, Portland","45.5698","-122.7743","15","","","Arum italicum Mill. "
"observation","303137","Araceae","Lysichiton americanus","skunk cabbage","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadow South of Cedar Swamp","44.0259","-121.9436","1203","","","Lysichiton americanus Hultén & H. St. John "
"observation","365084","Araceae","Lysichiton americanus","skunk cabbage","Bluhm, W., Myers, E.","","2008 - 2010","2008","Marion","Shellburg Falls Recreation Area","44.8169","-122.6109","381","","","Lysichiton americanus Hultén & H. St. John "
"observation","311155","Araceae","Lysichiton americanus","skunk cabbage","Brainerd, R.","","5 July 2005","2005","Lane","Fall Creek","43.5275","-122.9318","427","","","Lysichiton americanus Hultén & H. St. John "
"observation","305637","Araceae","Lysichiton americanus","skunk cabbage","Mitchell, K., Wilson, B.","","20 July 2006","2006","Curry","Croft Lake Bog - 2006","42.9855","-124.4533","","","","Lysichiton americanus Hultén & H. St. John "
"observation","199590","Araceae","Lysichiton americanus","skunk cabbage","Harvey, T.","","2003 - 2004","2003","Lane","Devil's Garden","43.6201","-122.2022","1250","","","Lysichiton americanus Hultén & H. St. John "
"observation","302817","Araceae","Lysichiton americanus","skunk cabbage","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Cedar Swamp","44.0343","-121.9476","1168","","","Lysichiton americanus Hultén & H. St. John "
