"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","302539","Araliaceae","Oplopanax horridus","devil's club","Brainerd, R., Blakeley-Smith, M.","","August 2005","2005","Linn","meadow at Lake Anne","44.5712","-121.8735","1202","","","Oplopanax horridus (Sm.) Miq. "
"observation","203305","Araliaceae","Oplopanax horridus","devil's club","Harvey, T.","","2003 - 2011","2003","Lane","Olallie Mountain","44.0335","-122.0706","1384","","","Oplopanax horridus (Sm.) Miq. "
"observation","388361","Araliaceae","Hedera hibernica","Atlantic ivy","Wilson, B., Otting, N.","","1 November 2007","2007","Hood River","Hwy 30, below I-84","45.6722","-121.8736","58","","","Hedera hibernica (G. Kirchn.) Bean "
"image","dig11425","Araliaceae","Aralia californica","western aralia, elk clover","Keir Morse","","July 1, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I229; 42.3068668935&#176; N -123.648784821&#176; W","42.3069","-123.6488","","","","Aralia californica S. Watson "
"observation","203162","Araliaceae","Oplopanax horridus","devil's club","Harvey, T.","","2003 - 2014","2003","Linn","Echo Basin/North Peak","44.4109","-122.0785","1268","","","Oplopanax horridus (Sm.) Miq. "
"observation","419809","Araliaceae","Oplopanax horridus","devil's club","Harvey, T.","","2003 - 2013","2003","Linn","Coffin Mountain: Harvey","44.6179","-122.0424","1448","","","Oplopanax horridus (Sm.) Miq. "
"observation","388325","Araliaceae","Hedera hibernica","Atlantic ivy","Wilson, B.","","2003","2003","Multnomah","Troutdale","45.5456","-122.4010","9","","","Hedera hibernica (G. Kirchn.) Bean "
"observation","388333","Araliaceae","Hedera hibernica","Atlantic ivy","Wilson, B.","","15 July 2005","2005","Lincoln","Lincoln City beach","44.9847","-124.0130","2","","","Hedera hibernica (G. Kirchn.) Bean "
"observation","404546","Araliaceae","Hedera hibernica","Atlantic ivy","Wilson, B.","","28 March 2010","2010","Lincoln","Holly-Ivy list 3: Road 410, beyond W end of Hammer Lake","44.6852","-123.6621","152","","","Hedera hibernica (G. Kirchn.) Bean "
"observation","404482","Araliaceae","Hedera hibernica","Atlantic ivy","Wilson, B.","","20 February 2010","2010","Lincoln","Linaria site, Hwy 101 between Depoe Bay and Siletz Bay","44.8792","-124.0321","15","","","Hedera hibernica (G. Kirchn.) Bean "
"observation","388356","Araliaceae","Hedera hibernica","Atlantic ivy","Wilson, B.","","19 November 2006","2006","Lincoln","Yachats, south of Adobe resort and west of Highway 101","44.3119","-124.1043","12","","","Hedera hibernica (G. Kirchn.) Bean "
"observation","388344","Araliaceae","Hedera hibernica","Atlantic ivy","Wilson, B., Brainerd, R.","","10 August 2006","2006","Benton","Rock Creek Watershed: intersection of Rock Creek Road and highway","44.5006","-123.4394","","","","Hedera hibernica (G. Kirchn.) Bean "
"observation","330509","Araliaceae","Hedera hibernica","Atlantic ivy","Wilson, B., Otting, N.","","1 November 2007","2007","Hood River","Hwy 30, below I-84","45.6722","-121.8736","58","","","Hedera hibernica (G. Kirchn.) Bean "
"observation","311252","Araliaceae","Hydrocotyle ranunculoides","floating marsh pennywort","Brainerd, R.","","12 August 2005","2005","Lane","Hult Marsh","44.2501","-123.4958","253","","","Hydrocotyle ranunculoides L.f. "
"observation","207796","Araliaceae","Oplopanax horridus","devil's club","Mt. Hood NF botanist","","15 July 2003","2003","Clackamas","Trillium Lake vicinity","45.2678","-121.7364","1097","","","Oplopanax horridus (Sm.) Miq. "
"observation","202505","Araliaceae","Oplopanax horridus","devil's club","Harvey, T.","","25 July 2003","2003","Marion","Triangulation Peak: Harvey","44.7207","-121.9373","1445","","","Oplopanax horridus (Sm.) Miq. "
"observation","388358","Araliaceae","Hedera hibernica","Atlantic ivy","Brainerd, R., Newhouse, B., Otting, N., Wilson, B.","","29 November 2006","2006","Lane","Florence: road to North Jetty","44.0171","-124.1260","0","","","Hedera hibernica (G. Kirchn.) Bean "
"image","dig34416","Araliaceae","Oplopanax horridus","devil's club","Tanya Harvey","","July 29, 2011","2011","Clackamas","Table Rock Wilderness; T07S R04E S10","44.9772","-122.3034","","","","Oplopanax horridus (Sm.) Miq. "
"image","dig3041","Araliaceae","Hedera hibernica","Atlantic ivy","Bruce Neil Newhouse","","May 18, 2002","2002","Lane","Skinner Butte","44.0586","-123.0931","","","","Hedera hibernica (G. Kirchn.) Bean "
"observation","417726","Araliaceae","Hedera hibernica","Atlantic ivy","Salix Associates","","2008","2008","Polk","Zena Road, private property site","45.0098","-123.1608","","","","Hedera hibernica (G. Kirchn.) Bean "
"observation","381225","Araliaceae","Hedera hibernica","Atlantic ivy","Wilson, B.","","May 2009","2009","Lincoln","Moolack Beach","44.7023","-124.0613","5","","","Hedera hibernica (G. Kirchn.) Bean "
"observation","295730","Araliaceae","Oplopanax horridus","devil's club","Otting, N., Wilson, B.","","24 August 2005","2005","Clackamas","Bull Run Watershed: intersection of roads 10 and 1000524","45.4581","-121.8823","849","","","Oplopanax horridus (Sm.) Miq. "
"observation","403043","Araliaceae","Hydrocotyle ranunculoides","floating marsh pennywort","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Hydrocotyle ranunculoides L.f. "
"observation","194991","Araliaceae","Aralia californica","western aralia, elk clover","Bluhm, W., Myers, E.","","May 2003","2003","Josephine","York Creek Botanical Area","42.3812","-123.8259","274","","","Aralia californica S. Watson "
"observation","10085659","Araliaceae","Hydrocotyle ranunculoides","floating marsh pennywort","R.E. Brainerd","","12 August 2005","2005","Lane","Unaccessioned specimen: Brainerd, R. #711","44.2483","-123.4946","221","Marsh.","","Hydrocotyle ranunculoides L.f. "
"observation","312305","Araliaceae","Oplopanax horridus","devil's club","Brainerd, R., Kuykendall, K., Newhouse, B., Lippert, J., Smith, A.","","2003","2003","Linn","Gordon Meadows","44.3663","-122.2938","","","","Oplopanax horridus (Sm.) Miq. "
"observation","388398","Araliaceae","Hedera hibernica","Atlantic ivy","Wilson, B., Otting, N., Stein, M.","","27 June 2010","2010","Lincoln","Yaquina Bay State Park","44.6224","-124.0639","9","","","Hedera hibernica (G. Kirchn.) Bean "
"observation","418856","Araliaceae","Hedera hibernica","Atlantic ivy","Maze, D.","","15 May 2014","2014","Multnomah","Skyline Blvd at Vernon","45.5597","-122.7846","","","","Hedera hibernica (G. Kirchn.) Bean "
