"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","304855","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Wilson, B., Brainerd, R.","","12 June 2006","2006","Multnomah","Bull Run Watershed: 5 mile point on the 1010 road","45.4896","-122.1011","","","","Asarum caudatum Lindl. "
"observation","330007","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Wilson, B., Otting, N.","","3 October 2007","2007","Douglas","Bingham Creek willow site","43.0209","-123.7406","463","","","Asarum caudatum Lindl. "
"observation","202149","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Harvey, T.","","2003 - 2004","2003","Lane","Potholes/Olallie Trail","44.0781","-122.0708","1384","","","Asarum caudatum Lindl. "
"observation","207845","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Mt. Hood NF botanist","","15 July 2003","2003","Clackamas","Trillium Lake vicinity","45.2678","-121.7364","1097","","","Asarum caudatum Lindl. "
"image","dig11466","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Keir Morse","","March 30, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I024; 42.308389509&#176; N -123.659732659&#176; W","42.3084","-123.6597","","","","Asarum caudatum Lindl. "
"observation","384642","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Wilson, B.","","18 April 2010","2010","Polk","Ritner Creek Park","44.7401","-123.4912","119","","","Asarum caudatum Lindl. "
"observation","179266","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Salix Associates","","2 July 2002","2002","Lane","Owl Creek Meadow","44.1595","-122.1561","","","","Asarum caudatum Lindl. "
"observation","369502","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Harvey, T.","","2004 - 2009","2004","Douglas","Hershberger Mountain and Pup Prairie","43.0328","-122.4499","1707","","","Asarum caudatum Lindl. "
"observation","368041","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Harvey, T.","","2005 - 2012","2005","Lane","Fall Creek Trail","43.9825","-122.5007","396","","","Asarum caudatum Lindl. "
"observation","370799","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Harvey, T.","","2004 - 2013","2004","Douglas","Reynolds Ridge to Grassy Ranch","43.4003","-122.5386","1524","","","Asarum caudatum Lindl. "
"observation","367675","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Harvey, T.","","5 August 2008","2008","Douglas or Lane","Dome Rock - Harvey","43.4414","-122.4001","1600","","","Asarum caudatum Lindl. "
"observation","379934","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Bluhm, W., Myers, E.","","2009 - 2010","2009","Linn","Willamette National Forest Road 040","44.6805","-121.9325","640","","","Asarum caudatum Lindl. "
"observation","194600","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Bluhm, W.","","2002","2002","Multnomah","Wauna Point Trail","45.6278","-121.9319","30","","","Asarum caudatum Lindl. "
"observation","200937","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Harvey, T.","","4 July 2003","2003","Linn","Bruno Meadows Trail","44.6331","-122.0028","1311","","","Asarum caudatum Lindl. "
"observation","418186","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Newhouse, B.","","21 July 2004","2004","Lane","Blue River area road extension, about 1 mile NE of N end of Hagen Block Research Natural Area","44.2036","-122.3821","","","","Asarum caudatum Lindl. "
"observation","354329","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Wilson, B., Otting, N.","","11 July 2008","2008","Douglas","Watson Creek day use area","43.2456","-122.3918","851","","","Asarum caudatum Lindl. "
"observation","382484","Aristolochiaceae","Asarum marmoratum","marbled wild ginger","Wilson, B., Otting, N., Rolle, W.","","16 July 2009","2009","Jackson","Skeeter Swamp","42.4623","-122.4008","1087","","","Asarum marmoratum Piper "
"observation","301406","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Harvey, T.","","2003 - 2013","2003","Linn","Coffin Mountain: Harvey","44.6179","-122.0424","1448","","","Asarum caudatum Lindl. "
"observation","367859","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Harvey, T.","","2004 - 2011","2004","Douglas","Donegan Prairie ","42.9181","-122.6095","1554","","","Asarum caudatum Lindl. "
"observation","368949","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Harvey, T.","","2006 - 2013","2006","Lane","Heckletooth Mountain","43.7466","-122.3622","759","","","Asarum caudatum Lindl. "
"observation","371801","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Harvey, T.","","2004 - 2010","2004","Lane","Winberry Creek Rd 102-150","43.8737","-122.5784","351","","","Asarum caudatum Lindl. "
"observation","199561","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Harvey, T.","","2003 - 2004","2003","Lane","Devil's Garden","43.6201","-122.2022","1250","","","Asarum caudatum Lindl. "
"observation","403308","Aristolochiaceae","Asarum marmoratum","marbled wild ginger","Moore, J., Kirby, M., Glenn, T., Dielensnyder, T., Thomas, B.","","16 July 2011","2011","Douglas","Grotto Falls, Little River - 2011","43.2485","-122.8255","905","","","Asarum marmoratum Piper "
"observation","357840","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Wilson, B., Otting, N.","","18 September 2008","2008","Douglas","Huckleberry Lake","42.8991","-122.6190","1574","","","Asarum caudatum Lindl. "
"observation","297208","Aristolochiaceae","Asarum caudatum","wild ginger, western wild ginger","Wilson, B.","","27 July 2004","2004","Linn","Icecap Campground & Carmen Reservoir","44.3406","-122.0014","829","","","Asarum caudatum Lindl. "
