"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","307162","Asparagaceae","Maianthemum stellatum","starry false Solomon's seal, small false Solomon's seal","Wilson, B., Brainerd, R.","","18 August 2006","2006","Benton","Rock Creek Watershed: along Old Peak Road #4, intersection with side road to the south","44.5371","-123.4933","","","","Maianthemum stellatum (L.) Link "
"observation","418684","Asparagaceae","Maianthemum stellatum","starry false Solomon's seal, small false Solomon's seal","Maze, D.","","2 May 2014","2014","Columbia","McCormick Park","45.8522","-122.8167","","","","Maianthemum stellatum (L.) Link "
"observation","380563","Asparagaceae","Maianthemum stellatum","starry false Solomon's seal, small false Solomon's seal","Bluhm, W., Myers, E.","","2009 - 2010","2009","Marion","Tumble Lake Trail 3379","44.7496","-122.2240","1082","","","Maianthemum stellatum (L.) Link "
"observation","295314","Asparagaceae","Maianthemum stellatum","starry false Solomon's seal, small false Solomon's seal","Otting, N., Wilson, B.","","23 August 2005","2005","Clackamas","Bull Run Watershed: intersection of roads 14 and 1210","45.4361","-122.0501","815","","","Maianthemum stellatum (L.) Link "
"observation","207696","Asparagaceae","Maianthemum racemosum ssp. amplexicaule","large false Solomon's seal, western Solomon plume","Mt. Hood NF botanist","","24 July 2003","2003","Clackamas","trail from south of highway 26 to and around Mirror Lake","45.3002","-121.7924","1049","","","Maianthemum racemosum (L.) Link ssp. amplexicaule (Nutt.) LaFrankie "
"observation","394681","Asparagaceae","Maianthemum racemosum","large false Solomon's seal","Wilson, B., Otting, N., Coberly, C.","","2010","2010","Linn","Highway 20, Albany to Sisters, mile post 42 to 43","44.3959","-122.4678","","","","Maianthemum racemosum (L.) Link "
"observation","294349","Asparagaceae","Chlorogalum pomeridianum","amole, wavyleaf soap plant","Heinze, D.","","19 April 2005","2005","Josephine","Slate Creek","42.3670","-123.5138","293","forest, savanna","","Chlorogalum pomeridianum (DC.) Kunth "
"observation","385334","Asparagaceae","Maianthemum stellatum","starry false Solomon's seal, small false Solomon's seal","Wilson, B.","","5 June 2010","2010","Benton","Forest Dell City Park, Corvallis","44.5999","-123.2663","116","","","Maianthemum stellatum (L.) Link "
"observation","151670","Asparagaceae","Triteleia hyacinthina","hyacinth triteleia, white triteleia, fool's-onion, hyacinth cluster-lily","Vos, B.","","2 July 2002","2002","Klamath","Lake of the Woods - Nr. Aspen Point","42.3904","-122.2160","1524","","","Triteleia hyacinthina (Lindl.) Greene "
"observation","319964","Asparagaceae","Maianthemum stellatum","starry false Solomon's seal, small false Solomon's seal","Stein, M., Otting, N., Wilson, B.","","14 May 2007","2007","Benton","Grass Mountain","44.4196","-123.6743","971","","","Maianthemum stellatum (L.) Link "
"observation","297279","Asparagaceae","Maianthemum stellatum","starry false Solomon's seal, small false Solomon's seal","Wilson, B.","","27 July 2004","2004","Linn","Icecap Campground & Carmen Reservoir","44.3406","-122.0014","829","","","Maianthemum stellatum (L.) Link "
"observation","309708","Asparagaceae","Brodiaea coronaria","crown brodiaea, harvest brodiaea, harvest cluster-lily","Salix Associates","","2004","2004","Benton","Allen & Allen","44.4903","-123.3269","73","","","Brodiaea coronaria (Salisb.) Engl. "
"observation","370324","Asparagaceae","Maianthemum racemosum","large false Solomon's seal","Harvey, T.","","2004 - 2007","2004","Linn","Monument Peak","44.6896","-122.3270","1219","","","Maianthemum racemosum (L.) Link "
"observation","337454","Asparagaceae","Leucocrinum montanum","sand-lily","BLM Botanist","","16 July 2006","2006","Crook","16S 15E 27","44.1542","-120.9189","","","","Leucocrinum montanum Nutt. "
"image","dig10655","Asparagaceae","Hastingsia bracteosa var. bracteosa","large-flowered rush-lily","Gerald D. Carr","","June 12, 2007","2007","Josephine","Sensitive species - location undisclosed","42.2000","-123.7000","","","","Hastingsia bracteosa S. Watson var. bracteosa "
"observation","179354","Asparagaceae","Maianthemum stellatum","starry false Solomon's seal, small false Solomon's seal","Salix Associates","","2 July 2002","2002","Lane","Owl Creek Meadow","44.1595","-122.1561","","","","Maianthemum stellatum (L.) Link "
"observation","225520","Asparagaceae","Maianthemum stellatum","starry false Solomon's seal, small false Solomon's seal","Mt. Hood NF botanist","","24 June 2002","2002","Clackamas","Little Crater Meadow","45.2678","-121.7364","1000","","","Maianthemum stellatum (L.) Link "
"observation","141185","Asparagaceae","Brodiaea elegans","elegant brodiaea, harvest brodiaea, elegant cluster-lily","Heinze, D.","","6 June 2003","2003","Josephine","Fish Hatchery Park","42.3574","-123.4210","293","herbland, savanna, shrubland","","Brodiaea elegans Hoover "
"observation","377318","Asparagaceae","Maianthemum stellatum","starry false Solomon's seal, small false Solomon's seal","Harvey, T.","","2007 - 2013","2007","Lane","Eagle Creek Road 5883","43.6779","-122.1824","930","","","Maianthemum stellatum (L.) Link "
"observation","417928","Asparagaceae","Brodiaea elegans","elegant brodiaea, harvest brodiaea, elegant cluster-lily","Salix Associates","","2009","2009","Lane","East Ridgeline Extension Survey, Eugene","43.9987","-123.0432","194","","","Brodiaea elegans Hoover "
"observation","178997","Asparagaceae","Camassia leichtlinii ssp. suksdorfii","great camas","Boyer, L.","","2002","2002","Lane","Jasper","44.0041","-122.8759","","","","Camassia leichtlinii (Baker) S. Watson ssp. suksdorfii (Greenm.) Gould "
