binomial,count
Asparagus officinalis,10
Brodiaea coronaria,28
Brodiaea elegans,48
Brodiaea terrestris,1
Camassia howellii,3
Camassia leichtlinii,78
Camassia quamash,58
Chlorogalum pomeridianum,22
Dichelostemma capitatum,10
Dichelostemma congestum,92
Dichelostemma ida-maia,1
Dichelostemma multiflorum,2
Hastingsia alba,19
Hastingsia bracteosa,10
Hyacinthoides non-scripta,6
Leucocrinum montanum,15
Maianthemum dilatatum,81
Maianthemum racemosum,182
Maianthemum stellatum,264
Muscari botryoides,2
Ornithogalum umbellatum,1
Triteleia crocea,3
Triteleia grandiflora,6
Triteleia hendersonii,9
Triteleia hyacinthina,73
Triteleia ixioides,1
