"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","375557","Asteraceae","Rainiera stricta","rainiera, tongue leaved luina","Harvey, T.","","2008 - 2011","2008","Linn","Wildcat Mountain RNA","44.3388","-122.1213","1228","","","Rainiera stricta (Greene) Greene "
"observation","371513","Asteraceae","Symphyotrichum spathulatum","western mountain aster","Harvey, T.","","2004 - 2011","2004","Douglas","Twin Lakes","43.2348","-122.5875","1481","","","Symphyotrichum spathulatum (Lindl.) G.L. Nesom "
"observation","336223","Asteraceae","Chaenactis douglasii","hoary false yarrow","Halvorson, R.","","31 July 2004","2004","Deschutes","18S 13E 21","44.0004","-121.1738","","","","Chaenactis douglasii (Hook.) Hook. & Arn. "
"observation","404014","Asteraceae","Hypochaeris glabra","smooth cat's ear, false dandelion","Wilson, B., Otting, N.","","19 May 2010","2010","Jackson","Valley of the Rogue State Park","42.4108","-123.1510","321","","","Hypochaeris glabra L. "
"observation","292695","Asteraceae","Hypochaeris radicata","rough cat's ear, hairy cat's ear","Wilson, B.","","2002","2002","Hood River","I-84, mile 50 to 51","45.6921","-121.7791","","","","Hypochaeris radicata L. "
"observation","293555","Asteraceae","Lactuca serriola","prickly lettuce","Wilson, B.","","2002","2002","Multnomah","I-84, mile 20 to 21","45.5394","-122.3270","","","","Lactuca serriola L. "
"observation","337483","Asteraceae","Erigeron poliospermus","","Halvorson, R.","","29 June 2007","2007","Crook","18S 16E 14","44.0094","-120.7778","","","","Erigeron poliospermus A. Gray "
"image","dig42146","Asteraceae","Senecio triangularis var. angustifolius","bog groundsel","Gerald D. Carr","","July 31, 2015","2015","Curry","Bog just E of Hwy 101, 0.15 mi. NW of entrance to Harris Beach State Park, NW of Brookings; 50m; 42.06807&#176; N -124.30548&#176; W","42.0681","-124.3055","50","","","Senecio triangularis Hook. var. angustifolius G.N. Jones "
"observation","404668","Asteraceae","Taraxacum officinale","common dandelion","Wilson, B.","","27 March 2012","2012","Linn","Freeway Lakes County Park","44.5909","-123.0600","68","","","Taraxacum officinale Weber ex F.H. Wigg. "
"observation","207880","Asteraceae","Achillea millefolium","yarrow, milfoil","Mt. Hood NF botanist","","15 July 2003","2003","Clackamas","Trillium Lake vicinity","45.2678","-121.7364","1097","","","Achillea millefolium L. "
"observation","395799","Asteraceae","Tragopogon dubius","yellow salsify","Wilson, B., Otting, N., Coberly, C.","","2009","2009","Jefferson","Highway 20, Albany to Sisters, mile post 85 to 86","44.4184","-121.7672","","","","Tragopogon dubius Scop. "
"observation","395344","Asteraceae","Anaphalis margaritacea","pearly everlasting","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 65 to 66","44.3948","-122.1165","","","","Anaphalis margaritacea (L.) Benth. & Hook. f. "
"observation","327571","Asteraceae","Hieracium albiflorum","white flowered hawkweed","Morse, K.","","19 July 2007","2007","Josephine","Deer Creek Center - North","42.2990","-123.6573","456","","","Hieracium albiflorum Hook. "
"image","dig13702","Asteraceae","Psilocarphus tenellus","slender woollyheads","Keir Morse","","May 11, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I031; 42.2761451809&#176; N -123.641084119&#176; W","42.2761","-123.6411","","","","Psilocarphus tenellus Nutt. "
"observation","366220","Asteraceae","Anisocarpus madioides","woodland tarweed","Harvey, T.","","2005 - 2010","2005","Douglas","Big Squaw Mountain - Harvey","43.1425","-122.7651","1219","","","Anisocarpus madioides Nutt. "
"observation","291527","Asteraceae","Artemisia tridentata","sagebrush","Wilson, B.","","2002","2002","Sherman","I-84, mile 103 to 104","45.6639","-120.8534","","","","Artemisia tridentata Nutt. "
"observation","201105","Asteraceae","Agoseris aurantiaca","","Harvey, T.","","2003 - 2013","2003","Linn","Coffin Mountain: Harvey","44.6179","-122.0424","1448","","","Agoseris aurantiaca (Hook.) Greene "
"observation","292807","Asteraceae","Leucanthemum vulgare","oxeye daisy","Wilson, B.","","2002","2002","Hood River","I-84, mile 46 to 47","45.6810","-121.8500","","","","Leucanthemum vulgare Lam. "
"observation","430345","Asteraceae","Eriophyllum lanatum","common woolly sunflower","Schuller, R., Halvorson, R.","","April 2009","2009","Lake","Benjamin RNA","43.5936","-120.3663","1500","forest","","Eriophyllum lanatum (Pursh) J. Forbes "
"observation","284635","Asteraceae","Hypochaeris radicata","rough cat's ear, hairy cat's ear","Wilson, B., Brainerd, R.","","2002","2002","Linn","I-5, mile 225 to 226","44.5181","-123.0617","","","","Hypochaeris radicata L. "
"observation","365753","Asteraceae","Adenocaulon bicolor","trailplant, pathfinder","Harvey, T.","","2004 - 2008","2004","Lane","Alpine Trail, including Buckhead Mountain","43.8171","-122.4996","914","","","Adenocaulon bicolor Hook. "
"observation","290171","Asteraceae","Ericameria nauseosa","rubber rabbitbrush","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 5 to 6","42.0751","-122.6010","","","","Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & G.I. Baird "
