binomial,count
Achillea millefolium,458
Achyrachaena mollis,2
Acroptilon repens,1
Adenocaulon bicolor,180
Ageratina occidentalis,14
Agoseris apargioides,1
Agoseris aurantiaca,56
Agoseris grandiflora,60
Agoseris heterophylla,23
Agoseris monticola,1
Agoseris retrorsa,2
Ambrosia acanthicarpa,1
Ambrosia artemisiifolia,2
Ambrosia chamissonis,5
Anaphalis margaritacea,442
Anisocarpus madioides,59
Antennaria argentea,2
Antennaria dimorpha,12
Antennaria geyeri,1
Antennaria howellii,3
Antennaria luzuloides,2
Antennaria media,4
Antennaria racemosa,47
Antennaria rosea,87
Antennaria suffrutescens,1
Antennaria umbrinella,2
Anthemis arvensis,7
Anthemis cotula,66
Arctium minus,51
Arnica amplexicaulis,12
Arnica cernua,2
Arnica chamissonis,3
Arnica cordifolia,11
Arnica discoidea,5
Arnica diversifolia,5
Arnica latifolia,68
Arnica longifolia,2
Arnica mollis,26
Arnica nevadensis,2
Arnica parryi,3
Arnica sororia,2
Arnica spathulata,6
Artemisia arbuscula,7
Artemisia douglasiana,42
Artemisia dracunculus,1
Artemisia ludoviciana,27
Artemisia pycnocephala,1
Artemisia rigida,3
Artemisia suksdorfii,2
Artemisia tridentata,57
Artemisia tripartita,1
Artemisia vulgaris,2
Baccharis douglasii,2
Baccharis pilularis,59
Balsamorhiza careyana,1
Balsamorhiza deltoidea,36
Balsamorhiza sagittata,4
Balsamorhiza sericea,4
Bellis perennis,163
Bidens cernua,14
Bidens frondosa,19
Bidens tripartita,2
Bidens vulgata,1
Blepharipappus scaber,20
Brickellia grandiflora,1
Brickellia greenei,1
Cacaliopsis nardosmia,7
Canadanthus modestus,45
Carduus nutans,1
Carduus pycnocephalus,16
Centaurea cyanus,47
Centaurea diffusa,85
Centaurea jacea,4
Centaurea melitensis,2
Centaurea montana,1
Centaurea solstitialis,92
Centaurea stoebe,17
Centaurea ×moncktonii,189
Centromadia fitchii,3
Chaenactis douglasii,15
Chondrilla juncea,75
Chrysothamnus viscidiflorus,11
Cichorium intybus,176
Cirsium arvense,345
Cirsium brevistylum,7
Cirsium ciliolatum,12
Cirsium edule,5
Cirsium occidentale,1
Cirsium remotifolium,86
Cirsium scariosum,6
Cirsium undulatum,1
Cirsium vulgare,544
Columbiadoria hallii,30
Conyza bonariensis,1
Conyza canadensis,223
Coreopsis lanceolata,1
Coreopsis rosea,1
Coreopsis tinctoria,1
Corethrogyne filaginifolia,3
Cotula coronopifolia,1
Crepis acuminata,2
Crepis atribarba,1
Crepis capillaris,63
Crepis modocensis,1
Crepis nicaeensis,2
Crepis occidentalis,3
Crepis pleurocarpa,11
Crepis pulchra,1
Crepis runcinata,1
Crepis setosa,38
Crepis vesicaria,2
Crocidium multicaule,21
Delairea odorata,2
Dieteria canescens,9
Doronicum pardalianches,1
Ericameria arborescens,2
Ericameria bloomeri,5
Ericameria greenei,14
Ericameria nauseosa,184
Erigeron aliceae,58
Erigeron annuus,7
Erigeron bloomeri,3
Erigeron cascadensis,20
Erigeron compositus,5
Erigeron decumbens,9
Erigeron divergens,2
Erigeron eatonii,6
Erigeron filifolius,3
Erigeron foliosus,50
Erigeron glacialis,4
Erigeron glaucus,6
Erigeron inornatus,3
Erigeron linearis,6
Erigeron nivalis,1
Erigeron petrophilus,1
Erigeron philadelphicus,13
Erigeron poliospermus,1
Erigeron speciosus,1
Erigeron strigosus,2
Eriophyllum lanatum,277
