"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","180485","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Koenig, J.","","22 May 2002","2002","Lane","Jims Oak Patch Oak Habitat Inventory","43.5004","-122.4263","686","","","Berberis nervosa Pursh "
"observation","379123","Berberidaceae","Vancouveria hexandra","white inside out flower, northern vancouveria","Bluhm, W., Myers, E.","","2009 - 2010","2009","Marion","Dome Rock Trail 3381 Willamette National Forest","44.7533","-122.2084","1198","","","Vancouveria hexandra (Hook.) C. Morren & Decne. "
"observation","409939","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Olson, B.B., Maffitt, V.","","4 June 2004","2004","Washington","Tualatin Wildlife Refuge","45.3677","-122.8363","","","","Berberis aquifolium Pursh "
"observation","416415","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Newhouse, B.","","2007","2007","Benton","McCullough Peak, OSU Prairie","44.6298","-123.3521","649","","","Berberis aquifolium Pursh "
"observation","364362","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Bluhm, W., BLM Botanist","","2004 - 2006","2004","Coos","New River ACEC","42.9745","-124.4623","","","","Berberis nervosa Pursh "
"observation","309276","Berberidaceae","Vancouveria hexandra","white inside out flower, northern vancouveria","Mitchell, K.","","30 April 2006","2006","Tillamook","Confluence of the North and South Fork Salmonberry River","45.7151","-123.5201","","","","Vancouveria hexandra (Hook.) C. Morren & Decne. "
"observation","369188","Berberidaceae","Vancouveria hexandra","white inside out flower, northern vancouveria","Harvey, T.","","2006 - 2013","2006","Lane","Heckletooth Mountain","43.7466","-122.3622","759","","","Vancouveria hexandra (Hook.) C. Morren & Decne. "
"observation","415402","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Newhouse, B.","","2004","2004","Benton","BLM Maxfield - Section 29 Meadows","44.6724","-123.3269","","","","Berberis aquifolium Pursh "
"observation","318116","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","BLM Botanist","","2007","2007","Polk","Little Sink Research Natural Area","44.8371","-123.4366","","","","Berberis nervosa Pursh "
"observation","423308","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Harvey, T.","","2012","2012","Lane","Road 2133 Meadows","43.4920","-122.4004","664","","","Berberis aquifolium Pursh "
"observation","369964","Berberidaceae","Vancouveria hexandra","white inside out flower, northern vancouveria","Harvey, T.","","2004 - 2006","2004","Lane","Indian Ridge","43.9883","-122.2538","1648","","","Vancouveria hexandra (Hook.) C. Morren & Decne. "
"observation","200250","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Harvey, T.","","2003 - 2014","2003","Lane","Hell's Half Acre/Verdun Rock","43.6635","-122.1823","1356","","","Berberis nervosa Pursh "
"observation","336549","Berberidaceae","Berberis repens","creeping Oregon grape, low Oregon grape","Halvorson, R.","","26 July 2005","2005","Crook","13S 15E 20 - 2005","44.4261","-120.9581","","","","Berberis repens Lindl. "
"observation","370984","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Harvey, T.","","29 September 2007","2007","Lane","Skookum Creek Swamp - Harvey","43.8740","-122.0752","896","","","Berberis nervosa Pursh "
"observation","368166","Berberidaceae","Vancouveria hexandra","white inside out flower, northern vancouveria","Harvey, T.","","2005 - 2012","2005","Lane","Fall Creek Trail","43.9825","-122.5007","396","","","Vancouveria hexandra (Hook.) C. Morren & Decne. "
"observation","295328","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Otting, N., Wilson, B.","","23 August 2005","2005","Clackamas","Bull Run Watershed: intersection of roads 12 and 1200400","45.4263","-121.9288","1158","","","Berberis nervosa Pursh "
"observation","371945","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Harvey, T.","","2004 - 2011","2004","Linn","Wolf Rock and Meadow (Lake)","44.2926","-122.1568","427","","","Berberis nervosa Pursh "
"observation","311098","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Brainerd, R.","","5 July 2005","2005","Lane","Fall Creek","43.5275","-122.9318","427","","","Berberis nervosa Pursh "
"observation","371713","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Harvey, T.","","22 August 2007","2007","Clackamas","Wildcat Mountain, Clackamas County","45.2955","-122.0348","1081","","","Berberis nervosa Pursh "
"observation","295870","Berberidaceae","Vancouveria hexandra","white inside out flower, northern vancouveria","Otting, N., Wilson, B., Brainerd, R.","","25 August 2005","2005","Multnomah","Bull Run Watershed: intersection of roads 1008 and 1010 (at Walker Prairie)","45.4665","-122.1490","613","","","Vancouveria hexandra (Hook.) C. Morren & Decne. "
"observation","418170","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Newhouse, B.","","21 July 2004","2004","Lane","Blue River area road extension, about 1 mile NE of N end of Hagen Block Research Natural Area","44.2036","-122.3821","","","","Berberis aquifolium Pursh "
"observation","380216","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Bluhm, W., Myers, E.","","August 2010","2010","Marion","South Breitenbush Gorge Trail 3366","44.7672","-121.9321","744","","","Berberis nervosa Pursh "
"observation","376045","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Harvey, T.","","2009 - 2013","2009","Douglas","Fuller Lake Trail","43.4003","-122.4995","1494","","","Berberis nervosa Pursh "
"observation","355416","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Wilson, B., Otting, N.","","4 July 2008","2008","Douglas","Whistler's Bend Park","43.3172","-123.2160","194","","","Berberis aquifolium Pursh "
"observation","397458","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","16 May 2007","2007","Lane","Highway 58, mile post 44 to 45","43.7128","-122.3117","","","","Berberis nervosa Pursh "
"observation","384552","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Wilson, B.","","18 April 2010","2010","Polk","Holly-Ivy list 21: Wildwood Road NW of the intersection with Gage Road","44.7376","-123.5294","172","","","Berberis aquifolium Pursh "
"observation","292561","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Wilson, B.","","2002","2002","Hood River","I-84, mile 55 to 56","45.6928","-121.6800","","","","Berberis aquifolium Pursh "
"observation","415813","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Newhouse, B.","","2007","2007","Benton","Forest Peak, OSU Prairie","44.6884","-123.2907","430","","","Berberis aquifolium Pursh "
"observation","329335","Berberidaceae","Vancouveria hexandra","white inside out flower, northern vancouveria","Morse, K.","","2 June 2007","2007","Josephine","Deer Creek Center - South","42.2804","-123.6477","382","","","Vancouveria hexandra (Hook.) C. Morren & Decne. "
"observation","402714","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Koenig, J.","","2002","2002","Lane","Jims Creek Oak Habitat Inventory Plot #2","43.5096","-122.4225","739","","","Berberis nervosa Pursh "
"observation","319281","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Wilson, B.","","2007","2007","Lincoln","Burnt Woods Forest Road and Highway 20 cutoff","44.6019","-123.6537","349","","","Berberis nervosa Pursh "
"observation","369712","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Harvey, T.","","2013","2013","Linn","Ikenick Creek","44.3672","-122.1400","1030","","","Berberis nervosa Pursh "
"observation","354331","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Wilson, B., Otting, N.","","11 July 2008","2008","Douglas","Watson Creek day use area","43.2456","-122.3918","851","","","Berberis aquifolium Pursh "
"image","dig11519","Berberidaceae","Berberis piperiana","Piper's barberry","Keir Morse","","July 14, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I063; 42.2933427924&#176; N -123.651411754&#176; W","42.2933","-123.6514","","","","Berberis piperiana (Abrams) McMinn "
"observation","292324","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Wilson, B.","","2003","2003","Hood River","I-84, mile 63 to 64","45.7117","-121.5212","","","","Berberis aquifolium Pursh "
"observation","295371","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Otting, N., Wilson, B.","","23 August 2005","2005","Clackamas","Bull Run Watershed: intersection of roads 1820 and 1200400","45.4131","-121.8773","1219","","","Berberis nervosa Pursh "
"observation","305853","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Wilson, B.","","July 2006","2006","Curry","New River uplands","42.9938","-124.4524","","","","Berberis aquifolium Pursh "
"observation","377159","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Harvey, T.","","2005 - 2012","2005","Linn","Deer Creek Road","44.2763","-122.0792","732","","","Berberis aquifolium Pursh "
"observation","384105","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Wilson, B.","","28 March 2010","2010","Lincoln","Holly-Ivy list 1: by the Trestle Gate to the Eisele Summit tree farm","44.6452","-123.5803","213","","","Berberis aquifolium Pursh "
"observation","181502","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Battaile, J., Battaile, C.","","24 May 2002","2002","Klamath","Aspen Lake flat","42.2000","-122.0067","1311","","","Berberis aquifolium Pursh "
"observation","356380","Berberidaceae","Berberis repens","creeping Oregon grape, low Oregon grape","Wilson, B., Newhouse, B.","","7 August 2008","2008","Lake","Clear Spring picnic/camping area","42.4715","-120.7126","1638","","","Berberis repens Lindl. "
"observation","404769","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Wilson, B.","","6 March 2011","2011","Benton","Bald Hill Park, Wilson","44.5710","-123.3214","87","","","Berberis aquifolium Pursh "
"observation","416359","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Newhouse, B.","","2007","2007","Benton","Jackson West, OSU Prairie","44.6129","-123.3032","189","","","Berberis aquifolium Pursh "
"observation","306551","Berberidaceae","Vancouveria hexandra","white inside out flower, northern vancouveria","Wilson, B., Brainerd, R.","","10 August 2006","2006","Benton","Rock Creek Watershed: end of road, nearly to the dam","44.5257","-123.4911","","","","Vancouveria hexandra (Hook.) C. Morren & Decne. "
"observation","229084","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Wilson, B.","","2002 - 2003","2002","Wasco","Rest area on westbound I-84 at Memaloose State Park","45.6956","-121.3394","69","","","Berberis aquifolium Pursh "
"observation","185475","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Native Plant Society of Oregon","","12 July 2003","2003","Lane","Horsepasture Mountain","44.1209","-122.0910","1448","","","Berberis nervosa Pursh "
"image","dig23386","Berberidaceae","Berberis piperiana","Piper's barberry","Gerald D. Carr","","April 27, 2010","2010","Douglas","Cow Creek Road, 7.8 mi. west of I-5 exit 80, west of Glendale; 421m; 42.73519&#176; N -123.49803&#176; W","42.7352","-123.4980","421","","","Berberis piperiana (Abrams) McMinn "
"observation","199066","Berberidaceae","Berberis nervosa","Cascade Oregon grape, long leaved Oregon grape","Harvey, T.","","2003 - 2012","2003","Lane","Bearbones Mountain","43.5488","-122.5184","1204","","","Berberis nervosa Pursh "
"observation","292039","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Wilson, B.","","2002","2002","Wasco","I-84, mile 75 to 76","45.6859","-121.2964","","","","Berberis aquifolium Pursh "
"observation","299455","Berberidaceae","Berberis aquifolium","shining Oregon grape, tall Oregon grape","Harvey, T.","","2003 - 2012","2003","Lane","Bearbones Mountain","43.5488","-122.5184","1204","","","Berberis aquifolium Pursh "
