"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","297871","Betulaceae","Alnus rubra","red alder, Oregon alder","Brainerd, R., Newhouse, B., Wilson, B.","","21 June 2005","2005","Lane","Heceta Dunes ACEC","44.0383","-124.1092","","","","Alnus rubra Bong. "
"observation","302670","Betulaceae","Alnus viridis ssp. sinuata","wavy leaf alder, Sitka alder","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadow about 2 miles NW of Cedar Swamp","44.0646","-121.9814","1210","","","Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve "
"observation","394833","Betulaceae","Alnus rubra","red alder, Oregon alder","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 48 to 49","44.4012","-122.3622","","","","Alnus rubra Bong. "
"observation","418840","Betulaceae","Corylus cornuta ssp. californica","California hazelnut","Maze, D.","","15 May 2014","2014","Multnomah","Skyline Blvd at Vernon","45.5597","-122.7846","","","","Corylus cornuta Marshall ssp. californica (A. DC.) A.E. Murray "
"observation","22521","Betulaceae","Alnus rubra","red alder, Oregon alder","Predeek, D.","","23 April 2003","2003","Lane","Big Island","44.0685","-122.9134","","","","Alnus rubra Bong. "
"observation","353556","Betulaceae","Alnus rubra","red alder, Oregon alder","Wilson, B.","","17 February 2008","2008","Coos","Tugman State Park","43.6037","-124.1746","20","","","Alnus rubra Bong. "
"observation","295596","Betulaceae","Alnus rubra","red alder, Oregon alder","Otting, N., Wilson, B.","","24 August 2005","2005","Multnomah","Bull Run Watershed: road 10 bridge over Log Creek","45.4974","-121.9094","716","","","Alnus rubra Bong. "
"observation","321439","Betulaceae","Alnus rubra","red alder, Oregon alder","Wilson, B.","","5 June 2007","2007","Lincoln","S and W of Burnt Woods Store, in the middle of the north half of section 21","44.6039","-123.6668","251","","","Alnus rubra Bong. "
"observation","386614","Betulaceae","Alnus incana","mountain alder","Wilson, B., Otting, N.","","17 August 2010","2010","Grant","Summit Creek, near exclosure","44.1274","-118.5808","1544","","","Alnus incana (L.) Moench "
"observation","299314","Betulaceae","Alnus viridis","","Rolle, W., Brainerd, R., Wilson, B.","","19 July 2005","2005","Jackson","T40S R1W S26","42.0655","-122.7932","1737","","","Alnus viridis (Chaix) DC. "
