"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","286810","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 135 to 136","43.3723","-123.3337","","","","Catalpa bignonioides Walter "
"observation","283529","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Marion","I-5, mile 261 to 262","45.0232","-122.9869","","","","Catalpa bignonioides Walter "
"observation","391299","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Otting, N., Mitchell, K.","","June 2007","2007","Baker","Interstate 84, mile post 343 to 344","44.4110","-117.3093","","","","Catalpa bignonioides Walter "
"observation","230434","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B.","","2002 - 2003","2002","Umatilla","Hermiston - Wilson","45.8404","-119.2895","","","","Catalpa bignonioides Walter "
"observation","285419","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R.","","2003","2003","Lane","I-5, mile 190 to 191","44.0222","-123.0268","","","","Catalpa bignonioides Walter "
"observation","289277","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R., Newhouse, B.","","2005","2005","Jackson","I-5, mile 41 to 42","42.4286","-123.0548","","","","Catalpa bignonioides Walter "
"observation","289930","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R.","","2003","2003","Jackson","I-5, mile 14 to 15","42.1895","-122.6695","","","","Catalpa bignonioides Walter "
"observation","289622","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 27 to 28","42.3150","-122.8541","","","","Catalpa bignonioides Walter "
"observation","287705","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R., Newhouse, B.","","2003","2003","Douglas","I-5, mile 100 to 101","42.9468","-123.3033","","","","Catalpa bignonioides Walter "
"observation","391282","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Otting, N., Mitchell, K.","","June 2007","2007","Baker","Interstate 84, mile post 342 to 343","44.4234","-117.3124","","","","Catalpa bignonioides Walter "
"observation","288896","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Josephine","I-5, mile 55 to 56","42.4386","-123.2879","","","","Catalpa bignonioides Walter "
"observation","283169","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Marion","I-5, mile 276 to 277","45.2066","-122.8280","","","","Catalpa bignonioides Walter "
"observation","288690","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Josephine","I-5, mile 63 to 64","42.5264","-123.3674","","","","Catalpa bignonioides Walter "
"observation","289353","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R.","","2003","2003","Jackson","I-5, mile 38 to 39","42.4148","-122.9994","","","","Catalpa bignonioides Walter "
"observation","289604","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 28 to 29","42.3260","-122.8657","","","","Catalpa bignonioides Walter "
"observation","288819","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Josephine","I-5, mile 58 to 59","42.4668","-123.3280","","","","Catalpa bignonioides Walter "
"observation","288848","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Josephine","I-5, mile 57 to 58","42.4577","-123.3135","","","","Catalpa bignonioides Walter "
"observation","289675","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R.","","2003","2003","Jackson","I-5, mile 25 to 26","42.2936","-122.8289","","","","Catalpa bignonioides Walter "
"observation","393515","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Otting, N., Coberly, C.","","21 August 2009","2009","Malheur","Highway 20, Bend to Ontario, mile post 218 to 219","43.8012","-117.6764","","","","Catalpa bignonioides Walter "
"observation","287758","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R., Newhouse, B.","","2003","2003","Douglas","I-5, mile 98 to 99","42.9273","-123.2800","","","","Catalpa bignonioides Walter "
"observation","289419","Bignoniaceae","Catalpa bignonioides","southern catalpa, common catalpa","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 35 to 36","42.4056","-122.9436","","","","Catalpa bignonioides Walter "
