"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","141655","Boraginaceae","Mertensia paniculata var. borealis","northern bluebells, tall lungwort","Cole, Gl.","","22 June 2002","2002","Linn","Quentin Creek Roadless Area","44.3090","-122.2406","640","forest","","Mertensia paniculata (Aiton) G. Don var. borealis (J.F. Macbr.) L.O. Williams "
"image","dig35225","Boraginaceae","Cryptantha milobakeri","Milo Baker's cryptantha","Gerald D. Carr","","May 18, 2013","2013","Jackson","Sensitive species - location undisclosed","42.1000","-123.2000","709","","","Cryptantha milobakeri I.M. Johnst. "
"observation","309926","Boraginaceae","Amsinckia menziesii var. intermedia","rancher's fireweed, common fiddleneck","Salix Associates","","2004 - 2005","2004","Polk","Baskett Butte - Salix Associates","44.9779","-123.2450","","","","Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. intermedia (Fisch. & C.A. Mey.) Ganders "
"image","dig25583","Boraginaceae","Plagiobothrys tenellus","slender plagiobothrys","Gerald D. Carr","","April 17, 2010","2010","Wasco","junction with Bakeoven Road at East Maupin, 0.7 mi. southwest of, Highway 197; 308m; 45.16525&#176; N -121.08733&#176; W","45.1652","-121.0873","308","","","Plagiobothrys tenellus (Nutt.) A. Gray "
"observation","243111","Boraginaceae","Plagiobothrys hirtus","hairy popcornflower","ORBIC","","12 July 2003","2003","Douglas","Sensitive species - location undisclosed","43.6000","-123.3000","113","","","Plagiobothrys hirtus (Greene) I.M. Johnst. "
"image","dig28760","Boraginaceae","Plagiobothrys austiniae","Austin's plagiobothrys","Gerald D. Carr","","April 20, 2011","2011","Jackson","Sensitive species - location undisclosed","42.5000","-122.9000","620","","","Plagiobothrys austiniae (Greene) I.M. Johnst. "
"observation","328394","Boraginaceae","Myosotis laxa","small flowered forget me not, smaller forget me not","Morse, K.","","25 June 2007","2007","Josephine","Deer Creek Center - South","42.2731","-123.6351","382","","","Myosotis laxa Lehm. "
"observation","415092","Boraginaceae","Myosotis discolor","yellow and blue forget me not, yellow and blue scorpion grass","Newhouse, B.","","2004","2004","Benton","BLM Maxfield - Section 19 Middle Meadow","44.6905","-123.3524","478","","","Myosotis discolor Pers. "
"observation","377182","Boraginaceae","Cryptantha intermedia","common cryptantha, large flowered cryptantha","Harvey, T.","","2005 - 2012","2005","Linn","Deer Creek Road","44.2763","-122.0792","732","","","Cryptantha intermedia (A. Gray) Greene "
"image","dig13256","Boraginaceae","Myosotis laxa","small flowered forget me not, smaller forget me not","Keir Morse","","June 25, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I178; 42.2730625461&#176; N -123.635062318&#176; W","42.2731","-123.6351","","","","Myosotis laxa Lehm. "
