binomial,count
Adelinia grande,48
Amsinckia lycopsoides,1
Amsinckia menziesii,18
Anchusa arvensis,1
Andersonglossum occidentale,1
Cryptantha affinis,13
Cryptantha ambigua,2
Cryptantha circumscissa,4
Cryptantha echinella,1
Cryptantha flaccida,2
Cryptantha intermedia,38
Cryptantha milobakeri,5
Cryptantha spiculifera,1
Cryptantha torreyana,6
Cynoglossum officinale,1
Gruvelia pusilla,5
Hackelia californica,4
Hackelia micrantha,22
Lithospermum californicum,6
Lithospermum ruderale,10
Mertensia bella,12
Mertensia ciliata,1
Mertensia paniculata,56
Mertensia platyphylla,16
Myosotis arvensis,1
Myosotis discolor,100
Myosotis latifolia,1
Myosotis laxa,42
Myosotis scorpioides,6
Myosotis verna,1
Pentaglottis sempervirens,9
Plagiobothrys austiniae,3
Plagiobothrys figuratus,15
Plagiobothrys glyptocarpus,14
Plagiobothrys greenei,2
Plagiobothrys hirtus,1
Plagiobothrys hispidulus,4
Plagiobothrys kingii,1
Plagiobothrys leptocladus,1
Plagiobothrys nothofulvus,7
Plagiobothrys scouleri,6
Plagiobothrys tenellus,8
Sonnea hispida,4
Symphytum officinale,2
