"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","291866","Brassicaceae","Sisymbrium altissimum","Jim Hill mustard, tumble mustard","Wilson, B.","","2002","2002","Wasco","I-84, mile 82 to 83","45.6248","-121.2116","","","","Sisymbrium altissimum L. "
"observation","283931","Brassicaceae","Lunaria annua","honesty, money plant","Wilson, B., Newhouse, B.","","2002","2002","Marion","I-5, mile 247 to 248","44.8307","-123.0129","","","","Lunaria annua L. "
"observation","360837","Brassicaceae","Cardamine californica","milk maids, toothwort","Bluhm, W., Native Plant Society of Oregon","","2005","2005","Douglas","Cedar Springs Mountain","42.7629","-123.1220","","","","Cardamine californica (Nutt.) Greene "
"observation","294974","Brassicaceae","Capsella bursa-pastoris","shepherd's purse","Wilson, B.","","1 August 2003","2003","Coos","Reiber property","43.3305","-124.1306","","","","Capsella bursa-pastoris (L.) Medik. "
"observation","407446","Brassicaceae","Draba verna","spring whitlow grass","Wilson, B., Otting, N.","","17 June 2012","2012","Crook","Eagle Rock, Crook County, across the road from the Rock itself","44.1937","-120.6395","1082","","","Draba verna L. "
"observation","400989","Brassicaceae","Sisymbrium altissimum","Jim Hill mustard, tumble mustard","Wilson, B., Otting, N.","","24 July 2009","2009","Crook","Highway 380, Prineville to Paulina, mile post 44 to 45","44.1147","-120.1435","","","","Sisymbrium altissimum L. "
"observation","380063","Brassicaceae","Cardamine angulata","angled bittercress, angle-leaved bittercress, seaside bittercress","Bluhm, W., Myers, E.","","2008 - 2010","2008","Marion","Shellburg Falls Recreation Area","44.8169","-122.6109","381","","","Cardamine angulata Hook. "
"image","dig38493","Brassicaceae","Conringia orientalis","hare's ear mustard, hedge cabbage","Gerald D. Carr","","April 30, 2014","2014","Crook","Hwy 380, 1.5 mi. ESE of jct. with Teater Rd., 11.8 mi. ESE of Post; 1067m; 44.12882&#176; N -120.28416&#176; W","44.1288","-120.2842","1067","","","Conringia orientalis (L.) Dumort. "
"observation","282453","Brassicaceae","Sisymbrium officinale","hedge mustard","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Multnomah","I-5, mile 306 to 307","45.5920","-122.6819","","","","Sisymbrium officinale (L.) Scop. "
"observation","289600","Brassicaceae","Sisymbrium officinale","hedge mustard","Wilson, B., Brainerd, R.","","2003","2003","Jackson","I-5, mile 29 to 30","42.3391","-122.8729","","","","Sisymbrium officinale (L.) Scop. "
"observation","380304","Brassicaceae","Descurainia incisa ssp. incisa","Cutleaf tansymustard","Bluhm, W., Bluhm, J.","","26 June 2010","2010","Crook","Steins Pillar Trail 837","44.4083","-120.6212","1244","","","Descurainia incisa (Engelm. ex A. Gray) Britton ssp. incisa "
"observation","290242","Brassicaceae","Sisymbrium officinale","hedge mustard","Wilson, B., Brainerd, R.","","2003","2003","Jackson","I-5, mile 3 to 4","42.0506","-122.6065","","","","Sisymbrium officinale (L.) Scop. "
"observation","306701","Brassicaceae","Sisymbrium officinale","hedge mustard","Wilson, B.","","12 August 2006","2006","Multnomah","Hayden Island, path near Menzies Ct.","45.6204","-122.6875","6","","","Sisymbrium officinale (L.) Scop. "
"image","dig23167","Brassicaceae","Arabidopsis thaliana","common wall cress, mouse ear cress","Gerald D. Carr","","April 14, 2010","2010","Linn","Belts Drive, 1.3 mi. north of Diamond Hill Road, ca. 6.4 air mi. southeast of Halsey; 96m; 44.29814&#176; N -123.05958&#176; W","44.2981","-123.0596","96","","","Arabidopsis thaliana (L.) Heynh. "
"observation","308396","Brassicaceae","Cakile maritima","European searocket, searocket","Wilson, B.","","6 September 2006","2006","Coos","North Spit - Wilson","43.3961","-124.2917","0","","","Cakile maritima Scop. "
"image","dig13266","Brassicaceae","Nasturtium officinale","watercress","Keir Morse","","July 11, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I227; 42.2779019686&#176; N -123.644194454&#176; W","42.2779","-123.6442","","","","Nasturtium officinale W.T. Aiton "
"observation","321161","Brassicaceae","Lepidium perfoliatum","clasping pepperweed","Brainerd, R., Otting, N., Wilson, B.","","21 May 2007","2007","Crook","Teager Road intersection","44.1673","-120.2400","1265","","","Lepidium perfoliatum L. "
"observation","329720","Brassicaceae","Raphanus raphanistrum","jointed charlock","Wilson, B.","","2008","2008","Polk","Luckiamute Landing","44.7390","-123.1435","50","","","Raphanus raphanistrum L. "
"observation","296866","Brassicaceae","Nasturtium officinale","watercress","Lytjen, D., Wilson, B.","","21 July 2004","2004","Crook","Road near headwaters of Swamp Creek","44.2002","-120.2271","","","","Nasturtium officinale W.T. Aiton "
"image","dig9308","Brassicaceae","Cakile maritima","European searocket, searocket","Gerald D. Carr","","October 21, 2005","2005","Lincoln","Newport","44.6369","-124.0522","","","","Cakile maritima Scop. "
"image","dig12854","Brassicaceae","Lepidium campestre","field pepperweed, field cress","Keir Morse","","May 25, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I192; 42.278278433&#176; N -123.646114455&#176; W","42.2783","-123.6461","","","","Lepidium campestre (L.) R. Br. "
"image","dig3554","Brassicaceae","Cakile maritima","European searocket, searocket","Bruce Neil Newhouse","","September 15, 2002","2002","Coos","Bandon","43.1192","-124.4072","","","","Cakile maritima Scop. "
"image","dig14312","Brassicaceae","Thysanocarpus curvipes","sand fringepod, hairy fringepod","Keir Morse","","April 20, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I060; 42.3035240752&#176; N -123.647464455&#176; W","42.3035","-123.6475","","","","Thysanocarpus curvipes Hook. "
"image","dig38499","Brassicaceae","Conringia orientalis","hare's ear mustard, hedge cabbage","Gerald D. Carr","","May 1, 2014","2014","Crook","Hwy 380, 1.5 mi. ESE of jct. with Teater Rd., 11.8 mi. ESE of Post; 1067m; 44.12882&#176; N -120.28416&#176; W","44.1288","-120.2842","1067","","","Conringia orientalis (L.) Dumort. "
"observation","291052","Brassicaceae","Sisymbrium altissimum","Jim Hill mustard, tumble mustard","Wilson, B.","","2002","2002","Gilliam","I-84, mile 137 to 138","45.7204","-120.2131","","","","Sisymbrium altissimum L. "
"observation","290960","Brassicaceae","Sisymbrium altissimum","Jim Hill mustard, tumble mustard","Wilson, B.","","2002","2002","Gilliam","I-84, mile 143 to 144","45.7668","-120.1124","","","","Sisymbrium altissimum L. "
"image","dig34905","Brassicaceae","Brassica nigra","black mustard","Gerald D. Carr","","June 9, 2013","2013","Douglas","Winchester; Between Hwy 99 and I-5, just S of Del Rio Rd.; 158m","43.2855","-123.3554","158","","","Brassica nigra (L.) Koch "
