binomial,count
Alliaria petiolata,6
Alyssum alyssoides,9
Alyssum desertorum,3
Alyssum simplex,1
Arabidopsis thaliana,25
Arabis aculeolata,6
Arabis eschscholtziana,6
Arabis modesta,3
Athysanus pusillus,10
Barbarea orthoceras,35
Barbarea verna,2
Barbarea vulgaris,3
Boechera cusickii,1
Boechera hastatula,2
Boechera howellii,8
Boechera koehleri,4
Boechera lemmonii,1
Boechera pendulocarpa,1
Boechera platysperma,3
Boechera puberula,2
Boechera retrofracta,22
Boechera subpinnatifida,5
Brassica nigra,17
Brassica rapa,23
Cakile edentula,14
Cakile maritima,15
Camelina microcarpa,1
Capsella bursa-pastoris,30
Cardamine angulata,9
Cardamine bellidifolia,7
Cardamine breweri,11
Cardamine californica,26
Cardamine hirsuta,38
Cardamine nuttallii,76
Cardamine occidentalis,2
Cardamine oligosperma,37
Cardamine penduliflora,9
Cardamine pensylvanica,2
Conringia orientalis,1
Descurainia incisa,2
Descurainia pinnata,9
Descurainia sophia,10
Draba albertina,1
Draba lonchocarpa,1
Draba verna,54
Erysimum arenicola,10
Erysimum capitatum,68
Erysimum cheiranthoides,1
Hesperis matronalis,7
Hirschfeldia incana,9
Idahoa scapigera,4
Isatis tinctoria,7
Lepidium campestre,17
Lepidium chalepense,1
Lepidium didymum,7
Lepidium draba,1
Lepidium heterophyllum,3
Lepidium latifolium,4
Lepidium oblongum,1
Lepidium perfoliatum,8
Lepidium strictum,2
Lepidium virginicum,3
Lobularia maritima,3
Lunaria annua,11
Nasturtium officinale,9
Noccaea fendleri,20
Phoenicaulis cheiranthoides,4
Polyctenium fremontii,1
Raphanus raphanistrum,8
Raphanus sativus,17
Rorippa columbiae,1
Rorippa curvipes,2
Rorippa curvisiliqua,34
Rorippa palustris,3
Rorippa sinuata,1
Sinapis arvensis,1
Sisymbrium altissimum,72
Sisymbrium linifolium,2
Sisymbrium officinale,120
Streptanthus glandulosus,1
Streptanthus howellii,2
Streptanthus tortuosus,1
Subularia aquatica,2
Teesdalia nudicaulis,10
Thelypodium laciniatum,1
Thlaspi arvense,4
Thysanocarpus curvipes,14
Turritis glabra,23
