"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig39168","Cactaceae","Opuntia fragilis","brittle cactus, brittle prickly-pear","Robert Leroy Carr","","June 5, 2014","2014","Douglas","in wash E of jct. of Hwy 17 and Foster Creek Rd., ca. 2.4 mi. S of Bridgeport; 319m; 47.9703&#176; N -119.64934&#176; W","47.970300","119.649340","319","","","Opuntia fragilis (Nutt.) Haw. "
"observation","382701","Cactaceae","Opuntia humifusa","eastern prickly pear","Wilson, B., Otting, N.","","17 July 2009","2009","Douglas","North Bank Road, 4.7 miles east of Wilbur","43.3203","-123.2648","191","","","Opuntia humifusa (Raf.) Raf. "
"image","dig39174","Cactaceae","Opuntia humifusa","eastern prickly pear","Gerald D. Carr","","July 2, 2014","2014","Douglas","N Bank Rd., 4.6 mi. E of SR 99, E of Glide; 189m; 43.31926&#176; N -123.26646&#176; W","43.3193","-123.2665","189","","","Opuntia humifusa (Raf.) Raf. "
"image","dig39176","Cactaceae","Opuntia humifusa","eastern prickly pear","Gerald D. Carr","","July 5, 2014","2014","Douglas","N Bank Rd., 4.6 mi. E of SR 99, E of Glide; 189m; 43.31926&#176; N -123.26646&#176; W","43.3193","-123.2665","189","","","Opuntia humifusa (Raf.) Raf. "
"image","dig39173","Cactaceae","Opuntia humifusa","eastern prickly pear","Gerald D. Carr","","July 2, 2014","2014","Douglas","N Bank Rd., 4.6 mi. E of SR 99, E of Glide; 189m; 43.31926&#176; N -123.26646&#176; W","43.3193","-123.2665","189","","","Opuntia humifusa (Raf.) Raf. "
"image","dig39171","Cactaceae","Opuntia humifusa","eastern prickly pear","Gerald D. Carr","","July 2, 2014","2014","Douglas","N Bank Rd., 4.6 mi. E of SR 99, E of Glide; 189m; 43.31926&#176; N -123.26646&#176; W","43.3193","-123.2665","189","","","Opuntia humifusa (Raf.) Raf. "
"observation","183578","Cactaceae","Pediocactus nigrispinus","snowball cactus","Otting, N., Lytjen, D.","","30 June 2002","2002","Wheeler","Sutton Mountain","44.6641","-120.2284","686","","","Pediocactus nigrispinus (Hochstätter) Hochstätter "
"observation","321297","Cactaceae","Opuntia fragilis","brittle cactus, brittle prickly-pear","Otting, N., Wilson, B.","","23 May 2007","2007","Crook","Bear Creek, Painted Hills","44.6583","-120.2924","600","","","Opuntia fragilis (Nutt.) Haw. "
"observation","337157","Cactaceae","Opuntia fragilis","brittle cactus, brittle prickly-pear","BLM Botanist","","5 June 2006","2006","Wheeler","11S 21E 21","44.6006","-120.2143","","","","Opuntia fragilis (Nutt.) Haw. "
"image","dig39175","Cactaceae","Opuntia humifusa","eastern prickly pear","Gerald D. Carr","","July 5, 2014","2014","Douglas","N Bank Rd., 4.6 mi. E of SR 99, E of Glide; 189m; 43.31926&#176; N -123.26646&#176; W","43.3193","-123.2665","189","","","Opuntia humifusa (Raf.) Raf. "
"observation","381391","Cactaceae","Opuntia fragilis","brittle cactus, brittle prickly-pear","Wilson, B.","","13 September 2007","2007","Wheeler","Meyers Canyon - Wilson","44.6174","-120.2030","679","","","Opuntia fragilis (Nutt.) Haw. "
"image","dig39170","Cactaceae","Opuntia fragilis","brittle cactus, brittle prickly-pear","Robert Leroy Carr","","June 5, 2014","2014","Douglas","in wash E of jct. of Hwy 17 and Foster Creek Rd., ca. 2.4 mi. S of Bridgeport; 319m; 47.9703&#176; N -119.64934&#176; W","47.9703","119.6493","319","","","Opuntia fragilis (Nutt.) Haw. "
"image","dig39177","Cactaceae","Opuntia humifusa","eastern prickly pear","Gerald D. Carr","","July 6, 2014","2014","Douglas","N Bank Rd., 4.6 mi. E of SR 99, E of Glide; 189m; 43.31926&#176; N -123.26646&#176; W","43.3193","-123.2665","189","","","Opuntia humifusa (Raf.) Raf. "
"image","dig39178","Cactaceae","Opuntia humifusa","eastern prickly pear","Gerald D. Carr","","July 6, 2014","2014","Douglas","N Bank Rd., 4.6 mi. E of SR 99, E of Glide; 189m; 43.31926&#176; N -123.26646&#176; W","43.3193","-123.2665","189","","","Opuntia humifusa (Raf.) Raf. "
"image","dig39172","Cactaceae","Opuntia humifusa","eastern prickly pear","Gerald D. Carr","","July 2, 2014","2014","Douglas","N Bank Rd., 4.6 mi. E of SR 99, E of Glide; 189m; 43.31926&#176; N -123.26646&#176; W","43.3193","-123.2665","189","","","Opuntia humifusa (Raf.) Raf. "
