"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig42272","Campanulaceae","Triodanis perfoliata","clasping Venus' looking glass","Gerald D. Carr","","June 17, 2015","2015","Clackamas","Vic. Peach Cove Fen, West Linn; 55m; 45.30264&#176; N -122.67119&#176; W","45.302600","-122.671200","55","","","Triodanis perfoliata (L.) Nieuwl. "
"observation","181535","Campanulaceae","Campanula scouleri","Scouler's harebell, Scouler's campanula","Battaile, J., Battaile, C.","","13 September 2002","2002","Klamath","Clover Creek trail","42.3000","-122.1367","1707","","","Campanula scouleri Hook. "
"observation","199905","Campanulaceae","Campanula scouleri","Scouler's harebell, Scouler's campanula","Harvey, T.","","2 October 2003","2003","Lane","Lillian Falls-Black Creek","43.7033","-122.0912","1036","","","Campanula scouleri Hook. "
"image","dig9460","Campanulaceae","Downingia bacigalupii","Bach's calico flower, Bach's downingia","Gerald D. Carr","","June 12, 2007","2007","Josephine","Eight Dollar Mountain, side road from NFD Road 4201,  0.5 mi south of llinois R Bridge; 42.24077&#176; N -123.69035&#176; W","42.2408","-123.6904","","","","Downingia bacigalupii Weiler "
"observation","305456","Campanulaceae","Campanula prenanthoides","California harebell, California bellflower","Wilson, B.","","11 July 2006","2006","Lane","Kloster Mountain","43.8676","-122.8419","509","","","Campanula prenanthoides Durand "
"observation","370470","Campanulaceae","Githopsis specularioides","common blue cup, githopsis","Harvey, T.","","2003 - 2004","2003","Lane","Mount Salem","43.9318","-122.6561","732","","","Githopsis specularioides Nutt. "
"image","dig12604","Campanulaceae","Githopsis specularioides","common blue cup, githopsis","Keir Morse","","May 11, 2007","2007","Josephine","Deer Creek Center, Selma; site code: P002; 42.2735883654&#176; N -123.64252554&#176; W","42.2736","-123.6425","","","","Githopsis specularioides Nutt. "
"observation","10096715","Campanulaceae","Downingia bacigalupii","Bach's calico flower, Bach's downingia","N.J. Otting","","25 July 2013","2013","Klamath","Unaccessioned specimen: Otting, N. #3641","42.4225","-120.9603","1448","Drying mud at margin of reservoir.","","Downingia bacigalupii Weiler "
"observation","144469","Campanulaceae","Downingia bacigalupii","Bach's calico flower, Bach's downingia","Duncan, J.","","3 July 2002","2002","Jackson","Captain Pickle #1","42.2853","-122.3092","1554","","","Downingia bacigalupii Weiler "
"observation","370809","Campanulaceae","Campanula scouleri","Scouler's harebell, Scouler's campanula","Harvey, T.","","2004 - 2013","2004","Douglas","Reynolds Ridge to Grassy Ranch","43.4003","-122.5386","1524","","","Campanula scouleri Hook. "
"observation","322491","Campanulaceae","Campanula prenanthoides","California harebell, California bellflower","Otting, N., Wilson, B.","","21 June 2007","2007","Douglas","Snively Creek Road","42.9576","-123.1753","91","","","Campanula prenanthoides Durand "
"observation","368261","Campanulaceae","Heterocodon rariflorum","rareflower heterocodon","Harvey, T.","","2005 - 2013","2005","Douglas","Fish Creek Valley","43.1052","-122.4104","1600","","","Heterocodon rariflorum Nutt. "
"observation","301934","Campanulaceae","Campanula scouleri","Scouler's harebell, Scouler's campanula","Harvey, T.","","2004 - 2007","2004","Douglas","Watson Falls","43.2488","-122.3899","838","","","Campanula scouleri Hook. "
"observation","421670","Campanulaceae","Campanula scouleri","Scouler's harebell, Scouler's campanula","Harvey, T.","","2013","2013","Lane","Eagles Rest","43.8445","-122.7535","785","","","Campanula scouleri Hook. "
"observation","375463","Campanulaceae","Campanula scouleri","Scouler's harebell, Scouler's campanula","Harvey, T.","","2008 - 2011","2008","Linn","Wildcat Mountain RNA","44.3388","-122.1213","1228","","","Campanula scouleri Hook. "
