"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","357139","Cannabaceae","Celtis reticulata","netleaf hackberry, hackberry","Wilson, B., Otting, N.","","16 August 2008","2008","Wasco","Clarno nursery","44.9184","-120.4725","389","","","Celtis reticulata Torr. "
"observation","183469","Cannabaceae","Celtis reticulata","netleaf hackberry, hackberry","Otting, N., Newhouse, B.","","25 June 2002","2002","Gilliam","Hay Creek and Six Mile Creek","45.4270","-120.3204","305","","","Celtis reticulata Torr. "
"observation","321571","Cannabaceae","Celtis reticulata","netleaf hackberry, hackberry","Otting, N., Mitchell, K., Wilson, B.","","7 June 2007","2007","Sherman","Deschutes River Recreation Area, north end","45.6287","-120.9064","58","","","Celtis reticulata Torr. "
"observation","409536","Cannabaceae","Humulus lupulus","hop","Wilson, B.","","2012","2012","Benton","Kenagy farm, north forest","44.6648","-123.0859","58","","","Humulus lupulus L. "
"image","dig41725","Cannabaceae","Humulus lupulus","hop","Gerald D. Carr","","August 26, 2015","2015","Deschutes","Cultivated, Depot Cafe, N side W Cascade Ave., near Oak St., Sisters; 974m; 44.29142&#176; N -121.55187&#176; W","44.2914","-121.5519","974","","","Humulus lupulus L. "
"image","bor3949","Cannabaceae","Celtis reticulata","netleaf hackberry, hackberry","Wilbur L. Bluhm","","June 20, 2002","2002","","Oxbow Reservoir; 640m","43.6442","-117.3314","640","","","Celtis reticulata Torr. "
"observation","323445","Cannabaceae","Celtis reticulata","netleaf hackberry, hackberry","Otting, N., Wilson, B.","","23 July 2007","2007","Gilliam","McDonald Ferry Road, north of the mouth of Rock Creek","45.5959","-120.4087","126","","","Celtis reticulata Torr. "
"image","bor3947","Cannabaceae","Celtis reticulata","netleaf hackberry, hackberry","Wilbur L. Bluhm","","June 20, 2002","2002","","Oxbow Reservoir; 640m","43.6442","-117.3314","640","","","Celtis reticulata Torr. "
"image","dig41723","Cannabaceae","Humulus lupulus","hop","Gerald D. Carr","","August 26, 2015","2015","Deschutes","Cultivated, Depot Cafe, N side W Cascade Ave., near Oak St., Sisters; 974m; 44.29142&#176; N -121.55187&#176; W","44.2914","-121.5519","974","","","Humulus lupulus L. "
"observation","336248","Cannabaceae","Celtis reticulata","netleaf hackberry, hackberry","BLM Botanist","","16 June 2004","2004","Gilliam or Sherman","01S 19E 14","45.4826","-120.4025","","","","Celtis reticulata Torr. "
"observation","10094688","Cannabaceae","Humulus lupulus","hop","R.E. Brainerd","","1 July 2012","2012","Marion","Unaccessioned specimen: Brainerd, R. #1841","45.0857","-122.7579","61","Shrubby road fill slope.","","Humulus lupulus L. "
"observation","311951","Cannabaceae","Humulus lupulus","hop","Brainerd, R., Newhouse, B., Lytjen, D., Otting, N.","","2004","2004","Lane","Green Island - Brainerd, Newhouse, Lytjen, Otting","44.1596","-123.1255","","","","Humulus lupulus L. "
"image","bor3950","Cannabaceae","Celtis reticulata","netleaf hackberry, hackberry","Wilbur L. Bluhm","","June 20, 2002","2002","","Oxbow Reservoir; 640m","43.6442","-117.3314","640","","","Celtis reticulata Torr. "
"observation","418761","Cannabaceae","Celtis reticulata","netleaf hackberry, hackberry","Maze, D.","","23 August 2014","2014","Baker","Hells Canyon","44.9921","-116.8538","","","","Celtis reticulata Torr. "
"observation","408209","Cannabaceae","Humulus lupulus","hop","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","23 July 2012","2012","Benton","Willamette Park, Corvallis, forested trail from boat launch to end","44.5455","-123.2500","67","","","Humulus lupulus L. "
"observation","329693","Cannabaceae","Humulus lupulus","hop","Wilson, B.","","2008","2008","Polk","Luckiamute Landing","44.7390","-123.1435","50","","","Humulus lupulus L. "
"observation","205471","Cannabaceae","Humulus lupulus","hop","Bluhm, W.","","2003","2003","Marion","Minto-Brown Island Park: Bluhm 2003","44.9236","-123.0722","","","","Humulus lupulus L. "
"observation","298696","Cannabaceae","Celtis reticulata","netleaf hackberry, hackberry","Brainerd, R., Otting, N., Wilson, B.","","11 July 2005","2005","Wheeler","Service Creek","44.8090","-120.0196","573","","","Celtis reticulata Torr. "
"image","dig41724","Cannabaceae","Humulus lupulus","hop","Gerald D. Carr","","August 26, 2015","2015","Deschutes","Cultivated, Depot Cafe, N side W Cascade Ave., near Oak St., Sisters; 974m; 44.29142&#176; N -121.55187&#176; W","44.2914","-121.5519","974","","","Humulus lupulus L. "
"observation","322191","Cannabaceae","Humulus lupulus","hop","Otting, N., Mitchell, K., Wilson, B.","","11 June 2007","2007","Baker","Baker City, south edge","44.7600","-117.8180","1064","","","Humulus lupulus L. "
"observation","320827","Cannabaceae","Celtis reticulata","netleaf hackberry, hackberry","Brainerd, R., Otting, N., Wilson, B.","","20 May 2007","2007","Grant","Junction of Highways 26 and 19, at Picture Gorge","44.5286","-119.6329","680","","","Celtis reticulata Torr. "
"observation","407334","Cannabaceae","Celtis reticulata","netleaf hackberry, hackberry","Wilson, B., Otting, N.","","16 June 2012","2012","Wheeler","Black Canyon on Sutton Mountain","44.7058","-120.1731","632","","","Celtis reticulata Torr. "
