"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","418003","Caprifoliaceae","Lonicera hispidula","hairy honeysuckle, pink honeysuckle","Salix Associates","","2009","2009","Lane","East Ridgeline Extension Survey, Eugene","43.9987","-123.0432","194","","","Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray "
"observation","417894","Caprifoliaceae","Lonicera hispidula","hairy honeysuckle, pink honeysuckle","Salix Associates","","2009","2009","Lane","East Ridgeline Extension Survey, Eugene","43.9987","-123.0432","194","","","Lonicera hispidula (Lindl.) Douglas ex Torr. & A. Gray "
"observation","313682","Caprifoliaceae","Lonicera involucrata var. involucrata","black twinberry","Salix Associates","","14 August 2003","2003","Linn","Hoodoo Ski Area Alpine Slide","44.4092","-121.8757","1426","","","Lonicera involucrata (Rich.) Banks ex Spreng. var. involucrata "
"observation","330655","Caprifoliaceae","Lonicera involucrata","twinberry","Wilson, B.","","3 December 2007","2007","Lincoln","Cape Foulweather","44.7606","-124.0649","138","","","Lonicera involucrata (Rich.) Banks ex Spreng. "
"observation","384401","Caprifoliaceae","Symphoricarpos albus var. laevigatus","common snowberry, black snowberry","Wilson, B.","","28 March 2010","2010","Lincoln","Twin Bridges County Park, just south of the river","44.7326","-123.8423","76","","","Symphoricarpos albus (L.) S.F. Blake var. laevigatus (Fernald) S.F. Blake "
"observation","407643","Caprifoliaceae","Lonicera involucrata","twinberry","Wilson, B., Otting, N.","","17 June 2012","2012","Crook","Devil's Post Pile Campground","44.1286","-120.8024","941","","","Lonicera involucrata (Rich.) Banks ex Spreng. "
"observation","386161","Caprifoliaceae","Lonicera involucrata","twinberry","Wilson, B.","","13 July 2010","2010","Lincoln","Newport South Jetty","44.6131","-124.0631","1","","","Lonicera involucrata (Rich.) Banks ex Spreng. "
"observation","416421","Caprifoliaceae","Symphoricarpos albus var. laevigatus","common snowberry, black snowberry","Newhouse, B.","","2007","2007","Benton","McCullough Peak, OSU Prairie","44.6298","-123.3521","649","","","Symphoricarpos albus (L.) S.F. Blake var. laevigatus (Fernald) S.F. Blake "
"observation","204196","Caprifoliaceae","Symphoricarpos albus var. laevigatus","common snowberry, black snowberry","Bluhm, W.","","2003","2003","Linn","Browder Ridge: Bluhm","44.3816","-122.1009","1158","","","Symphoricarpos albus (L.) S.F. Blake var. laevigatus (Fernald) S.F. Blake "
"observation","404096","Caprifoliaceae","Symphoricarpos albus var. laevigatus","common snowberry, black snowberry","Stein, M., Otting, N., Wilson, B.","","23 April 2011","2011","Benton","Seep S of Grass Mountain","44.4142","-123.6894","610","","","Symphoricarpos albus (L.) S.F. Blake var. laevigatus (Fernald) S.F. Blake "
"observation","356726","Caprifoliaceae","Symphoricarpos mollis","creeping snowberry, trip vine, trailing snowberry, sharpleaf snowberry","Wilson, B., Otting, N., Newhouse, B.","","8 August 2008","2008","Lake","Site D; spur 030 of Road 3780","42.3407","-120.5496","1832","","","Symphoricarpos mollis Nutt. "
