"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","409071","Caryophyllaceae","Saponaria officinalis","bouncing-bet","Wilson, B., Otting, N.","","25 July 2012","2012","Benton","Takena Landing Park","44.6412","-123.1093","58","","","Saponaria officinalis L. "
"image","dig29197","Caryophyllaceae","Stellaria obtusa","bluntsepaled starwort, Rocky Mountain starwort, clustered mountain starwort","Gerald D. Carr","","August 2, 2011","2011","Lane","Quaking Aspen Swamp Trail, ca. 0.3 mi. south of trailhead, ca. 13.9 air mi. southeast of Blue River; 1391m; 44.06111&#176; N -122.09284&#176; W","44.0611","-122.0928","1391","","","Stellaria obtusa Engelm. "
"observation","171726","Caryophyllaceae","Silene dichotoma","forked catchfly","Bluhm, W.","","2005","2005","Josephine","$8 Mountain to Onion Camp","42.2353","-123.7093","","","","Silene dichotoma Ehrh. "
"observation","360846","Caryophyllaceae","Moenchia erecta","upright chickweed, munchkin chickweed","Bluhm, W., Native Plant Society of Oregon","","2005","2005","Douglas","Cedar Springs Mountain","42.7629","-123.1220","","","","Moenchia erecta (L.) G. Gaertn., B. Mey., & Scherb. "
"observation","202271","Caryophyllaceae","Cerastium arvense","field mouse-ear chickweed","Harvey, T.","","2003 - 2010","2003","Linn","Three Pyramids - Harvey","44.4976","-122.0786","1167","","","Cerastium arvense L. "
"image","dig29138","Caryophyllaceae","Spergularia canadensis var. occidentalis","Canadian sand-spurrey","Gerald D. Carr","","June 23, 2011","2011","Lincoln","Lint Slough, east of Waldport High School, 0.1 mi. south of Highway 34, Waldport; 44.42908&#176; N -124.05851&#176; W","44.4291","-124.0585","","","","Spergularia canadensis (Pers.) G. Don var. occidentalis R. Rossbach "
"observation","351962","Caryophyllaceae","Sagina procumbens","procumbent pearlwort","Wilson, B.","","30 April 2006","2006","Lincoln","Devil's Punchbowl State Park","44.7477","-124.0608","24","","","Sagina procumbens L. "
"observation","336568","Caryophyllaceae","Silene douglasii","Douglas' catchfly, Douglas' campion, Douglas' silene","Halvorson, R.","","26 July 2005","2005","Crook","Sensitive species - location undisclosed","44.4000","-121.0000","","","","Silene douglasii Hook. "
"observation","10096264","Caryophyllaceae","Stellaria longifolia","long-leaved starwort","R.E. Brainerd","","23 August 2005","2005","Lane","Unaccessioned specimen: Brainerd, R. #s.n.","44.0314","-121.9630","1167","Wet meadow.","","Stellaria longifolia Willd. "
"observation","369085","Caryophyllaceae","Moehringia macrophylla","big-leaved sandwort","Harvey, T.","","2006 - 2013","2006","Lane","Heckletooth Mountain","43.7466","-122.3622","759","","","Moehringia macrophylla (Hook.) Fenzl "
