binomial,count
Arenaria serpyllifolia,10
Cardionema ramosissimum,14
Cerastium arvense,30
Cerastium fontanum,43
Cerastium glomeratum,164
Cerastium nutans,7
Cerastium semidecandrum,1
Cherleria obtusiloba,2
Corrigiola litoralis,1
Dianthus armeria,47
Dianthus barbatus,1
Eremogone aculeata,1
Eremogone capillaris,12
Eremogone congesta,1
Eremogone kingii,2
Eremogone pumicola,19
Holosteum umbellatum,13
Honckenya peploides,3
Lychnis coronaria,13
Moehringia macrophylla,127
Moenchia erecta,14
Petrorhagia dubia,3
Polycarpon tetraphyllum,4
Pseudostellaria jamesiana,3
Sabulina cismontana,1
Sabulina douglasii,5
Sabulina macra,1
Sabulina nuttallii,3
Sabulina pusilla,1
Sabulina rubella,1
Sagina apetala,2
Sagina decumbens,2
Sagina maxima,5
Sagina procumbens,19
Sagina saginoides,7
Saponaria officinalis,18
Scleranthus annuus,15
Silene antirrhina,6
Silene bernardina,3
Silene bolanderi,5
Silene campanulata,46
Silene dichotoma,1
Silene douglasii,28
Silene gallica,10
Silene grayi,1
Silene hookeri,21
Silene latifolia,3
Silene menziesii,3
Silene noctiflora,1
Silene nuda,1
Silene oregana,1
Silene scouleri,2
Silene suksdorfii,2
Silene vulgaris,3
Spergula arvensis,7
Spergularia canadensis,1
Spergularia macrotheca,1
Spergularia marina,4
Spergularia rubra,19
Stellaria borealis,25
Stellaria crispa,45
Stellaria longifolia,1
Stellaria longipes,5
Stellaria media,87
Stellaria nitens,22
Stellaria obtusa,20
Stellaria umbellata,1
