"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","353331","Convolvulaceae","Convolvulus arvensis","field morning-glory, field bindweed","Wilson, B.","","21 June 2008","2008","Douglas","Junction of Hwy 138 & Tyee Road","43.4753","-123.4827","78","","","Convolvulus arvensis L. "
"observation","396041","Convolvulaceae","Convolvulus arvensis","field morning-glory, field bindweed","Wilson, B., Otting, N.","","2009","2009","Deschutes","Highway 20, Albany to Sisters, mile post 99 to 100","44.3073","-121.5696","","","","Convolvulus arvensis L. "
"observation","205415","Convolvulaceae","Calystegia sepium","hedge bindweed","Bluhm, W.","","2003","2003","Marion","Minto-Brown Island Park: Bluhm 2003","44.9236","-123.0722","","","","Calystegia sepium (L.) R. Br. "
"observation","308466","Convolvulaceae","Calystegia soldanella","seashore morning-glory, coast morning-glory","Wilson, B.","","6 September 2006","2006","Curry","Floras Lake - 2006","42.9029","-124.5010","0","","","Calystegia soldanella (L.) R. Br. "
"observation","351903","Convolvulaceae","Convolvulus arvensis","field morning-glory, field bindweed","Wilson, B.","","2008","2008","Douglas","Cabin Creek Rest Area, southbound","43.4766","-123.3193","","","","Convolvulus arvensis L. "
"observation","287419","Convolvulaceae","Convolvulus arvensis","field morning-glory, field bindweed","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 111 to 112","43.0529","-123.3357","","","","Convolvulus arvensis L. "
"observation","314046","Convolvulaceae","Calystegia atriplicifolia ssp. atriplicifolia","night-blooming morning-glory","Salix Associates","","2004","2004","Lane","Lowell Butte (Disappointment Butte)","43.9243","-122.7653","","","","Calystegia atriplicifolia Hallier f. ssp. atriplicifolia "
"observation","416841","Convolvulaceae","Calystegia soldanella","seashore morning-glory, coast morning-glory","Wood, W.","","12 May 2013","2013","Curry","Lone Ranch Beach","42.1004","-124.3471","","","","Calystegia soldanella (L.) R. Br. "
"observation","409263","Convolvulaceae","Convolvulus arvensis","field morning-glory, field bindweed","Wilson, B.","","30 July 2012","2012","Linn","Atkeson property","44.5981","-123.1953","55","","","Convolvulus arvensis L. "
"observation","229479","Convolvulaceae","Convolvulus arvensis","field morning-glory, field bindweed","Wilson, B.","","2002 - 2012","2002","Wasco","The Dalles","45.5946","-121.1787","26","","","Convolvulus arvensis L. "
