"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","292690","Cornaceae","Cornus nuttallii","Pacific dogwood, western flowering dogwood","Wilson, B.","","2002","2002","Hood River","I-84, mile 50 to 51","45.6921","-121.7791","","","","Cornus nuttallii Audubon ex Torr. & A. Gray "
"image","dig11973","Cornaceae","Cornus sericea","red-osier dogwood, creek dogwood","Keir Morse","","June 26, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I183; 42.272722598&#176; N -123.642735024&#176; W","42.2727","-123.6427","","","","Cornus sericea L. "
"observation","358231","Cornaceae","Cornus sericea","red-osier dogwood, creek dogwood","Wilson, B., Otting, N.","","19 September 2008","2008","Douglas","Road to Upper Elk Meadow","43.5278","-122.8999","1287","","","Cornus sericea L. "
"observation","380226","Cornaceae","Cornus unalaschkensis","western bunchberry, dwarf cornel","Bluhm, W., Myers, E.","","August 2010","2010","Marion","South Breitenbush Gorge Trail 3366","44.7672","-121.9321","744","","","Cornus unalaschkensis Ledeb. "
"observation","423721","Cornaceae","Cornus sericea","red-osier dogwood, creek dogwood","Harvey, T.","","2012","2012","Douglas","Upper Elk Meadows: Harvey","43.5296","-122.9021","1231","","","Cornus sericea L. "
"image","dig11968","Cornaceae","Cornus nuttallii","Pacific dogwood, western flowering dogwood","Keir Morse","","April 27, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I070; 42.2927871966&#176; N -123.65408685&#176; W","42.2928","-123.6541","","","","Cornus nuttallii Audubon ex Torr. & A. Gray "
"observation","192718","Cornaceae","Cornus unalaschkensis","western bunchberry, dwarf cornel","Bluhm, W.","","2003","2003","Marion","Phantom Natural Bridge","44.7790","-122.2234","1219","","","Cornus unalaschkensis Ledeb. "
"observation","305081","Cornaceae","Cornus sericea","red-osier dogwood, creek dogwood","Wilson, B., Brainerd, R.","","13 June 2006","2006","Multnomah","Wahkeena Falls","45.5731","-122.1269","","","","Cornus sericea L. "
"observation","382783","Cornaceae","Cornus nuttallii","Pacific dogwood, western flowering dogwood","Wilson, B., Otting, N.","","20 July 2009","2009","Linn","House Rock Forest Camp","44.3923","-122.2455","437","","","Cornus nuttallii Audubon ex Torr. & A. Gray "
"observation","318087","Cornaceae","Cornus sericea","red-osier dogwood, creek dogwood","BLM Botanist","","2007","2007","Polk","Little Sink Research Natural Area","44.8371","-123.4366","","","","Cornus sericea L. "
"observation","422602","Cornaceae","Cornus unalaschkensis","western bunchberry, dwarf cornel","Harvey, T.","","2013","2013","Linn","Marion Forks Campground","44.6037","-121.9413","757","","","Cornus unalaschkensis Ledeb. "
"observation","194609","Cornaceae","Cornus nuttallii","Pacific dogwood, western flowering dogwood","Bluhm, W.","","2002","2002","Multnomah","Wauna Point Trail","45.6278","-121.9319","30","","","Cornus nuttallii Audubon ex Torr. & A. Gray "
"observation","374316","Cornaceae","Cornus sericea","red-osier dogwood, creek dogwood","Harvey, T.","","2007 - 2013","2007","Clackamas","Anvil Lake and Black Wolf Meadows","45.1513","-121.8567","1225","","","Cornus sericea L. "
"observation","196814","Cornaceae","Cornus nuttallii","Pacific dogwood, western flowering dogwood","Bluhm, W.","","July 2003","2003","Josephine","Onion Creek Trail","42.4089","-123.6925","610","","","Cornus nuttallii Audubon ex Torr. & A. Gray "
"observation","319676","Cornaceae","Cornus nuttallii","Pacific dogwood, western flowering dogwood","Otting, N., Wilson, B.","","2 May 2007","2007","Douglas","Road 17","42.8767","-123.5483","298","","","Cornus nuttallii Audubon ex Torr. & A. Gray "
"observation","379964","Cornaceae","Cornus nuttallii","Pacific dogwood, western flowering dogwood","Bluhm, W., Myers, E.","","2009 - 2010","2009","Linn","Willamette National Forest Road 040","44.6805","-121.9325","640","","","Cornus nuttallii Audubon ex Torr. & A. Gray "
"observation","380401","Cornaceae","Cornus unalaschkensis","western bunchberry, dwarf cornel","Bluhm, W.","","June 2009","2009","Linn","Tamolitch Dry Falls Trail","44.2980","-122.0340","","","","Cornus unalaschkensis Ledeb. "
"observation","315476","Cornaceae","Cornus sericea","red-osier dogwood, creek dogwood","Brainerd, R., Newhouse, B.","","28 July 2003","2003","Linn","Wolf Meadow","44.2930","-122.1380","1006","","","Cornus sericea L. "
"observation","379372","Cornaceae","Cornus nuttallii","Pacific dogwood, western flowering dogwood","Bluhm, W., Myers, E.","","July 2010","2010","Marion","Elkhorn Mountain area","44.8203","-122.3093","457","","","Cornus nuttallii Audubon ex Torr. & A. Gray "
"image","dig9675","Cornaceae","Cornus sericea","red-osier dogwood, creek dogwood","Gerald D. Carr","","May 21, 2007","2007","Benton","Herbert Green Space, near Muddy Creek, ca. 0.5 mi. southwest of dead end of Herbert Ave; 44.51984&#176; N -123.29855&#176; W","44.5198","-123.2986","","","","Cornus sericea L. "
"observation","295497","Cornaceae","Cornus unalaschkensis","western bunchberry, dwarf cornel","Otting, N., Wilson, B.","","24 August 2005","2005","Multnomah","Bull Run Watershed: intersection of roads 10 and 011","45.5112","-121.9438","620","","","Cornus unalaschkensis Ledeb. "
"observation","402892","Cornaceae","Cornus nuttallii","Pacific dogwood, western flowering dogwood","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Cornus nuttallii Audubon ex Torr. & A. Gray "
"observation","316433","Cornaceae","Cornus unalaschkensis","western bunchberry, dwarf cornel","Salix Associates","","31 August 2006","2006","Lane","Beaver Marsh, Mink Lake Basin","43.9426","-121.9232","1387","","","Cornus unalaschkensis Ledeb. "
"observation","295715","Cornaceae","Cornus unalaschkensis","western bunchberry, dwarf cornel","Otting, N., Wilson, B.","","24 August 2005","2005","Clackamas","Bull Run Watershed: intersection of roads 10 and 1000524","45.4581","-121.8823","849","","","Cornus unalaschkensis Ledeb. "
"observation","299407","Cornaceae","Cornus nuttallii","Pacific dogwood, western flowering dogwood","Brainerd, R., Wilson, B.","","20 July 2005","2005","Jackson","Stewart State Park near boat ramp","42.6843","-122.6186","579","","","Cornus nuttallii Audubon ex Torr. & A. Gray "
"observation","394994","Cornaceae","Cornus nuttallii","Pacific dogwood, western flowering dogwood","Wilson, B., Otting, N., Coberly, C.","","2010","2010","Linn","Highway 20, Albany to Sisters, mile post 54 to 55","44.3973","-122.2551","","","","Cornus nuttallii Audubon ex Torr. & A. Gray "
"image","dig23868","Cornaceae","Cornus nuttallii","Pacific dogwood, western flowering dogwood","Gerald D. Carr","","April 29, 2010","2010","Benton","Alsea Hwy, 6.2 mi. southwest of junction with Highway 20, southwest of Philomath; 149m; 44.47458&#176; N -123.46619&#176; W","44.4746","-123.4662","149","","","Cornus nuttallii Audubon ex Torr. & A. Gray "
"observation","369732","Cornaceae","Cornus sericea","red-osier dogwood, creek dogwood","Harvey, T.","","2013","2013","Linn","Ikenick Creek","44.3672","-122.1400","1030","","","Cornus sericea L. "
