"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","326950","Crassulaceae","Sedum laxum ssp. laxum","roseflower stonecrop","Morse, K.","","1 July 2007","2007","Josephine","Deer Creek Center - North","42.2924","-123.6515","456","","","Sedum laxum (Britton) A. Berger ssp. laxum "
"observation","302343","Crassulaceae","Sedum oreganum","Oregon stonecrop","Harvey, T.","","2004 - 2010","2004","Marion","Whetstone Mountain Trail: Harvey","44.8661","-122.2021","1204","","","Sedum oreganum Nutt. "
"observation","361717","Crassulaceae","Dudleya farinosa","powdery liveforever, powdery dudleya, bluff lettuce, seacliff stonecrop","Bluhm, W.","","2004 - 2006","2004","Curry","Harris Beach State Park, Brookings","42.0713","-124.3085","0","","","Dudleya farinosa (Lindl.) Britton & Rose "
"observation","313010","Crassulaceae","Sedum oregonense","cream stonecrop","Salix Associates","","July 2004","2004","Lane","Grasshopper to Chuksney Mountain Meadow # 6","43.9067","-122.1405","1573","","","Sedum oregonense (S. Watson) M. Peck "
"observation","374989","Crassulaceae","Sedum divergens","Cascade stonecrop, spreading stonecrop","Harvey, T.","","2004 - 2009","2004","Douglas","Illahee Rock","43.3489","-122.5628","1487","","","Sedum divergens S. Watson "
"image","dig27347","Crassulaceae","Crassula tillaea","moss pygmyweed, tilliwort","Gerald D. Carr","","April 21, 2011","2011","Jackson","Upper Table Rock Trail at east edge of summit plateau, off Modoc Road, north of White City; 620m; 42.46831&#176; N -122.89391&#176; W","42.4683","-122.8939","620","","","Crassula tillaea Lest.-Garl. "
"image","dig27333","Crassulaceae","Crassula connata","sand pygmyweed","Gerald D. Carr","","April 26, 2011","2011","Douglas","Cow Creek Road at Beatty Creek, ca. 5.4 mi. southwest of Riddle; 229m; 42.91864&#176; N -123.45852&#176; W","42.9186","-123.4585","229","","","Crassula connata (Ruíz & Pav.) A. Berger "
"observation","365298","Crassulaceae","Sedum spathulifolium","Purdy's stonecrop, Pacific stonecrop, broad leaved stonecrop, broadleaf stonecrop","Bluhm, W., Bluhm, J.","","May 2007","2007","Multnomah","Wahclella Falls Trail - Bluhm","45.6274","-121.9522","","","","Sedum spathulifolium Hook. "
"observation","312780","Crassulaceae","Sedum oregonense","cream stonecrop","Salix Associates","","July 2004","2004","Lane","Grasshopper to Chuksney Mountain Meadow # 3","43.8976","-122.1596","1600","","","Sedum oregonense (S. Watson) M. Peck "
"image","dig9733","Crassulaceae","Sedum stenopetalum ssp. ciliosum","Umpqua stonecrop, white wormleaf stonecrop","Gerald D. Carr","","June 11, 2007","2007","Josephine","Lower Wolf Creek Road, ca. 5.6 mi. southwest of Wolf Creek exit from I-5; 42.66467&#176; N -123.47208&#176; W","42.6647","-123.4721","","","","Sedum stenopetalum Pursh ssp. ciliosum (Howell) R.T. Clausen "
"image","dig14122","Crassulaceae","Sedum laxum ssp. laxum","roseflower stonecrop","Keir Morse","","April 20, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I208; 42.2923785016&#176; N -123.65152312&#176; W","42.2924","-123.6515","","","","Sedum laxum (Britton) A. Berger ssp. laxum "
"observation","374991","Crassulaceae","Sedum spathulifolium","Purdy's stonecrop, Pacific stonecrop, broad leaved stonecrop, broadleaf stonecrop","Harvey, T.","","2004 - 2009","2004","Douglas","Illahee Rock","43.3489","-122.5628","1487","","","Sedum spathulifolium Hook. "
"image","dig16262","Crassulaceae","Sedum laxum ssp. laxum","roseflower stonecrop","Gerald D. Carr","","June 14, 2008","2008","Josephine","NFDR 4803, 1.3 mi. south of Waldo Road, 4.6 mi. southeast of Highway 199 junction; 42.04738&#176; N -123.64573&#176; W","42.0474","-123.6457","","","","Sedum laxum (Britton) A. Berger ssp. laxum "
"observation","10096178","Crassulaceae","Sedum leibergii","Leiberg's stonecrop","R.E. Brainerd","","21 May 2013","2013","Wasco","Unaccessioned specimen: Brainerd, R. #2152","45.6463","-121.0411","107","Nrth-facing sand slope below basalt c...","","Sedum leibergii Britton "
"observation","327898","Crassulaceae","Sedum laxum ssp. laxum","roseflower stonecrop","Morse, K.","","20 April 2007","2007","Josephine","Deer Creek Center - North","42.3045","-123.6474","456","","","Sedum laxum (Britton) A. Berger ssp. laxum "
"observation","382738","Crassulaceae","Crassula connata","sand pygmyweed","Wilson, B., Otting, N.","","19 May 2010","2010","Jackson","Valley of the Rogue State Park","42.4108","-123.1510","321","","","Crassula connata (Ruíz & Pav.) A. Berger "
"observation","324300","Crassulaceae","Sedum oreganum","Oregon stonecrop","Schuller, R.","","2003","2003","Linn","Carolyn's Crown/Shafer Creek Research Natural Area","44.6107","-122.4609","853","","","Sedum oreganum Nutt. "
"image","dig9731","Crassulaceae","Sedum stenopetalum ssp. ciliosum","Umpqua stonecrop, white wormleaf stonecrop","Gerald D. Carr","","June 11, 2007","2007","Josephine","Lower Wolf Creek Road, ca. 5.6 mi. southwest of Wolf Creek exit from I-5; 42.66467&#176; N -123.47208&#176; W","42.6647","-123.4721","","","","Sedum stenopetalum Pursh ssp. ciliosum (Howell) R.T. Clausen "
