"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","292157","Cucurbitaceae","Marah oregana","Oregon bigroot, old man in the ground","Wilson, B.","","2002","2002","Wasco","I-84, mile 71 to 72","45.6945","-121.3726","","","","Marah oregana (S. Watson) Howell "
"observation","332879","Cucurbitaceae","Marah oregana","Oregon bigroot, old man in the ground","Bluhm, W.","","August 2008","2008","Tillamook","Kings and Elk Mountains","45.6167","-123.4985","244","","","Marah oregana (S. Watson) Howell "
"observation","414963","Cucurbitaceae","Marah oregana","Oregon bigroot, old man in the ground","Newhouse, B.","","2004","2004","Benton","BLM Maxfield - Section 19 East Meadow","44.6928","-123.3468","450","","","Marah oregana (S. Watson) Howell "
"observation","354544","Cucurbitaceae","Marah oregana","Oregon bigroot, old man in the ground","Wilson, B.","","15 July 2008","2008","Lincoln","Moolack Beach","44.7023","-124.0613","5","","","Marah oregana (S. Watson) Howell "
"image","dig13117","Cucurbitaceae","Marah oregana","Oregon bigroot, old man in the ground","Keir Morse","","May 25, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I015; 42.3053392688&#176; N -123.646585226&#176; W","42.3053","-123.6466","","","","Marah oregana (S. Watson) Howell "
"image","dig4333","Cucurbitaceae","Marah oregana","Oregon bigroot, old man in the ground","Bruce Neil Newhouse","","May 25, 2003","2003","Wasco","Rowena","45.6725","-121.2672","","","","Marah oregana (S. Watson) Howell "
"observation","408226","Cucurbitaceae","Marah oregana","Oregon bigroot, old man in the ground","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","23 July 2012","2012","Benton","Willamette Park, Corvallis, forested trail from boat launch to end","44.5455","-123.2500","67","","","Marah oregana (S. Watson) Howell "
"observation","319166","Cucurbitaceae","Marah oregana","Oregon bigroot, old man in the ground","Wilson, B.","","2007","2007","Lincoln","Burnt Woods Forest Road and Spout Creek Road","44.5938","-123.6492","319","","","Marah oregana (S. Watson) Howell "
"observation","413836","Cucurbitaceae","Marah oregana","Oregon bigroot, old man in the ground","Brainerd, R., Newhouse, B.","","2010","2010","Lane","Fall Creek Reservoir","43.9515","-122.7030","209","","","Marah oregana (S. Watson) Howell "
"observation","412520","Cucurbitaceae","Marah oregana","Oregon bigroot, old man in the ground","Newhouse, B., Brainerd, R.","","July 2007","2007","Benton","Herbert Farm and Natural Area, Open Space Park","44.5198","-123.2956","","","","Marah oregana (S. Watson) Howell "
"observation","415362","Cucurbitaceae","Marah oregana","Oregon bigroot, old man in the ground","Newhouse, B.","","2004","2004","Benton","BLM Maxfield - Section 19 Oak fringe of meadows","44.6869","-123.3473","","","","Marah oregana (S. Watson) Howell "
"observation","403082","Cucurbitaceae","Marah oregana","Oregon bigroot, old man in the ground","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Marah oregana (S. Watson) Howell "
