"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","388570","Cupressaceae","Juniperus occidentalis","western juniper","Wilson, B., Brainerd, R.","","19 May 2007","2007","Deschutes","Highway 97, mile post 122 to 123","44.2628","-121.1772","","","","Juniperus occidentalis Hook. "
"observation","397196","Cupressaceae","Calocedrus decurrens","incense-cedar","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","2004","2004","Lane","Highway 58, mile post 36 to 37","43.7402","-122.4591","","","","Calocedrus decurrens (Torr.) Florin "
"observation","327256","Cupressaceae","Calocedrus decurrens","incense-cedar","Morse, K.","","29 July 2007","2007","Josephine","Deer Creek Center - North","42.2956","-123.6537","456","","","Calocedrus decurrens (Torr.) Florin "
"observation","294463","Cupressaceae","Calocedrus decurrens","incense-cedar","Wilson, B.","","3 March 2003","2003","Multnomah","Troutdale","45.5456","-122.4010","9","","","Calocedrus decurrens (Torr.) Florin "
"observation","371949","Cupressaceae","Calocedrus decurrens","incense-cedar","Harvey, T.","","2004 - 2011","2004","Linn","Wolf Rock and Meadow (Lake)","44.2926","-122.1568","427","","","Calocedrus decurrens (Torr.) Florin "
"observation","412785","Cupressaceae","Calocedrus decurrens","incense-cedar","Newhouse, B.","","2011","2011","Lane","Berggren Watershed Conservation Area","44.0649","-122.8989","155","","","Calocedrus decurrens (Torr.) Florin "
"observation","319873","Cupressaceae","Thuja plicata","western redcedar","Otting, N., Wilson, B.","","3 May 2007","2007","Douglas","Road 15.1 from South Myrtle Creek Road","43.0889","-123.0108","629","","","Thuja plicata D. Don "
"observation","395933","Cupressaceae","Juniperus occidentalis","western juniper","Wilson, B., Otting, N., Coberly, C.","","2010","2010","Deschutes","Highway 20, Albany to Sisters, mile post 93 to 94","44.3761","-121.6397","","","","Juniperus occidentalis Hook. "
"observation","288689","Cupressaceae","Calocedrus decurrens","incense-cedar","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Josephine","I-5, mile 63 to 64","42.5264","-123.3674","","","","Calocedrus decurrens (Torr.) Florin "
"observation","407526","Cupressaceae","Juniperus occidentalis","western juniper","Wilson, B., Otting, N.","","17 June 2012","2012","Crook","Springs west of Liggat Table","44.0522","-120.1248","1191","","","Juniperus occidentalis Hook. "
"observation","178396","Cupressaceae","Calocedrus decurrens","incense-cedar","Heinze, D.","","16 May 2004","2004","Josephine","Onion Creek","42.4089","-123.6876","585","forest","","Calocedrus decurrens (Torr.) Florin "
