"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","353620","Cyperaceae","Carex scoparia var. scoparia","pointed broom sedge","Wilson, B., Otting, N.","","30 June 2008","2008","Douglas","Wetland, Highway 99 between I-5 and Drain","43.7028","-123.2512","111","","","Carex scoparia Schkuhr ex Willd. var. scoparia "
"observation","379320","Cyperaceae","Carex kelloggii var. kelloggii","Kellogg's sedge, lakeshore sedge","Bluhm, W., Myers, E.","","August 2009","2009","Linn","Duffy Lake and Mowich Lake Trails 3427/3422","44.4974","-121.9179","1189","","","Carex kelloggii W. Boott var. kelloggii "
"observation","405513","Cyperaceae","Carex obnupta","slough sedge","Wilson, B.","","10 July 2011","2011","Benton","Jackson-Frazier Wetland","44.6041","-123.2401","66","","","Carex obnupta L.H. Bailey "
"observation","319403","Cyperaceae","Carex hendersonii","timber sedge","Wilson, B.","","2007","2007","Lincoln","near Eddyville School","44.6339","-123.7763","27","","","Carex hendersonii L.H. Bailey "
"observation","352304","Cyperaceae","Eleocharis obtusa","blunt spikerush","Wilson, B.","","6 June 2008","2008","Douglas","Osprey Boat Launch","43.4503","-123.5387","74","","","Eleocharis obtusa (Willd.) Schult. "
"image","dig41144","Cyperaceae","Carex exsiccata","western inflated sedge","Gerald D. Carr","","May 20, 2015","2015","Clackamas","Vic. Peach Cove Fen, West Linn; 43m; 45.29947&#176; N -122.67383&#176; W","45.2995","-122.6738","43","","","Carex exsiccata L.H. Bailey "
"observation","303285","Cyperaceae","Eleocharis quinqueflora","few-flowered spikerush","Brainerd, R., Blakeley-Smith, M.","","August 2005","2005","Lane","Meadows at Headwaters of French Pete Creek","43.9805","-122.0100","1387","","","Eleocharis quinqueflora (Hartmann) Sw. "
"image","dig38690","Cyperaceae","Eleocharis macrostachya","confusing spikerush, pale spikerush","Gerald D. Carr","","September 25, 2014","2014","Douglas","Carter Lake Boat Ramp, off Hwy 101 [R. Halse 9298]; 20m","43.8564","-124.1446","","","","Eleocharis macrostachya Britton "
"observation","316530","Cyperaceae","Carex aquatilis var. dives","Sitka sedge, water sedge","Salix Associates","","30 August 2006","2006","Lane","West Porky Meadow, Mink Lake Basin","43.9261","-121.9256","1463","","","Carex aquatilis Wahlenb. var. dives (Holm) Kük. "
"image","dig11718","Cyperaceae","Carex nudata","torrent sedge, naked sedge","Keir Morse","","May 18, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I137; 42.2825616713&#176; N -123.648365596&#176; W","42.2826","-123.6484","","","","Carex nudata W. Boott "
"image","dig11717","Cyperaceae","Carex nudata","torrent sedge, naked sedge","Keir Morse","","May 18, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I137; 42.2825616713&#176; N -123.648365596&#176; W","42.2826","-123.6484","","","","Carex nudata W. Boott "
"observation","407720","Cyperaceae","Carex rossii","Ross' sedge","Wilson, B., Otting, N.","","25 June 2012","2012","Klamath","Highway 97 rest area S of Chemult","43.1783","-121.7860","1457","","","Carex rossii Boott "
"observation","424270","Cyperaceae","Carex exsiccata","western inflated sedge","Newhouse, B., Brainerd, R.","","12 August 2007","2007","Lane","Meadow NE of Chetlo Lake","43.7598","-122.0708","1600","","","Carex exsiccata L.H. Bailey "
"image","dig34316","Cyperaceae","Carex concinnoides","northwestern sedge","Tanya Harvey","","May 10, 2013","2013","Lane","along Road 5850 near Bearbones Mountain; T23S R02E S36","43.5346","-122.5183","","","","Carex concinnoides Mack. "
"observation","316472","Cyperaceae","Carex luzulina","woodrush sedge, spring sedge","Salix Associates","","31 August 2006","2006","Lane","Beaver Marsh, Mink Lake Basin","43.9426","-121.9232","1387","","","Carex luzulina Olney "
"observation","381256","Cyperaceae","Carex nebrascensis","Nebraska sedge","Wilson, B., Otting, N.","","19 August 2008","2008","Crook","Williams Spring","44.2792","-120.2310","1434","","","Carex nebrascensis Dewey "
"observation","307952","Cyperaceae","Scirpus microcarpus","small-fruited bulrush","Wilson, B., Brainerd, R.","","15 August 2006","2006","Benton","Rock Creek Watershed: SW corner of square pond below water plant","44.5074","-123.4563","","","","Scirpus microcarpus J. Presl & C. Presl "
"observation","358708","Cyperaceae","Carex whitneyi","Whitney's sedge","Wilson, B., Otting, N.","","10 July 2008","2008","Lake","Deep Creek, Road 4015-019, mile 0.9","42.0560","-120.1760","1804","","","Carex whitneyi Olney "
"observation","303556","Cyperaceae","Carex aquatilis var. aquatilis","water sedge","Brainerd, R., Newhouse, B.","","11 August 2005","2005","Lane","Meadow south, southwest of Deer Creek Trailhead","43.5884","-122.0996","1596","","","Carex aquatilis Wahlenb. var. aquatilis "
"observation","22527","Cyperaceae","Carex obnupta","slough sedge","Predeek, D.","","23 April 2003","2003","Lane","Big Island","44.0685","-122.9134","","","","Carex obnupta L.H. Bailey "
"image","dig41182","Cyperaceae","Carex leptopoda","slender-foot sedge, short-scaled sedge","Gerald D. Carr","","May 20, 2015","2015","Clackamas","Vic. Peach Cove Fen, West Linn; 44m; 45.30168&#176; N -122.6729&#176; W","45.3017","-122.6729","44","","","Carex leptopoda Mack. "
"observation","307790","Cyperaceae","Carex leptopoda","slender-foot sedge, short-scaled sedge","Wilson, B., Brainerd, R.","","10 August 2006","2006","Benton","Rock Creek Watershed: road 3409 at boundary of City property and National Forest","44.5257","-123.4964","","","","Carex leptopoda Mack. "
"observation","296179","Cyperaceae","Carex microptera","small-wing sedge","Otting, N., Wilson, B.","","30 August 2005","2005","Multnomah","Bull Run Watershed: end of road 1020 at dam on Bull Run Lake","45.4628","-121.8384","991","","","Carex microptera Mack. "
"observation","316235","Cyperaceae","Carex arcta","northern clustered sedge","Salix Associates","","30 August 2006","2006","Lane","Elk Meadows, Mink Lake Basin","43.9589","-121.9207","1422","","","Carex arcta Boott "
"observation","378384","Cyperaceae","Eriophorum angustifolium","","Harvey, T.","","2006 - 2013","2006","Linn","Park Creek Basin","44.4832","-122.0383","1088","","","Eriophorum angustifolium Honck. "
"observation","312606","Cyperaceae","Carex raynoldsii","Raynolds' sedge","Salix Associates","","July 2004","2004","Lane","Grasshopper to Chuksney Mountain Meadow # 1","43.9067","-122.1973","1402","","","Carex raynoldsii Dewey "
"observation","381977","Cyperaceae","Schoenoplectus pungens","common three-square, western bulrush, common three-square bulrush","Wilson, B.","","24 June 2009","2009","Clatsop","Hammond Boat Basin Viewpoint","46.2064","-123.9507","0","","","Schoenoplectus pungens (Vahl) Palla "
"observation","421832","Cyperaceae","Carex concinnoides","northwestern sedge","Harvey, T.","","2013","2013","Lane","Elk Camp and Nevergo Meadow","43.8876","-122.5978","1347","","","Carex concinnoides Mack. "
"observation","295194","Cyperaceae","Carex brainerdii","Brainerd's sedge","Brainerd, R., Wilson, B.","","20 July 2005","2005","Jackson","Rogue River National Forest near Spruce Lake","42.9761","-122.2928","","","","Carex brainerdii Mack. "
"observation","358065","Cyperaceae","Carex hendersonii","timber sedge","Wilson, B., Otting, N.","","19 September 2008","2008","Douglas","Mill Pond Campground","43.3804","-122.9491","347","","","Carex hendersonii L.H. Bailey "
"observation","385465","Cyperaceae","Carex hendersonii","timber sedge","Wilson, B.","","6 June 2010","2010","Polk","Upper Mill Creek Park and Mill Creek County Park","44.9880","-123.4252","195","","","Carex hendersonii L.H. Bailey "
"observation","322950","Cyperaceae","Carex hoodii","Hood's sedge","Otting, N., Wilson, B.","","22 June 2007","2007","Klamath","Seven Mile Creek; along road to trailhead stop 3","42.7175","-122.0814","1288","","","Carex hoodii Boott "
"observation","229683","Cyperaceae","Eleocharis palustris","common spikerush, creeping spikerush, marsh spikerush","Wilson, B.","","2002","2002","Marion","Rest area and park on I-5 at 241 mile marker","44.7463","-123.0583","94","","","Eleocharis palustris (L.) Roem. & Schult. "
"observation","296068","Cyperaceae","Carex rossii","Ross' sedge","Otting, N., Wilson, B.","","30 August 2005","2005","Multnomah","Bull Run Watershed: intersection of roads 20 and 2030000","45.5495","-122.0025","954","","","Carex rossii Boott "
"observation","382449","Cyperaceae","Carex subfusca","rusty sedge, pale broom sedge","Wilson, B., Otting, N.","","16 July 2009","2009","Jackson","Road to Skeeter Swamp","42.4424","-122.3949","","","","Carex subfusca W. Boott "
"observation","398048","Cyperaceae","Carex aquatilis","water sedge","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","2004","2004","Klamath","Highway 58, mile post 68 to 69","43.5472","-121.9515","","","","Carex aquatilis Wahlenb. "
"image","dig11705","Cyperaceae","Carex mendocinensis","Mendocino sedge","Keir Morse","","June 1, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I169; 42.2963726272&#176; N -123.660201636&#176; W","42.2964","-123.6602","","","","Carex mendocinensis Olney ex W. Boott "
"observation","416400","Cyperaceae","Carex leptopoda","slender-foot sedge, short-scaled sedge","Newhouse, B.","","2007","2007","Benton","Jackson West, OSU Prairie","44.6129","-123.3032","189","","","Carex leptopoda Mack. "
"observation","408156","Cyperaceae","Carex nudata","torrent sedge, naked sedge","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","23 July 2012","2012","Benton","Willamette Park, Corvallis, forested trail from boat launch to end","44.5455","-123.2500","67","","","Carex nudata W. Boott "
"observation","311803","Cyperaceae","Carex pachystachya","thick-headed sedge, Chamisso sedge","Brainerd, R., Newhouse, B., Otting, N.","","2005","2005","Lane","South Taylor","44.1270","-123.2910","102","","","Carex pachystachya Cham. ex Steud. "
