binomial,count
Bolboschoenus fluviatilis,1
Bolboschoenus maritimus,3
Calliscirpus criniger,7
Carex abrupta,2
Carex amplifolia,12
Carex angustata,4
Carex aperta,2
Carex aquatilis,96
Carex arcta,21
Carex athrostachya,23
Carex barbarae,5
Carex bolanderi,8
Carex brainerdii,7
Carex brevior,1
Carex buchananii,2
Carex buxbaumii,13
Carex californica,15
Carex canescens,16
Carex capitata,1
Carex chordorrhiza,1
Carex comosa,4
Carex concinnoides,10
Carex crawfordii,1
Carex cusickii,30
Carex deflexa,5
Carex densa,56
Carex diandra,4
Carex disperma,4
Carex douglasii,2
Carex duriuscula,1
Carex echinata,86
Carex exsiccata,30
Carex feta,30
Carex filifolia,1
Carex fracta,18
Carex geyeri,3
Carex gynodynama,9
Carex halliana,18
Carex hassei,5
Carex hendersonii,81
Carex heteroneura,1
Carex hirta,1
Carex hoodii,34
Carex hystericina,1
Carex illota,10
Carex infirminervia,3
Carex inops,57
Carex integra,13
Carex interior,3
Carex interrupta,16
Carex jonesii,25
Carex kelloggii,65
Carex klamathensis,1
Carex kobomugi,1
Carex laeviculmis,45
Carex lasiocarpa,7
Carex leporina,15
Carex leporinella,3
Carex leptalea,10
Carex leptopoda,111
Carex limosa,15
Carex livida,1
Carex luzulina,56
Carex lyngbyei,13
Carex macrocephala,5
Carex macrochaeta,1
Carex mendocinensis,12
Carex mertensii,61
Carex microptera,40
Carex multicaulis,6
Carex nebrascensis,6
Carex nervina,4
Carex neurophora,11
Carex nigricans,10
Carex nudata,74
Carex obnupta,142
Carex pachycarpa,7
Carex pachystachya,81
Carex pansa,14
Carex pellita,23
Carex pendula,4
Carex praeceptorum,1
Carex praegracilis,10
Carex praticola,1
Carex preslii,7
Carex raynoldsii,2
Carex rossii,98
Carex scirpoidea,1
Carex scoparia,5
Carex scopulorum,9
Carex serpenticola,3
Carex serratodens,22
Carex sheldonii,2
Carex simulata,8
Carex spectabilis,3
Carex stipata,47
Carex straminiformis,3
Carex subfusca,22
Carex tribuloides,2
Carex tumulicola,62
Carex unilateralis,22
Carex utriculata,66
Carex vesicaria,1
Carex viridula,5
Carex vulpinoidea,6
Carex whitneyi,2
Carex zikae,6
Cyperus difformis,2
Cyperus eragrostis,51
Cyperus erythrorhizos,8
Cyperus esculentus,4
Cyperus niger,1
Cyperus squarrosus,9
Cyperus strigosus,12
Dulichium arundinaceum,9
Eleocharis acicularis,36
Eleocharis bella,1
Eleocharis engelmannii,2
Eleocharis obtusa,18
Eleocharis palustris,44
Eleocharis parishii,2
Eleocharis quinqueflora,16
Eriophorum angustifolium,6
Eriophorum chamissonis,2
Eriophorum gracile,18
Isolepis cernua,9
Isolepis setacea,2
Lipocarpha micrantha,1
Rhynchospora alba,4
Schoenoplectus acutus,9
Schoenoplectus americanus,1
Schoenoplectus californicus,1
Schoenoplectus pungens,8
Schoenoplectus subterminalis,2
Schoenoplectus tabernaemontani,19
Scirpus congdonii,37
Scirpus cyperinus,2
Scirpus microcarpus,142
Scirpus pendulus,7
Trichophorum cespitosum,1
