"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","394332","Dennstaedtiaceae","Pteridium aquilinum var. pubescens","bracken, hairy bracken, brake fern","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 30 to 31","44.4064","-122.6777","","","","Pteridium aquilinum (L.) Kuhn var. pubescens Underw. "
"observation","395283","Dennstaedtiaceae","Pteridium aquilinum var. pubescens","bracken, hairy bracken, brake fern","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 62 to 63","44.3946","-122.1711","","","","Pteridium aquilinum (L.) Kuhn var. pubescens Underw. "
"observation","370375","Dennstaedtiaceae","Pteridium aquilinum","bracken","Harvey, T.","","2004 - 2007","2004","Linn","Monument Peak","44.6896","-122.3270","1219","","","Pteridium aquilinum (L.) Kuhn "
"observation","395466","Dennstaedtiaceae","Pteridium aquilinum var. pubescens","bracken, hairy bracken, brake fern","Wilson, B., Otting, N., Coberly, C.","","2009","2009","Linn","Highway 20, Albany to Sisters, mile post 70 to 71","44.4118","-122.0256","","","","Pteridium aquilinum (L.) Kuhn var. pubescens Underw. "
"observation","301071","Dennstaedtiaceae","Pteridium aquilinum var. pubescens","bracken, hairy bracken, brake fern","Bluhm, W.","","27 June 2006","2006","[Unknown]","Bluhm 2006 misc. sites","44.5328","-121.7135","","","","Pteridium aquilinum (L.) Kuhn var. pubescens Underw. "
"observation","296388","Dennstaedtiaceae","Pteridium aquilinum","bracken","Otting, N., Wilson, B.","","31 August 2005","2005","Multnomah","Bull Run Watershed: intersection of roads 12 and 1210","45.4621","-122.0791","527","","","Pteridium aquilinum (L.) Kuhn "
"observation","412782","Dennstaedtiaceae","Pteridium aquilinum","bracken","Newhouse, B.","","July 2008","2008","Lane","North side Baldy Trail realignment","44.0007","-123.0596","","","","Pteridium aquilinum (L.) Kuhn "
"observation","307716","Dennstaedtiaceae","Pteridium aquilinum","bracken","Wilson, B., Brainerd, R.","","10 August 2006","2006","Benton","Rock Creek Watershed: road 3405 at boundary of City property and National Forest","44.5215","-123.4964","","","","Pteridium aquilinum (L.) Kuhn "
"observation","393904","Dennstaedtiaceae","Pteridium aquilinum var. pubescens","bracken, hairy bracken, brake fern","Wilson, B., Otting, N.","","27 June 2010","2010","Lincoln","Highway 101, mile post 146 to 147","44.5623","-124.0699","","","","Pteridium aquilinum (L.) Kuhn var. pubescens Underw. "
"observation","298894","Dennstaedtiaceae","Pteridium aquilinum","bracken","Wilson, B.","","15 July 2005","2005","Lincoln","Lincoln City beach","44.9847","-124.0130","2","","","Pteridium aquilinum (L.) Kuhn "
"observation","354959","Dennstaedtiaceae","Pteridium aquilinum var. pubescens","bracken, hairy bracken, brake fern","Wilson, B., Otting, N.","","1 July 2008","2008","Douglas","Stanton Park","42.9468","-123.2928","217","","","Pteridium aquilinum (L.) Kuhn var. pubescens Underw. "
"observation","385627","Dennstaedtiaceae","Pteridium aquilinum var. pubescens","bracken, hairy bracken, brake fern","Wilson, B.","","7 June 2010","2010","Deschutes","Junction of Deschutes National Forest Roads 690 and 1008","44.3187","-121.6838","1158","","","Pteridium aquilinum (L.) Kuhn var. pubescens Underw. "
"observation","322674","Dennstaedtiaceae","Pteridium aquilinum","bracken","Otting, N., Wilson, B.","","21 June 2007","2007","Douglas","Elk Creek crossing","42.9006","-122.9310","386","","","Pteridium aquilinum (L.) Kuhn "
"observation","379209","Dennstaedtiaceae","Pteridium aquilinum var. pubescens","bracken, hairy bracken, brake fern","Bluhm, W., Myers, E.","","August 2009","2009","Linn","Duffy Lake and Mowich Lake Trails 3427/3422","44.4974","-121.9179","1189","","","Pteridium aquilinum (L.) Kuhn var. pubescens Underw. "
