"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","286272","Dryopteridaceae","Polystichum munitum","common sword fern, western sword fern","Wilson, B., Brainerd, R.","","2002","2002","Douglas","I-5, mile 157 to 158","43.6471","-123.2117","","","","Polystichum munitum (Kaulf.) C. Presl "
"observation","180502","Dryopteridaceae","Polystichum munitum","common sword fern, western sword fern","Koenig, J.","","22 May 2002","2002","Lane","Jims Oak Patch Oak Habitat Inventory","43.5004","-122.4263","686","","","Polystichum munitum (Kaulf.) C. Presl "
"observation","296156","Dryopteridaceae","Polystichum munitum","common sword fern, western sword fern","Otting, N., Wilson, B.","","30 August 2005","2005","Clackamas","Bull Run Watershed: end of road 1000524","45.4573","-121.8923","853","","","Polystichum munitum (Kaulf.) C. Presl "
"observation","179161","Dryopteridaceae","Polystichum munitum","common sword fern, western sword fern","Boyer, L.","","2002","2002","Lane","Coburg Hills","44.1168","-123.0320","","","","Polystichum munitum (Kaulf.) C. Presl "
"observation","384443","Dryopteridaceae","Polystichum munitum","common sword fern, western sword fern","Wilson, B.","","28 March 2010","2010","Lincoln","Holly-Ivy list 18: Road 229","44.6706","-123.9497","12","","","Polystichum munitum (Kaulf.) C. Presl "
"observation","297723","Dryopteridaceae","Polystichum munitum","common sword fern, western sword fern","Newhouse, B., Wilson, B.","","14 June 2005","2005","Jackson","Cobleigh Road before bridge","42.5802","-122.6126","655","","","Polystichum munitum (Kaulf.) C. Presl "
"observation","307870","Dryopteridaceae","Polystichum munitum","common sword fern, western sword fern","Wilson, B., Brainerd, R.","","15 August 2006","2006","Benton","Rock Creek Watershed: origin of road 3406-112","44.5104","-123.4633","","","","Polystichum munitum (Kaulf.) C. Presl "
"observation","297570","Dryopteridaceae","Polystichum munitum","common sword fern, western sword fern","Wilson, B., Brainerd, R., Newhouse, B.","","2005","2005","Lane","Linslaw Co. Park","44.0006","-123.6917","","","","Polystichum munitum (Kaulf.) C. Presl "
"observation","369384","Dryopteridaceae","Polystichum imbricans","","Harvey, T.","","2004 - 2011","2004","Douglas","Hemlock Lake","43.1770","-122.7063","1356","","","Polystichum imbricans (D.C. Eaton) D.H. Wagner "
"observation","331550","Dryopteridaceae","Dryopteris arguta","coastal wood fern, California wood fern, marginal wood fern","Newhouse, B.","","2008","2008","Lane","Moon Mountain Park Trail Corridor Area","44.0278","-123.0386","","","","Dryopteris arguta (Kaulf.) Maxon "
"observation","370494","Dryopteridaceae","Polystichum imbricans","","Harvey, T.","","2003 - 2004","2003","Lane","Mount Salem","43.9318","-122.6561","732","","","Polystichum imbricans (D.C. Eaton) D.H. Wagner "
"observation","371760","Dryopteridaceae","Polystichum munitum","common sword fern, western sword fern","Harvey, T.","","22 August 2007","2007","Clackamas","Wildcat Mountain, Clackamas County","45.2955","-122.0348","1081","","","Polystichum munitum (Kaulf.) C. Presl "
"observation","394774","Dryopteridaceae","Polystichum munitum","common sword fern, western sword fern","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 45 to 46","44.3954","-122.4134","","","","Polystichum munitum (Kaulf.) C. Presl "
"observation","286103","Dryopteridaceae","Polystichum munitum","common sword fern, western sword fern","Wilson, B., Brainerd, R.","","2002","2002","Douglas","I-5, mile 164 to 165","43.7328","-123.1954","","","","Polystichum munitum (Kaulf.) C. Presl "
"observation","409894","Dryopteridaceae","Polystichum munitum","common sword fern, western sword fern","Wilson, B.","","9 June 2012","2012","Lincoln","Newport: Yaquina Bay State Recreation Site","44.6245","-124.0652","6","","","Polystichum munitum (Kaulf.) C. Presl "
