"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","412645","Equisetaceae","Equisetum arvense","common horsetail","Newhouse, B., Brainerd, R.","","July 2007","2007","Benton","Herbert Farm and Natural Area, Open Space Park","44.5198","-123.2956","","","","Equisetum arvense L. "
"image","dig35372","Equisetaceae","Equisetum laevigatum","smooth scouring rush","Gerald D. Carr","","July 11, 2013","2013","Crook","Ochoco Creek Rd., 5.2 mi. NE of jct. with Hwy 26, ENE of Prineville; 1137m; 44.36989&#176; N -120.47087&#176; W","44.3699","-120.4709","1137","","","Equisetum laevigatum A. Br. "
"observation","298011","Equisetaceae","Equisetum arvense","common horsetail","Brainerd, R., Wilson, B.","","30 June 2005","2005","Lane","Mohawk Environmental Educational Area","44.1681","-122.9713","","","","Equisetum arvense L. "
"observation","404236","Equisetaceae","Equisetum hyemale","scouring rush","Wilson, B., Otting, N.","","June 2011","2011","Douglas","Susan Creek Falls day use area","43.2986","-122.9051","291","","","Equisetum hyemale L. "
"observation","182987","Equisetaceae","Equisetum arvense","common horsetail","Kuykendall, K., Brainerd, R., Lytjen, D.","","26 June 2002","2002","Jackson","Parsnip Creek/Beaver Dam Creek","42.6462","-122.4446","914","","","Equisetum arvense L. "
"observation","306651","Equisetaceae","Equisetum arvense","common horsetail","Wilson, B.","","12 August 2006","2006","Multnomah","middle of Tomahawk Island on road between marinas","45.6044","-122.6603","6","","","Equisetum arvense L. "
"observation","327274","Equisetaceae","Equisetum telmateia var. braunii","giant horsetail","Morse, K.","","29 June 2007","2007","Josephine","Deer Creek Center - North","42.2956","-123.6506","456","","","Equisetum telmateia Ehrh. var. braunii (J. Milde) Hauke "
"observation","317949","Equisetaceae","Equisetum telmateia","","BLM Botanist","","2007","2007","Benton","Forest Peak Research Natural Area","44.6687","-123.3324","","","","Equisetum telmateia Ehrh. "
"observation","353881","Equisetaceae","Equisetum arvense","common horsetail","Wilson, B., Otting, N.","","8 July 2008","2008","Lake","Deep Creek, near and west of junction of roads 3915 and 4015","42.0624","-120.1598","1748","","","Equisetum arvense L. "
"observation","353335","Equisetaceae","Equisetum telmateia var. braunii","giant horsetail","Wilson, B.","","21 June 2008","2008","Douglas","Junction of Hwy 138 & Tyee Road","43.4753","-123.4827","78","","","Equisetum telmateia Ehrh. var. braunii (J. Milde) Hauke "
"observation","323834","Equisetaceae","Equisetum laevigatum","smooth scouring rush","Otting, N., Wilson, B.","","27 July 2007","2007","Deschutes","between Sisters and the intersections of Highways 20 and 126, north of the highway","44.4517","-120.4678","1313","","","Equisetum laevigatum A. Br. "
"observation","353529","Equisetaceae","Equisetum arvense","common horsetail","Wilson, B.","","21 June 2008","2008","Douglas","Galagher Canyon Road site 5","43.4989","-123.4174","513","","","Equisetum arvense L. "
