"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","423899","Ericaceae","Vaccinium uliginosum","bog bilberry","Newhouse, B., Brainerd, R.","","26 August 2007","2007","Lane","Erma Bell Lake Basin Meadow #43","43.8464","-122.0306","1457","","","Vaccinium uliginosum L. "
"observation","403380","Ericaceae","Vaccinium parvifolium","red huckleberry, red bilberry","Moore, J., Kirby, M., Glenn, T., Dielensnyder, T., Thomas, B.","","16 July 2011","2011","Douglas","Grotto Falls, Little River - 2011","43.2485","-122.8255","905","","","Vaccinium parvifolium Sm. "
"observation","330005","Ericaceae","Arbutus menziesii","Pacific madrone, madroño","Wilson, B., Otting, N.","","3 October 2007","2007","Douglas","Bingham Creek willow site","43.0209","-123.7406","463","","","Arbutus menziesii Pursh "
"observation","395388","Ericaceae","Arctostaphylos nevadensis","pinemat manzanita, snowmat manzanita","Wilson, B., Otting, N., Coberly, C.","","2010","2010","Linn","Highway 20, Albany to Sisters, mile post 67 to 68","44.4036","-122.0805","","","","Arctostaphylos nevadensis A. Gray "
"observation","308626","Ericaceae","Vaccinium ovatum","California huckleberry, evergreen blueberry","Wilson, B.","","7 September 2006","2006","Coos","Bradley Lake Boat Ramp","43.0634","-124.4230","17","","","Vaccinium ovatum Pursh "
"observation","375424","Ericaceae","Vaccinium ovalifolium","early blueberry","Harvey, T.","","2006 - 2013","2006","Linn","Park Creek Basin","44.4832","-122.0383","1088","","","Vaccinium ovalifolium Sm. "
"observation","141578","Ericaceae","Arctostaphylos nevadensis","pinemat manzanita, snowmat manzanita","Cole, Gl.","","22 June 2002","2002","Linn","Quentin Creek Roadless Area","44.3090","-122.2406","640","forest","","Arctostaphylos nevadensis A. Gray "
"observation","287964","Ericaceae","Arbutus menziesii","Pacific madrone, madroño","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 90 to 91","42.8304","-123.2576","","","","Arbutus menziesii Pursh "
"observation","397322","Ericaceae","Rhododendron macrophyllum","Pacific rhododendron, western rhododendron","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","2004","2004","Lane","Highway 58, mile post 39 to 40","43.7313","-122.4048","","","","Rhododendron macrophyllum D. Don "
"observation","371037","Ericaceae","Pyrola picta","shinleaf, white vein pyrola","Harvey, T.","","29 September 2007","2007","Lane","Skookum Creek Swamp - Harvey","43.8740","-122.0752","896","","","Pyrola picta Sm. "
