binomial,count
Allotropa virgata,17
Arbutus menziesii,378
Arctostaphylos canescens,24
Arctostaphylos columbiana,34
Arctostaphylos nevadensis,142
Arctostaphylos patula,53
Arctostaphylos uva-ursi,21
Arctostaphylos viscida,68
Arctostaphylos ×media,2
Calluna vulgaris,2
Cassiope mertensiana,6
Chimaphila menziesii,107
Chimaphila umbellata,133
Empetrum nigrum,6
Erica lusitanica,1
Gaultheria humifusa,34
Gaultheria ovatifolia,103
Gaultheria shallon,300
Hemitomes congestum,7
Kalmia microphylla,60
Kalmiopsis leachiana,2
Leucothoë davisiae,1
Menziesia ferruginea,38
Moneses uniflora,4
Monotropa hypopitys,42
Monotropa uniflora,21
Orthilia secunda,130
Phyllodoce empetriformis,22
Phyllodoce glanduliflora,4
Pityopus californicus,1
Pleuricospora fimbriolata,10
Pterospora andromedea,51
Pyrola aphylla,3
Pyrola asarifolia,90
Pyrola minor,6
Pyrola picta,103
Rhododendron albiflorum,16
Rhododendron columbianum,11
Rhododendron macrophyllum,178
Rhododendron occidentale,52
Sarcodes sanguinea,3
Vaccinium caespitosum,43
Vaccinium deliciosum,2
Vaccinium macrocarpon,3
Vaccinium membranaceum,176
Vaccinium myrtillus,3
Vaccinium ovalifolium,75
Vaccinium ovatum,58
Vaccinium oxycoccos,9
Vaccinium parvifolium,172
Vaccinium scoparium,64
Vaccinium uliginosum,93
