"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig12435","Euphorbiaceae","Euphorbia crenulata","western wood spurge, beetle spurge","Keir Morse","","May 25, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I062; 42.306301227&#176; N -123.646886262&#176; W","42.306300","-123.646900","","","","Euphorbia crenulata Engelm. "
"image","dig27764","Euphorbiaceae","Euphorbia peplus","petty spurge","Gerald D. Carr","","September 28, 2011","2011","Benton","Sharis Restaurant, weed in flower bed on east side, near junction of NW 9th Street and NW Buchanan; 69m; 44.57705&#176; N -123.26083&#176; W","44.5770","-123.2608","69","","","Euphorbia peplus L. "
"observation","311933","Euphorbiaceae","Croton setiger","turkey mullein, dove weed, fish poison","Brainerd, R., Newhouse, B., Lytjen, D., Otting, N.","","2004","2004","Lane","Green Island - Brainerd, Newhouse, Lytjen, Otting","44.1596","-123.1255","","","","Croton setiger Hook. "
"observation","10085149","Euphorbiaceae","Chamaesyce maculata","spotted spurge, milk spurge","R.E. Brainerd","","4 October 2007","2007","Douglas","Unaccessioned specimen: Brainerd, R. #995","42.9280","-123.2757","229","","","Chamaesyce maculata (L.) Small "
"image","dig41636","Euphorbiaceae","Euphorbia oblongata","eggleaf spurge, Balkan spurge","Gerald D. Carr","","June 3, 2015","2015","Linn","North River Dr. shoulder; 212m; 44.42914&#176; N -122.61914&#176; W","44.4291","-122.6191","212","","","Euphorbia oblongata Griseb. "
"image","dig12447","Euphorbiaceae","Euphorbia crenulata","western wood spurge, beetle spurge","Keir Morse","","April 20, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I062; 42.306301227&#176; N -123.646886262&#176; W","42.3063","-123.6469","","","","Euphorbia crenulata Engelm. "
"observation","288950","Euphorbiaceae","Croton setiger","turkey mullein, dove weed, fish poison","Wilson, B., Brainerd, R., Newhouse, B.","","2005","2005","Josephine","I-5, mile 53 to 54","42.4308","-123.2517","","","","Croton setiger Hook. "
"image","dig41632","Euphorbiaceae","Euphorbia lathyris","caper spurge, mole plant","Gerald D. Carr","","September 1, 2015","2015","Lane","S side of Ferguson Rd., just E of jct. with Hulbert Lake Rd., 3.6 mi. NW of Junction City via Hwy 99W; 95m","44.2525","-123.2497","95","","","Euphorbia lathyris L. "
"observation","410006","Euphorbiaceae","Chamaesyce maculata","spotted spurge, milk spurge","Olson, B.B., Maffitt, V.","","5 May 2009","2009","Washington","Tualatin Wildlife Refuge","45.3677","-122.8363","","","","Chamaesyce maculata (L.) Small "
"observation","317953","Euphorbiaceae","Euphorbia spathulata","prairie spurge, reticulate seeded spurge, spatulate leaved spurge","BLM Botanist","","2007","2007","Benton","Forest Peak Research Natural Area","44.6687","-123.3324","","","","Euphorbia spathulata Lam. "
"image","dig12446","Euphorbiaceae","Euphorbia crenulata","western wood spurge, beetle spurge","Keir Morse","","April 20, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I062; 42.306301227&#176; N -123.646886262&#176; W","42.3063","-123.6469","","","","Euphorbia crenulata Engelm. "
"image","dig12444","Euphorbiaceae","Euphorbia crenulata","western wood spurge, beetle spurge","Keir Morse","","April 20, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I062; 42.306301227&#176; N -123.646886262&#176; W","42.3063","-123.6469","","","","Euphorbia crenulata Engelm. "
"image","dig12449","Euphorbiaceae","Euphorbia crenulata","western wood spurge, beetle spurge","Keir Morse","","April 20, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I062; 42.306301227&#176; N -123.646886262&#176; W","42.3063","-123.6469","","","","Euphorbia crenulata Engelm. "
"observation","243545","Euphorbiaceae","Croton setiger","turkey mullein, dove weed, fish poison","Battaile, C., Battaile, J.","","22 August 2004","2004","Klamath","Long Prairie","42.1333","-122.2350","","forest, herbland, shrubland","","Croton setiger Hook. "
"image","dig12451","Euphorbiaceae","Euphorbia crenulata","western wood spurge, beetle spurge","Keir Morse","","April 20, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I062; 42.306301227&#176; N -123.646886262&#176; W","42.3063","-123.6469","","","","Euphorbia crenulata Engelm. "
"observation","294153","Euphorbiaceae","Croton setiger","turkey mullein, dove weed, fish poison","Heinze, D.","","19 August 2005","2005","Josephine","Fish Hatchery Park","42.3538","-123.4160","293","herbland, savanna, shrubland","","Croton setiger Hook. "
"image","dig24335","Euphorbiaceae","Euphorbia crenulata","western wood spurge, beetle spurge","Gerald D. Carr","","April 27, 2010","2010","Douglas","Beatty Creek, west of,  Cow Creek Road; 42.91788&#176; N -123.45954&#176; W","42.9179","-123.4595","","","","Euphorbia crenulata Engelm. "
"observation","410007","Euphorbiaceae","Chamaesyce maculata","spotted spurge, milk spurge","Olson, B.B., Maffitt, V.","","5 May 2009","2009","Washington","Tualatin Wildlife Refuge","45.3677","-122.8363","","","","Chamaesyce maculata (L.) Small "
"image","dig12436","Euphorbiaceae","Euphorbia crenulata","western wood spurge, beetle spurge","Keir Morse","","May 25, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I062; 42.306301227&#176; N -123.646886262&#176; W","42.3063","-123.6469","","","","Euphorbia crenulata Engelm. "
"observation","304075","Euphorbiaceae","Euphorbia peplus","petty spurge","Wilson, B.","","16 July 2006","2006","Lincoln","Roads End Park","45.0081","-124.0081","","","","Euphorbia peplus L. "
"observation","308016","Euphorbiaceae","Croton setiger","turkey mullein, dove weed, fish poison","Wilson, B.","","23 August 2006","2006","Jackson","Dodge Bridge Park","42.5265","-122.8421","396","","","Croton setiger Hook. "
"image","dig35458","Euphorbiaceae","Euphorbia helioscopia","wartweed, mad woman's milk, summer spurge","Gerald D. Carr","","May 3, 2013","2013","Polk","roadside ditch, Hwy 221 (Wallace Rd. NW), ca. 0.8 mi. S of jct. with Hopewell Rd. NW, 1.75 mi. N of Lincoln; 53m; 45.04427&#176; N -123.0815&#176; W","45.0443","-123.0815","53","","","Euphorbia helioscopia L. "
"image","dig20495","Euphorbiaceae","Chamaesyce glyptosperma","ridge-seed spurge","Gerald D. Carr","","September 19, 2009","2009","Lake","near shore of Lake Abert, 4 mi. northeast of Valley Falls, Highway 395; 1301m; 42.52899&#176; N -120.23314&#176; W","42.5290","-120.2331","1301","","","Chamaesyce glyptosperma (Engelm.) Small "
"image","dig12440","Euphorbiaceae","Euphorbia crenulata","western wood spurge, beetle spurge","Keir Morse","","May 25, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I062; 42.306301227&#176; N -123.646886262&#176; W","42.3063","-123.6469","","","","Euphorbia crenulata Engelm. "
"image","dig12445","Euphorbiaceae","Euphorbia crenulata","western wood spurge, beetle spurge","Keir Morse","","April 20, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I062; 42.306301227&#176; N -123.646886262&#176; W","42.3063","-123.6469","","","","Euphorbia crenulata Engelm. "
"image","dig20493","Euphorbiaceae","Chamaesyce glyptosperma","ridge-seed spurge","Gerald D. Carr","","September 19, 2009","2009","Lake","near shore of Lake Abert, 4 mi. northeast of Valley Falls, Highway 395; 1301m; 42.52899&#176; N -120.23314&#176; W","42.5290","-120.2331","1301","","","Chamaesyce glyptosperma (Engelm.) Small "
