"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","369680","Fabaceae","Trifolium longipes","clover","Harvey, T.","","2004 - 2009","2004","Douglas","Hershberger Mountain and Pup Prairie","43.0328","-122.4499","1707","","","Trifolium longipes Nutt. "
"observation","381012","Fabaceae","Hosackia gracilis","seaside lotus","Wilson, B.","","July 2010","2010","Lincoln","Yachats 804 Trail","44.3257","-124.1029","6","","","Hosackia gracilis Benth. "
"observation","386434","Fabaceae","Acmispon americanus","","Wilson, B.","","30 July 2010","2010","Linn","Freeway Lakes County Park","44.5909","-123.0600","68","","","Acmispon americanus (Nutt.) Rydb. "
"observation","385862","Fabaceae","Trifolium dubium","least hop clover","Wilson, B., Otting, N., Stein, M.","","27 June 2010","2010","Lincoln","Hatfield Science Center trail along salt marsh","44.6233","-124.0131","1","","","Trifolium dubium Sibth. "
"observation","418073","Fabaceae","Trifolium dubium","least hop clover","Salix Associates","","2009","2009","Lane","East Ridgeline Extension Survey, Eugene","43.9987","-123.0432","194","","","Trifolium dubium Sibth. "
"observation","202496","Fabaceae","Lupinus latifolius","lupine","Harvey, T.","","25 July 2003","2003","Marion","Triangulation Peak: Harvey","44.7207","-121.9373","1445","","","Lupinus latifolius Lindl. ex J. Agardh "
"observation","386230","Fabaceae","Trifolium repens","white clover, Dutch clover","Wilson, B.","","13 July 2010","2010","Lincoln","Yachats Loop Road","44.3053","-124.1060","3","","","Trifolium repens L. "
"observation","352664","Fabaceae","Vicia villosa","winter vetch","Wilson, B.","","8 June 2008","2008","Douglas","Beatty Cr. T30S R6W S31, SW 1/4","42.9152","-123.4645","","","","Vicia villosa Roth "
"observation","316606","Fabaceae","Trifolium longipes","clover","Salix Associates","","31 August 2006","2006","Lane","Cliff Lake Meadow, Mink Lake Basin","43.9354","-121.8926","1559","","","Trifolium longipes Nutt. "
"observation","385295","Fabaceae","Trifolium subterraneum","subterranean clover","Wilson, B.","","2010","2010","Benton","Zion Lutheran Cemetery, Corvallis","44.5977","-123.2627","107","","","Trifolium subterraneum L. "
"observation","329960","Fabaceae","Melilotus officinalis","common yellow sweetclover","Brainerd, R., Otting, N., Wilson, B.","","17 May 2007","2007","Crook","Salt Creek","44.0370","-120.6803","1143","","","Melilotus officinalis (L.) Pall. "
"observation","381919","Fabaceae","Lotus uliginosus","greater birdsfoot trefoil","Wilson, B.","","24 June 2009","2009","Clatsop","Warrenton Waterfront Trail, 13th St.","46.1880","-123.9226","1","","","Lotus uliginosus Schkuhr "
"observation","403191","Fabaceae","Vicia sativa var. angustifolia","smaller common vetch","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Vicia sativa L. var. angustifolia (L.) Ser. "
"image","dig35807","Fabaceae","Lupinus microcarpus","chick lupine","Gerald D. Carr","","July 12, 2013","2013","Crook","Hwy 380 road cut, 0.9 mi. S of jct. with Burma Rd., ca. 13 mi. SE of Prineville; 1003m; 44.21193&#176; N -120.64636&#176; W","44.2119","-120.6464","1003","","","Lupinus microcarpus Sims "
"observation","284037","Fabaceae","Lupinus rivularis","stream lupine, riverbank lupine","Wilson, B., Newhouse, B.","","2002","2002","Marion","I-5, mile 244 to 245","44.7908","-123.0357","","","","Lupinus rivularis Douglas ex Lindl. "
"observation","286661","Fabaceae","Cytisus scoparius","Scots broom","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 141 to 142","43.4520","-123.3222","","","","Cytisus scoparius (L.) Link "
"observation","413361","Fabaceae","Trifolium repens","white clover, Dutch clover","Newhouse, B.","","2010 - 2012","2010","Lane","Coyote-Spencer Wetlands, Eugene","44.0113","-123.2633","","","","Trifolium repens L. "
"image","dig34484","Fabaceae","Trifolium cyathiferum","cup clover, wide collared clover","Tanya Harvey","","July 1, 2013","2013","Douglas","south of Bristow Prairie; T25S R03E S4","43.3957","-122.4497","","","","Trifolium cyathiferum Lindl. "
"observation","360865","Fabaceae","Hosackia crassifolia var. crassifolia","big deervetch","Bluhm, W., Native Plant Society of Oregon","","2005","2005","Douglas","Cedar Springs Mountain","42.7629","-123.1220","","","","Hosackia crassifolia Benth. var. crassifolia "
"observation","206217","Fabaceae","Trifolium repens","white clover, Dutch clover","ODA staff","","2004","2004","Lane","McGowan Prairie","44.1770","-122.9960","610","","","Trifolium repens L. "
"observation","372601","Fabaceae","Trifolium dubium","least hop clover","Harvey, T.","","2003 - 2012","2003","Lane","Youngs Rock Trail","43.5349","-122.4005","610","","","Trifolium dubium Sibth. "
"observation","419526","Fabaceae","Hosackia crassifolia","","Harvey, T.","","2003 - 2012","2003","Lane","Bearbones Mountain","43.5488","-122.5184","1204","","","Hosackia crassifolia Benth. "
