binomial,count
Acacia dealbata,1
Acmispon americanus,153
Acmispon denticulatus,4
Acmispon nevadensis,22
Acmispon parviflorus,74
Amorpha fruticosa,15
Astragalus accidens,3
Astragalus applegatei,2
Astragalus californicus,3
Astragalus conjunctus,2
Astragalus curvicarpus,2
Astragalus filipes,7
Astragalus gambelianus,4
Astragalus hoodianus,1
Astragalus lemmonii,1
Astragalus lentiginosus,5
Astragalus misellus,2
Astragalus purshii,14
Astragalus umbraticus,5
Astragalus whitneyi,1
Cytisus scoparius,458
Dalea ornata,2
Galega officinalis,1
Genista monspessulana,18
Glycyrrhiza lepidota,1
Hosackia crassifolia,56
Hosackia gracilis,10
Hosackia oblongifolia,23
Hosackia pinnata,17
Hosackia rosea,5
Hosackia stipularis,8
Laburnum anagyroides,2
Ladeania lanceolata,7
Lathyrus angulatus,9
Lathyrus aphaca,14
Lathyrus delnorticus,6
Lathyrus hirsutus,3
Lathyrus holochlorus,14
Lathyrus japonicus,15
Lathyrus lanszwertii,10
Lathyrus latifolius,248
Lathyrus littoralis,4
Lathyrus nevadensis,97
Lathyrus pauciflorus,1
Lathyrus polyphyllus,69
Lathyrus sphaericus,26
Lathyrus sulphureus,1
Lathyrus sylvestris,8
Lathyrus vestitus,4
Lotus corniculatus,133
Lotus uliginosus,75
Lupinus albicaulis,30
Lupinus albifrons,11
Lupinus andersonii,1
Lupinus arboreus,5
Lupinus arbustus,16
Lupinus argenteus,5
Lupinus bicolor,25
Lupinus latifolius,140
Lupinus lepidus,63
Lupinus leucophyllus,4
Lupinus littoralis,20
Lupinus luteolus,4
Lupinus microcarpus,2
Lupinus onustus,3
Lupinus oreganus,25
Lupinus polycarpus,21
Lupinus polyphyllus,56
Lupinus rivularis,41
Medicago arabica,5
Medicago lupulina,50
Medicago polymorpha,3
Medicago sativa,92
Melilotus albus,136
Melilotus officinalis,32
Robinia hispida,1
Robinia pseudoacacia,131
Rupertia physodes,31
Securigera varia,5
Sophora leachiana,1
Spartium junceum,6
Thermopsis gracilis,12
Thermopsis rhombifolia,1
Trifolium albopurpureum,9
Trifolium angustifolium,24
Trifolium arvense,54
Trifolium barbigerum,2
Trifolium bifidum,7
Trifolium campestre,42
Trifolium cernuum,1
Trifolium ciliolatum,2
Trifolium cyathiferum,2
Trifolium dichotomum,8
Trifolium dubium,199
Trifolium eriocephalum,28
Trifolium fragiferum,11
Trifolium glomeratum,6
Trifolium hirtum,4
Trifolium howellii,19
Trifolium hybridum,46
Trifolium incarnatum,16
Trifolium kingii,7
Trifolium longipes,65
Trifolium macrocephalum,5
Trifolium microcephalum,30
Trifolium microdon,13
Trifolium oliganthum,2
Trifolium pratense,126
Trifolium repens,306
Trifolium striatum,9
Trifolium subterraneum,87
Trifolium variegatum,22
Trifolium vesiculosum,13
Trifolium willdenovii,25
Trifolium wormskioldii,29
Ulex europaeus,10
Vicia americana,143
Vicia cracca,9
Vicia hirsuta,70
Vicia lutea,6
Vicia nigricans,28
Vicia sativa,170
Vicia tetrasperma,44
Vicia villosa,93
