"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","329229","Fagaceae","Quercus garryana var. breweri","Brewer's oak","Morse, K.","","2 June 2007","2007","Josephine","Deer Creek Center - South","42.2795","-123.6517","382","","","Quercus garryana Douglas ex Hook. var. breweri (Engelm.) Jeps. "
"observation","292208","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B.","","2002","2002","Wasco","I-84, mile 69 to 70","45.6862","-121.4068","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","380706","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Bluhm, W., Savage, J., Kimmich, R.","","27 June 2009","2009","Yamhill","Yamhill Oaks Preserve","45.1802","-123.3722","91","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","285436","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B., Brainerd, R.","","2002","2002","Lane","I-5, mile 190 to 191","44.0222","-123.0268","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","375974","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Harvey, T.","","18 August 2009","2009","Douglas","Skipper Lakes Trail","43.3716","-122.4205","1551","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","288884","Fagaceae","Quercus kelloggii","California black oak","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Josephine","I-5, mile 56 to 57","42.4461","-123.3023","","","","Quercus kelloggii Newb. "
"observation","415811","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Newhouse, B.","","2007","2007","Benton","Forest Peak, OSU Prairie","44.6884","-123.2907","430","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","372055","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Harvey, T.","","2004 - 2011","2004","Linn","Wolf Rock and Meadow (Lake)","44.2926","-122.1568","427","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","299431","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Brainerd, R., Wilson, B.","","20 July 2005","2005","Jackson","Stewart State Park near boat ramp","42.6843","-122.6186","579","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","311175","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Brainerd, R.","","5 July 2005","2005","Lane","Fall Creek","43.5275","-122.9318","427","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","284404","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Linn","I-5, mile 234 to 235","44.6487","-123.0616","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","282879","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Washington","I-5, mile 287 to 288","45.3546","-122.7637","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","288057","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 87 to 88","42.7916","-123.2602","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","295156","Fagaceae","Chrysolepis chrysophylla","giant chinquapin","Brainerd, R., Wilson, B.","","20 July 2005","2005","Jackson","Bybee Creek","42.9333","-122.4220","1061","","","Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmq. "
"observation","283468","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Marion","I-5, mile 264 to 265","45.0636","-122.9651","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","401357","Fagaceae","Quercus kelloggii","California black oak","Newhouse, B.","","2010","2010","Lane","T19S R04W Section 14 NW 1/4, private property site","43.9228","-123.1414","","","","Quercus kelloggii Newb. "
"observation","403317","Fagaceae","Chrysolepis chrysophylla","giant chinquapin","Moore, J., Kirby, M., Glenn, T., Dielensnyder, T., Thomas, B.","","16 July 2011","2011","Douglas","Grotto Falls, Little River - 2011","43.2485","-122.8255","905","","","Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmq. "
"observation","286738","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 139 to 140","43.4264","-123.3190","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","371961","Fagaceae","Chrysolepis chrysophylla","giant chinquapin","Harvey, T.","","2004 - 2011","2004","Linn","Wolf Rock and Meadow (Lake)","44.2926","-122.1568","427","","","Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmq. "
"observation","384093","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B.","","18 March 2010","2010","Benton","Chip Ross Park","44.6085","-123.2843","244","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","283160","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B., Otting, N., Newhouse, B.","","2002","2002","Marion","I-5, mile 277 to 278","45.2195","-122.8188","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","318083","Fagaceae","Quercus garryana","white oak","BLM Botanist","","2007","2007","Polk","Little Sink Research Natural Area","44.8371","-123.4366","","","","Quercus garryana Douglas ex Hook. "
"observation","290240","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 3 to 4","42.0506","-122.6065","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","297221","Fagaceae","Chrysolepis chrysophylla","giant chinquapin","Wilson, B.","","27 July 2004","2004","Linn","Icecap Campground & Carmen Reservoir","44.3406","-122.0014","829","","","Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmq. "
"observation","286552","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 146 to 147","43.5167","-123.3142","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","288655","Fagaceae","Quercus kelloggii","California black oak","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Josephine","I-5, mile 65 to 66","42.5552","-123.3713","","","","Quercus kelloggii Newb. "
"observation","290257","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B., Brainerd, R.","","2002","2002","Jackson","I-5, mile 2 to 3","42.0381","-122.6033","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","180507","Fagaceae","Quercus garryana","white oak","Koenig, J.","","22 May 2002","2002","Lane","Jims Oak Patch Oak Habitat Inventory","43.5004","-122.4263","686","","","Quercus garryana Douglas ex Hook. "
"observation","373449","Fagaceae","Chrysolepis chrysophylla","giant chinquapin","Harvey, T.","","2003 - 2014","2003","Linn","Echo Basin/North Peak","44.4109","-122.0785","1268","","","Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmq. "
"observation","395133","Fagaceae","Chrysolepis chrysophylla","giant chinquapin","Wilson, B., Otting, N., Coberly, C.","","13 May 2008","2008","Linn","Highway 20, Albany to Sisters, mile post 58 to 59","44.3966","-122.2228","","","","Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmq. "
"observation","329263","Fagaceae","Quercus chrysolepis","canyon live oak, maul oak","Morse, K.","","25 July 2007","2007","Josephine","Deer Creek Center - South","42.2798","-123.6518","382","","","Quercus chrysolepis Liebm. "
"observation","422094","Fagaceae","Chrysolepis chrysophylla","giant chinquapin","Harvey, T.","","2013","2013","Lane","Heavenly Bluff","43.5659","-122.5796","1337","","","Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmq. "
"observation","327102","Fagaceae","Quercus chrysolepis","canyon live oak, maul oak","Morse, K.","","17 May 2007","2007","Josephine","Deer Creek Center - North","42.2936","-123.6514","456","","","Quercus chrysolepis Liebm. "
"observation","416799","Fagaceae","Quercus garryana","white oak","Wood, W.","","5 May 2013","2013","Wasco","Mayer State Park","45.6828","-121.3003","","","","Quercus garryana Douglas ex Hook. "
"observation","288960","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Josephine","I-5, mile 53 to 54","42.4308","-123.2517","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","327297","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Morse, K.","","2 July 2007","2007","Josephine","Deer Creek Center - North","42.2957","-123.6531","456","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","400406","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B., Otting, N.","","21 August 2009","2009","Linn","Highway 34, Corvallis to Lebanon, mile post 3 to 4","44.5640","-123.1984","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","414311","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Newhouse, B.","","20 February 2006","2006","Lane","SE Springfield Private Site in T18S R02W","44.0291","-122.9193","","","","Quercus garryana Douglas ex Hook. var. garryana "
"observation","171704","Fagaceae","Quercus garryana var. breweri","Brewer's oak","Bluhm, W.","","2005","2005","Josephine","$8 Mountain to Onion Camp","42.2353","-123.7093","","","","Quercus garryana Douglas ex Hook. var. breweri (Engelm.) Jeps. "
"observation","409570","Fagaceae","Quercus garryana var. garryana","Oregon white oak","Wilson, B.","","2012","2012","Benton","Kenagy farm, north forest","44.6648","-123.0859","58","","","Quercus garryana Douglas ex Hook. var. garryana "
