"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","225791","Gentianaceae","Gentiana sceptrum","king's gentian, staff gentian","Mt. Hood NF botanist","","15 July 2004","2004","Clackamas","west end of West Goodfellow Lake; 02S 07E 05 NW SE","45.4240","-121.9740","878","","","Gentiana sceptrum Griseb. "
"observation","351139","Gentianaceae","Gentiana setigera","elegant gentian, Mendocino gentian","ORBIC","","2003","2003","Josephine","Sensitive species - location undisclosed","42.2000","-123.7000","","","","Gentiana setigera A. Gray "
"observation","307803","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Brainerd, R.","","10 August 2006","2006","Benton","Rock Creek Watershed: road 3409 at boundary of City property and National Forest","44.5257","-123.4964","","","","Centaurium erythraea Rafn "
"observation","354594","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Otting, N.","","30 June 2003","2003","Douglas","Sunnydale Grange","43.6631","-123.4054","","","","Centaurium erythraea Rafn "
"image","dig11826","Gentianaceae","Zeltnera muehlenbergii","Monterey centaury, Muehlenberg's centaury","Keir Morse","","June 27, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I034; 42.2754983424&#176; N -123.644012321&#176; W","42.2755","-123.6440","","","","Zeltnera muehlenbergii (Griseb.) Mansion "
"image","dig7238","Gentianaceae","Frasera umpquaensis","Umpqua frasera","Bruce Neil Newhouse","","July 27, 2005","2005","Douglas","Sensitive species - location undisclosed","43.5000","-122.9000","","","","Frasera umpquaensis M. Peck & Applegate "
"image","dig41693","Gentianaceae","Gentiana affinis","pleated gentian, prairie gentian","Gerald D. Carr","","July 26, 2015","2015","Klamath","1.3 air mi. W of Ponina Butte; 1494m","42.5584","-121.2646","1494","","","Gentiana affinis Griseb. "
"observation","315307","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Salix Associates","","April 2002","2002","Benton","Willamette Park","44.5453","-123.2487","","","","Centaurium erythraea Rafn "
"observation","311517","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Brainerd, R., Newhouse, B., Otting, N.","","2005","2005","Lane","North Taylor","44.1378","-123.2937","102","","","Centaurium erythraea Rafn "
"image","dig27859","Gentianaceae","Gentianopsis simplex","one flowered gentian","Gerald D. Carr","","September 16, 2011","2011","Lane","Quaking Aspen Swamp, S central area; 1362m","44.0601","-122.0978","1362","","","Gentianopsis simplex (A. Gray) H.H. Iltis "
"observation","322557","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Otting, N., Wilson, B.","","21 June 2007","2007","Douglas","Bland Mountain Fire, creek crossing","42.9496","-123.1054","299","","","Centaurium erythraea Rafn "
"image","dig16587","Gentianaceae","Cicendia quadrangularis","timwort","Gerald D. Carr","","June 10, 2008","2008","Lane","Sensitive species - location undisclosed","44.0000","-123.2000","","","","Cicendia quadrangularis (Lam.) Griseb. "
"observation","403759","Gentianaceae","Frasera umpquaensis","Umpqua frasera","ORBIC","","27 July 2003","2003","Josephine","Sensitive species - location undisclosed","42.6000","-123.7000","1134","","","Frasera umpquaensis M. Peck & Applegate "
"observation","416301","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Newhouse, B.","","2007","2007","Benton","Jackson Upper, OSU Prairie","44.6200","-123.2988","293","","","Centaurium erythraea Rafn "
"image","dig652","Gentianaceae","Gentiana calycosa","explorer's gentian, mountain bog gentian","Tanya Harvey","","September 8, 2002","2002","Linn","Tidbits Mountain","44.2678","-122.3178","","","","Gentiana calycosa Griseb. "
"observation","405517","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B.","","10 July 2011","2011","Benton","Jackson-Frazier Wetland","44.6041","-123.2401","66","","","Centaurium erythraea Rafn "
"image","dig24408","Gentianaceae","Gentiana setigera","elegant gentian, Mendocino gentian","Gerald D. Carr","","September 7, 2010","2010","Josephine","Sensitive species - location undisclosed","42.1000","-123.7000","462","","","Gentiana setigera A. Gray "
"observation","370846","Gentianaceae","Gentianopsis simplex","one flowered gentian","Harvey, T.","","2004 - 2013","2004","Douglas","Reynolds Ridge to Grassy Ranch","43.4003","-122.5386","1524","","","Gentianopsis simplex (A. Gray) H.H. Iltis "
"observation","180156","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Koenig, J.","","8 May 2002","2002","Lane","Camp 5 Oak Habitat Inventory","43.8877","-122.3619","610","","","Centaurium erythraea Rafn "
"observation","296532","Gentianaceae","Gentiana sceptrum","king's gentian, staff gentian","Otting, N., Wilson, B.","","31 August 2005","2005","Clackamas","Bull Run Watershed: West Goodfellow Lake and the spur road to road 12","45.4224","-121.9712","914","","","Gentiana sceptrum Griseb. "
"image","dig27860","Gentianaceae","Gentianopsis simplex","one flowered gentian","Gerald D. Carr","","September 16, 2011","2011","Lane","Quaking Aspen Swamp, south central area; 1362m","44.0601","-122.0978","1362","","","Gentianopsis simplex (A. Gray) H.H. Iltis "
"observation","307547","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Brainerd, R.","","10 August 2006","2006","Benton","Rock Creek Watershed: intersection of road 3405 with road to water plant","44.5084","-123.4559","","","","Centaurium erythraea Rafn "
"image","dig43237","Gentianaceae","Gentiana affinis","pleated gentian, prairie gentian","Bruce Neil Newhouse","","September 3, 2008","2008","Curry","Otter Point","42.4628","-124.4261","","","","Gentiana affinis Griseb. "
"image","dig27780","Gentianaceae","Frasera albicaulis var. modocensis","Modoc frasera","Gerald D. Carr","","May 20, 2011","2011","Lake","Adel-Fort Bidwell Road, 16.5 mi. southwest of Adel; 1655m; 42.00072&#176; N -120.03238&#176; W","42.0007","-120.0324","1655","","","Frasera albicaulis Griseb. var. modocensis (H. St. John) N.H. Holmgren "
"observation","355009","Gentianaceae","Centaurium erythraea","common centaury, European centaury","Wilson, B., Otting, N.","","2 July 2008","2008","Douglas","Stop on road 11.2 to China Ditch trailhead","43.1482","-123.1328","585","","","Centaurium erythraea Rafn "
