"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","314089","Geraniaceae","Geranium bicknellii","Bicknell's geranium","Salix Associates","","2004","2004","Lane","Lowell Butte (Disappointment Butte)","43.9243","-122.7653","","","","Geranium bicknellii Britton "
"observation","10094483","Geraniaceae","Geranium robertianum","herb Robert, Robert geranium","R.E. Brainerd","","5 May 2010","2010","Lincoln","Unaccessioned specimen: Brainerd, R. #1657","45.0200","-123.9642","5","Disturbed area at edge of red alder f...","","Geranium robertianum L. "
"observation","321280","Geraniaceae","Erodium cicutarium","African filaree, red-stemmed filaree","Wilson, B., Otting, N.","","22 May 2007","2007","Crook","Prineville, from the Stafford Inn to Juniper Street","44.3043","-120.8318","889","","","Erodium cicutarium (L.) L'Hér. ex Aiton "
"observation","404241","Geraniaceae","Geranium dissectum","cutleaf geranium","Wilson, B., Otting, N.","","June 2011","2011","Douglas","Susan Creek Falls day use area","43.2986","-122.9051","291","","","Geranium dissectum L. "
"observation","304585","Geraniaceae","Erodium cicutarium","African filaree, red-stemmed filaree","Wilson, B.","","17 June 2006","2006","Multnomah","T-5 Mitigation Site, near intersection of N. Time Oil and N. Rivergate Road","45.6162","-122.7842","14","","","Erodium cicutarium (L.) L'Hér. ex Aiton "
"observation","408199","Geraniaceae","Geranium robertianum","herb Robert, Robert geranium","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","23 July 2012","2012","Benton","Willamette Park, Corvallis, forested trail from boat launch to end","44.5455","-123.2500","67","","","Geranium robertianum L. "
"observation","305357","Geraniaceae","Erodium cicutarium","African filaree, red-stemmed filaree","Wilson, B.","","29 June 2006","2006","Multnomah","Kelley Point Park","45.6458","-122.7617","79","","","Erodium cicutarium (L.) L'Hér. ex Aiton "
"image","dig22507","Geraniaceae","Geranium bicknellii","Bicknell's geranium","Bruce Neil Newhouse","","June 13, 2009","2009","Linn","T15S R02W S3","44.2630","-122.9338","","","","Geranium bicknellii Britton "
"observation","329689","Geraniaceae","Geranium robertianum","herb Robert, Robert geranium","Wilson, B.","","2008","2008","Polk","Luckiamute Landing","44.7390","-123.1435","50","","","Geranium robertianum L. "
"observation","365960","Geraniaceae","Erodium cicutarium","African filaree, red-stemmed filaree","Harvey, T.","","2007","2007","Lane","Aubrey Mountain","43.7460","-122.4014","759","","","Erodium cicutarium (L.) L'Hér. ex Aiton "
