"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","301866","Grossulariaceae","Ribes lacustre","swamp gooseberry, swamp currant","Harvey, T.","","2005 - 2011","2005","Douglas","Whitehorse meadows, including Wolf Lake","43.1486","-122.4501","1603","","","Ribes lacustre (Pers.) Poir. "
"observation","421771","Grossulariaceae","Ribes sanguineum","flowering currant","Harvey, T.","","2013","2013","Lane","Eagles Rest","43.8445","-122.7535","785","","","Ribes sanguineum Pursh "
"image","dig19936","Grossulariaceae","Ribes cereum","wax currant","Tanya Harvey","","June 25, 2004","2004","Lane","Waterdog Lake, Groundhog Mountain area; 1615m; T23S R04E S21","43.5636","-122.3402","1615","","","Ribes cereum Douglas "
"observation","378682","Grossulariaceae","Ribes roezlii var. cruentum","shinyleaf gooseberry, Sierra gooseberry","Harvey, T.","","2004 - 2011","2004","Douglas","Twin Lakes","43.2348","-122.5875","1481","","","Ribes roezlii Regel var. cruentum (Greene) Rehder "
"observation","192047","Grossulariaceae","Ribes sanguineum","flowering currant","Bluhm, W., Savage, J.","","2003","2003","Hood River","Hood River Mountain Meadow and Trail","45.6422","-121.5964","480","","","Ribes sanguineum Pursh "
"observation","366109","Grossulariaceae","Ribes viscosissimum","sticky currant","Harvey, T.","","6 October 2005","2005","Lane","Bear Mountain Ridge - Harvey","43.5201","-122.2006","1806","","","Ribes viscosissimum Pursh "
"observation","388812","Grossulariaceae","Ribes cereum","wax currant","Wilson, B., Brainerd, R., Newhouse, B.","","16 May 2007","2007","Klamath","Highway 97, mile post 180 to 181","43.5254","-121.6428","","","","Ribes cereum Douglas "
"observation","305678","Grossulariaceae","Ribes sanguineum","flowering currant","Mitchell, K., Wilson, B.","","20 July 2006","2006","Curry","Croft Lake uplands","42.9862","-124.4493","","","","Ribes sanguineum Pursh "
"image","dig33950","Grossulariaceae","Ribes divaricatum var. divaricatum","straggly gooseberry","Paul Slichter","","May 24, 2011","2011","Multnomah","Springwater Trail, west of Palmblad Avenue, eastern Gresham; 110m; T01S R03E S14","45.4832","-122.4036","110","","","Ribes divaricatum Douglas var. divaricatum "
"observation","388686","Grossulariaceae","Ribes cereum","wax currant","Wilson, B., Brainerd, R.","","17 May 2007","2007","Deschutes","Highway 97, mile post 162 to 163","43.7490","-121.4618","","","","Ribes cereum Douglas "
"observation","377338","Grossulariaceae","Ribes roezlii var. cruentum","shinyleaf gooseberry, Sierra gooseberry","Harvey, T.","","2007 - 2013","2007","Lane","Eagle Creek Road 5883","43.6779","-122.1824","930","","","Ribes roezlii Regel var. cruentum (Greene) Rehder "
"image","dig33953","Grossulariaceae","Ribes divaricatum var. divaricatum","straggly gooseberry","Paul Slichter","","May 24, 2011","2011","Multnomah","Springwater Trail, west of Palmblad Avenue, eastern Gresham; 110m; T01S R03E S14","45.4832","-122.4036","110","","","Ribes divaricatum Douglas var. divaricatum "
"observation","171711","Grossulariaceae","Ribes roezlii var. cruentum","shinyleaf gooseberry, Sierra gooseberry","Bluhm, W.","","2005","2005","Josephine","$8 Mountain to Onion Camp","42.2353","-123.7093","","","","Ribes roezlii Regel var. cruentum (Greene) Rehder "
"observation","320308","Grossulariaceae","Ribes aureum","golden currant","Brainerd, R., Otting, N., Wilson, B.","","17 May 2007","2007","Crook","Lower Bear Creek Road","43.9715","-120.6808","1122","","","Ribes aureum Pursh "
"observation","10096404","Grossulariaceae","Ribes binominatum","Siskiyou gooseberry, trailing gooseberry","N.J. Otting","","17 July 2009","2009","Jackson","Unaccessioned specimen: Otting, N. #2398","42.0789","-122.7346","1958","Forb dominated subalpine meadow.","","Ribes binominatum A. Heller "
"observation","357879","Grossulariaceae","Ribes viscosissimum","sticky currant","Wilson, B., Otting, N.","","18 September 2008","2008","Douglas","Huckleberry Lake","42.8991","-122.6190","1574","","","Ribes viscosissimum Pursh "
"observation","358612","Grossulariaceae","Ribes lobbii","gummy gooseberry, Lobb's gooseberry","Otting, N., Wilson, B.","","22 June 2007","2007","Klamath","Seven Mile Creek; along road to trailhead stop 1","42.7166","-122.1257","1444","","","Ribes lobbii A. Gray "
"observation","204177","Grossulariaceae","Ribes viscosissimum","sticky currant","Bluhm, W.","","2003","2003","Linn","Browder Ridge: Bluhm","44.3816","-122.1009","1158","","","Ribes viscosissimum Pursh "
"image","dig34461","Grossulariaceae","Ribes triste","American red currant, western red currant","Tanya Harvey","","June 16, 2009","2009","Linn","Gordon Meadows; T14S R04E S11","44.3663","-122.2938","","","","Ribes triste Pall. "
"observation","321173","Grossulariaceae","Ribes cereum","wax currant","Wilson, B.","","21 May 2007","2007","Crook","Dudley Creek RNA","44.3291","-120.2542","1418","","","Ribes cereum Douglas "
"observation","308388","Grossulariaceae","Ribes sanguineum","flowering currant","Wilson, B.","","6 September 2006","2006","Coos","North Spit - Wilson","43.3961","-124.2917","0","","","Ribes sanguineum Pursh "
"observation","389166","Grossulariaceae","Ribes cereum","wax currant","Wilson, B., Brainerd, R., Newhouse, B.","","7 July 2008","2008","Klamath","Highway 97, mile post 232 to 233","42.8069","-121.8350","","","","Ribes cereum Douglas "
"observation","371666","Grossulariaceae","Ribes viscosissimum","sticky currant","Harvey, T.","","2004 - 2005","2004","Douglas","Wild Rose Point","43.3715","-122.5386","1472","","","Ribes viscosissimum Pursh "
"observation","200347","Grossulariaceae","Ribes lacustre","swamp gooseberry, swamp currant","Harvey, T.","","2003 - 2014","2003","Lane","Hell's Half Acre/Verdun Rock","43.6635","-122.1823","1356","","","Ribes lacustre (Pers.) Poir. "
"observation","336564","Grossulariaceae","Ribes cereum","wax currant","Halvorson, R.","","26 July 2005","2005","Crook","13S 15E 20 - 2005","44.4261","-120.9581","","","","Ribes cereum Douglas "
"observation","181133","Grossulariaceae","Ribes lacustre","swamp gooseberry, swamp currant","Harvey, T.","","2002 - 2013","2002","Lane","Saddleblanket Mountain and wetlands","43.9030","-122.5191","1311","","","Ribes lacustre (Pers.) Poir. "
"observation","312432","Grossulariaceae","Ribes lacustre","swamp gooseberry, swamp currant","Salix Associates","","July 2004","2004","Lane","Grasshopper to Chuksney Mountain Meadow # 1","43.9067","-122.1973","1402","","","Ribes lacustre (Pers.) Poir. "
"observation","380243","Grossulariaceae","Ribes lacustre","swamp gooseberry, swamp currant","Bluhm, W., Myers, E.","","August 2010","2010","Marion","South Breitenbush Gorge Trail 3366","44.7672","-121.9321","744","","","Ribes lacustre (Pers.) Poir. "
"observation","356933","Grossulariaceae","Ribes cereum","wax currant","Wilson, B., Otting, N., Newhouse, B.","","8 August 2008","2008","Lake","Site K; junction of Roads 23 and 3411","42.5846","-120.7405","2089","","","Ribes cereum Douglas "
"observation","316178","Grossulariaceae","Ribes lacustre","swamp gooseberry, swamp currant","Salix Associates","","30 August 2006","2006","Lane","Elk Meadows, Mink Lake Basin","43.9589","-121.9207","1422","","","Ribes lacustre (Pers.) Poir. "
"observation","367394","Grossulariaceae","Ribes bracteosum","stink currant, blue currant","Harvey, T.","","2005 - 2008","2005","Douglas","Rd 5851, by Balm Mountain, Coal Creek","43.4005","-122.4205","1341","","","Ribes bracteosum Douglas ex Hook. "
"observation","378800","Grossulariaceae","Ribes binominatum","Siskiyou gooseberry, trailing gooseberry","Harvey, T.","","2009 - 2013","2009","Lane","Warfield Bog and Wetlands","43.6347","-122.2423","1494","","","Ribes binominatum A. Heller "
"image","dig36207","Grossulariaceae","Ribes inerme var. inerme","whitestem gooseberry","Gerald D. Carr","","July 12, 2013","2013","Crook","Along Canyon Creek Rd., just E of Dudley Creek crossing, SW of Big Summit Prairie, E of Prineville; 1422m","44.3284","-120.2545","1422","","","Ribes inerme Rydb. var. inerme "
"observation","243699","Grossulariaceae","Ribes viscosissimum","sticky currant","Battaile, C., Battaile, J.","","24 June 2003","2003","Klamath","Desolation Swamp","42.3000","-122.1833","1524","forest, herbland, shrubland","","Ribes viscosissimum Pursh "
"observation","366317","Grossulariaceae","Ribes roezlii var. cruentum","shinyleaf gooseberry, Sierra gooseberry","Harvey, T.","","2005 - 2010","2005","Douglas","Big Squaw Mountain - Harvey","43.1425","-122.7651","1219","","","Ribes roezlii Regel var. cruentum (Greene) Rehder "
"observation","181472","Grossulariaceae","Ribes binominatum","Siskiyou gooseberry, trailing gooseberry","Simpson, C., Harvey, T.","","20 September 2002","2002","Lane","Groundhog Mountain/Little Groundhog Mountain area","43.5781","-122.3402","1622","","","Ribes binominatum A. Heller "
"observation","375161","Grossulariaceae","Ribes lacustre","swamp gooseberry, swamp currant","Harvey, T.","","2006 - 2011","2006","Douglas","Lookout Mountain, Douglas County","43.2638","-122.7458","1402","","","Ribes lacustre (Pers.) Poir. "
"observation","203676","Grossulariaceae","Ribes lacustre","swamp gooseberry, swamp currant","Harvey, T.","","16 June 2003","2003","Marion","Phantom Bridge: Harvey","44.7790","-122.2234","1244","","","Ribes lacustre (Pers.) Poir. "
