"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","329451","Iridaceae","Sisyrinchium bellum","western blue-eyed grass, beautiful blue-eyed grass","Morse, K.","","12 May 2007","2007","Josephine","Deer Creek Center - South","42.2817","-123.6512","382","","","Sisyrinchium bellum S. Watson "
"observation","381529","Iridaceae","Crocosmia × crocosmiiflora","montbretia","Wilson, B.","","17 May 2009","2009","Lincoln","5290 Highway 101, south of Waldport","44.3886","-124.0882","7","","","Crocosmia × crocosmiiflora (Lemoine) N.E. Brown "
"observation","401259","Iridaceae","Sisyrinchium idahoense","Idaho blue-eyed grass","Newhouse, B.","","2007 - 2009","2007","Lane","Private Site about 1.5 miles north of Fern Ridge Dam","44.1538","-123.2921","101","","","Sisyrinchium idahoense E.P. Bicknell "
"image","dig14202","Iridaceae","Sisyrinchium bellum","western blue-eyed grass, beautiful blue-eyed grass","Keir Morse","","May 17, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I034; 42.2754983424&#176; N -123.644012321&#176; W","42.2755","-123.6440","","","","Sisyrinchium bellum S. Watson "
"image","dig24613","Iridaceae","Iris innominata","golden iris, Del Norte County iris","Gerald D. Carr","","April 28, 2010","2010","Douglas","Cow Creek Road, 14.4 mi. west of I-5 exit 80, west of Glendale; 347m; 42.7825&#176; N -123.57995&#176; W","42.7825","-123.5800","347","","","Iris innominata L.F. Hend. "
"observation","321228","Iridaceae","Iris missouriensis","western blue flag, Rocky Mountain iris","Wilson, B.","","21 May 2007","2007","Crook","Lookout Pasture, north edge","44.3239","-120.2366","1394","","","Iris missouriensis Nutt. "
"observation","329588","Iridaceae","Iris tenax var. gormanii","Gorman's iris","Robinson, A.","","29 May 2006","2006","Washington","Sensitive species - location undisclosed","45.5000","-123.2000","","","","Iris tenax Douglas ex Lindl. var. gormanii (Piper) R.C. Foster "
"observation","328362","Iridaceae","Iris chrysophylla","yellow-leaf iris, slender-tubed iris","Morse, K.","","11 May 2007","2007","Josephine","Deer Creek Center - South","42.2729","-123.6418","382","","","Iris chrysophylla Howell "
"observation","298027","Iridaceae","Iris tenax","tough-leaf iris, Oregon iris","Brainerd, R., Wilson, B.","","30 June 2005","2005","Lane","Mohawk Environmental Educational Area","44.1681","-122.9713","","","","Iris tenax Douglas ex Lindl. "
"image","dig39520","Iridaceae","Sisyrinchium bellum","western blue-eyed grass, beautiful blue-eyed grass","Gerald D. Carr","","August 8, 2014","2014","Curry","Gated gravel rd. to powerlines NE above Hume Rd., off CR 545, just NE of Wedderburn; 27m; 42.43244&#176; N -124.40907&#176; W","42.4324","-124.4091","27","","","Sisyrinchium bellum S. Watson "
"observation","298919","Iridaceae","Crocosmia × crocosmiiflora","montbretia","Wilson, B.","","16 July 2005","2005","Lincoln","Lincoln City neighborhood","44.9847","-124.0130","8","","","Crocosmia × crocosmiiflora (Lemoine) N.E. Brown "
"observation","421724","Iridaceae","Iris chrysophylla","yellow-leaf iris, slender-tubed iris","Harvey, T.","","2013","2013","Lane","Eagles Rest","43.8445","-122.7535","785","","","Iris chrysophylla Howell "
"observation","190496","Iridaceae","Iris tenax","tough-leaf iris, Oregon iris","Salix Associates","","September 2002","2002","Lane","Weiss Road Oak Restoration Site","43.9041","-123.1403","","","","Iris tenax Douglas ex Lindl. "
"observation","430423","Iridaceae","Iris × thompsonii","Thompson's iris","Wood, W.","","26 May 2015","2015","Curry","Road to summit of Mount Emily, USFS Road 1983-110, 11","42.1024","-124.1528","","","","Iris × thompsonii R.C. Foster "
"observation","180262","Iridaceae","Sisyrinchium idahoense","Idaho blue-eyed grass","Koenig, J.","","9 May 2002","2002","Lane","Major Prairie Oak Habitat Inventory","43.8888","-122.2621","671","","","Sisyrinchium idahoense E.P. Bicknell "
"image","dig5582","Iridaceae","Olsynium douglasii","grass widows, purple-eyed grass","Aaron Irving Liston","","","2005","Wasco","Memaloose Overlook","45.6944","-121.3497","","","","Olsynium douglasii (A. Dietr.) E.P. Bicknell "
