"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","401342","Isoetaceae","Isoetes nuttallii","Nuttall's quillwort","Newhouse, B.","","2007 - 2009","2007","Lane","Private Site about 1.5 miles north of Fern Ridge Dam","44.1538","-123.2921","101","","","Isoetes nuttallii A. Braun "
"image","dig24632","Isoetaceae","Isoetes occidentalis","western quillwort","Gerald D. Carr","","September 22, 2010","2010","Lane","Woahink Lake Boat Ramp, Canary Road, 0.7 mi. west of junction with Highway 101, 2.8 mi. south of Glenada; 12m; 43.92707&#176; N -124.0983&#176; W","43.9271","-124.0983","12","","","Isoetes occidentalis L.F. Hend. "
"image","dig24634","Isoetaceae","Isoetes occidentalis","western quillwort","Gerald D. Carr","","September 23, 2010","2010","Lane","Woahink Lake Boat Ramp; 12m","43.9271","-124.0983","12","","","Isoetes occidentalis L.F. Hend. "
"image","dig24631","Isoetaceae","Isoetes occidentalis","western quillwort","Gerald D. Carr","","September 22, 2010","2010","Lane","Woahink Lake Boat Ramp, Canary Road, 0.7 mi. west of junction with Highway 101, 2.8 mi. south of Glenada; 12m","43.9271","-124.0983","12","","","Isoetes occidentalis L.F. Hend. "
"image","dig24633","Isoetaceae","Isoetes occidentalis","western quillwort","Gerald D. Carr","","September 23, 2010","2010","Lane","Woahink Lake Boat Ramp, Canary Road, 0.7 mi. west of junction with Highway 101, 2.8 mi. south of Glenada; 12m; 43.92707&#176; N -124.0983&#176; W","43.9271","-124.0983","12","","","Isoetes occidentalis L.F. Hend. "
"image","dig24630","Isoetaceae","Isoetes occidentalis","western quillwort","Gerald D. Carr","","September 22, 2010","2010","Lane","Woahink Lake Boat Ramp, Canary Rd., 0.7 mi. W of junction with Hwy. 101, 2.8 mi. S of Glenada; 12m","43.9271","-124.0983","12","","","Isoetes occidentalis L.F. Hend. "
"image","dig5423","Isoetaceae","Isoetes howellii","Howell's quillwort","Aaron Irving Liston","","","2004","Lane","Veneta","44.0489","-123.3497","","","","Isoetes howellii Engelm. "
"image","dig5426","Isoetaceae","Isoetes howellii","Howell's quillwort","Aaron Irving Liston","","","2004","Lane","Veneta","44.0489","-123.3497","","","","Isoetes howellii Engelm. "
"image","dig5420","Isoetaceae","Isoetes howellii","Howell's quillwort","Aaron Irving Liston","","","2004","Lane","Veneta","44.0489","-123.3497","","","","Isoetes howellii Engelm. "
"observation","309893","Isoetaceae","Isoetes nuttallii","Nuttall's quillwort","Salix Associates","","2004","2004","Benton","Allen & Allen","44.4903","-123.3269","73","","","Isoetes nuttallii A. Braun "
"image","dig5419","Isoetaceae","Isoetes howellii","Howell's quillwort","Aaron Irving Liston","","","2004","Lane","Veneta","44.0489","-123.3497","","","","Isoetes howellii Engelm. "
"observation","305253","Isoetaceae","Isoetes nuttallii","Nuttall's quillwort","Wilson, B.","","5 July 2006","2006","Marion","Base of Frazer Road at intersection with Drift Creek Road","44.8973","-122.7030","","","","Isoetes nuttallii A. Braun "
"image","dig26592","Isoetaceae","Isoetes orcuttii","Orcutt's quillwort","Frank T. Callahan II","","May 3, 2011","2011","Jackson","Lower Table Rock; 42.452179&#176; N -122.951115&#176; W","42.4522","-122.9511","","","","Isoetes orcuttii A.A. Eaton "
"observation","303663","Isoetaceae","Isoetes tenella","spiny-spored quillwort","Brainerd, R., Newhouse, B.","","1 September 2005","2005","Lane","Meadow south-southeast of Deer Creek Trailhead","43.5885","-122.0919","1593","","","Isoetes tenella Léman ex Desv. "
"image","dig5417","Isoetaceae","Isoetes howellii","Howell's quillwort","Aaron Irving Liston","","","2004","Lane","Veneta","44.0489","-123.3497","","","","Isoetes howellii Engelm. "
"observation","376598","Isoetaceae","Isoetes nuttallii","Nuttall's quillwort","Newhouse, B., Brainerd, R.","","2007","2007","Lane","Meisen Property","44.0004","-123.1231","242","","","Isoetes nuttallii A. Braun "
