"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig12741","Juglandaceae","Juglans hindsii","northern California black walnut","Keir Morse","","May 25, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I050; 42.3032787471&#176; N -123.649439527&#176; W","42.303300","-123.649400","","","","Juglans hindsii (Jeps.) Jeps. ex R.E. Sm. "
"image","dig12744","Juglandaceae","Juglans hindsii","northern California black walnut","Keir Morse","","May 25, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I050; 42.3032787471&#176; N -123.649439527&#176; W","42.3033","-123.6494","","","","Juglans hindsii (Jeps.) Jeps. ex R.E. Sm. "
"observation","408213","Juglandaceae","Juglans nigra","black walnut","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","23 July 2012","2012","Benton","Willamette Park, Corvallis, forested trail from boat launch to end","44.5455","-123.2500","67","","","Juglans nigra L. "
"observation","325325","Juglandaceae","Juglans hindsii","northern California black walnut","Callahan, F.","","2007","2007","Jackson","Bear Creek Valley Juglans hindsii locations","42.2345","-122.7481","","","","Juglans hindsii (Jeps.) Jeps. ex R.E. Sm. "
"observation","388294","Juglandaceae","Juglans regia","English walnut","Wilson, B.","","16 November 2010","2010","Benton","North Albany Park","44.6700","-123.1332","108","","","Juglans regia L. "
"observation","358422","Juglandaceae","Juglans regia","English walnut","Wilson, B.","","17 October 2008","2008","Douglas","Highway 42, Lookingglass Creek","43.1175","-123.4289","158","","","Juglans regia L. "
"observation","357754","Juglandaceae","Juglans regia","English walnut","Wilson, B., Otting, N.","","17 September 2008","2008","Douglas","Juglans regia site #1","42.9749","-123.1939","228","","","Juglans regia L. "
"observation","409377","Juglandaceae","Juglans nigra","black walnut","Wilson, B.","","30 July 2012","2012","Linn","Riverside Landing State Park","44.6002","-123.1952","61","","","Juglans nigra L. "
"observation","10086608","Juglandaceae","Juglans regia","English walnut","R.E. Brainerd","","23 May 2011","2011","Benton","Unaccessioned specimen: Brainerd, R. #1803","44.5323","-123.3652","93","Shrubby hedgerow.","","Juglans regia L. "
"observation","325328","Juglandaceae","Juglans hindsii","northern California black walnut","Callahan, F.","","2007","2007","Jackson","Bear Creek Valley Juglans hindsii locations","42.3356","-122.9346","","","","Juglans hindsii (Jeps.) Jeps. ex R.E. Sm. "
