"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","403245","Juncaceae","Juncus marginatus","grass rush","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Juncus marginatus Rostk. "
"observation","10096265","Juncaceae","Juncus orthophyllus","straight-leaved rush","R.E. Brainerd","","1 September 2005","2005","Lane","Unaccessioned specimen: Brainerd, R. #s.n.","43.5866","-122.0985","1611","Wet meadow.","","Juncus orthophyllus Coville "
"observation","421877","Juncaceae","Juncus mertensianus","Mertens' rush","Harvey, T.","","2013","2013","Lane","Elk Camp and Nevergo Meadow","43.8876","-122.5978","1347","","","Juncus mertensianus Bong. "
"observation","415964","Juncaceae","Luzula comosa","Pacific woodrush","Newhouse, B.","","2007","2007","Benton","Hidden Meadows, OSU Prairie","44.6478","-123.3447","418","","","Luzula comosa E. Mey. "
"observation","306254","Juncaceae","Juncus bolanderi","Bolander's rush","Wilson, B., Brainerd, R.","","10 August 2006","2006","Benton","Rock Creek Watershed: end of road 3909","44.5264","-123.4924","","","","Juncus bolanderi Engelm. "
"observation","298030","Juncaceae","Juncus ensifolius","dagger-leaved rush, swordleaf rush","Brainerd, R., Wilson, B.","","30 June 2005","2005","Lane","Mohawk Environmental Educational Area","44.1681","-122.9713","","","","Juncus ensifolius Wickstr. "
"observation","296379","Juncaceae","Luzula comosa","Pacific woodrush","Otting, N., Wilson, B.","","31 August 2005","2005","Multnomah","Bull Run Watershed: intersection of roads 12 and 1210","45.4621","-122.0791","527","","","Luzula comosa E. Mey. "
"observation","403242","Juncaceae","Juncus bufonius","toad rush","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Juncus bufonius L. "
"observation","352699","Juncaceae","Luzula comosa var. laxa","Pacific woodrush","Wilson, B.","","8 June 2008","2008","Douglas","T21S R4W S17","43.7428","-123.2023","165","","","Luzula comosa E. Mey. var. laxa Buchenau "
"observation","418482","Juncaceae","Juncus effusus ssp. effusus","pasture rush, soft rush","Maze, D.","","5 August 2013","2013","Multnomah","Birkland Property","45.4773","-122.7433","","","","Juncus effusus L. ssp. effusus "
"observation","310956","Juncaceae","Juncus patens","gray rush, spreading rush","Brainerd, R., Newhouse, B.","","2 June 2005","2005","Lane","Cedar Creek Site","43.7087","-123.1161","544","","","Juncus patens E. Mey. "
"observation","313216","Juncaceae","Juncus parryi","Parry's rush","Salix Associates","","27 July 2004","2004","Lane","Grasshopper to Chuksney Mountain Meadow # 8","43.9282","-122.1205","1585","","","Juncus parryi Engelm. "
"observation","296538","Juncaceae","Juncus laccatus","shiny rush","Otting, N., Wilson, B.","","31 August 2005","2005","Clackamas","Bull Run Watershed: West Goodfellow Lake and the spur road to road 12","45.4224","-121.9712","914","","","Juncus laccatus Zika "
"observation","408920","Juncaceae","Juncus patens","gray rush, spreading rush","Wilson, B., Brainerd, R., Goklany, M., Neill, A.","","25 July 2012","2012","Benton","Corvallis, ODOT parcel","44.5560","-123.2641","72","","","Juncus patens E. Mey. "
"observation","381574","Juncaceae","Juncus breweri","Brewer's rush, salt rush","Wilson, B.","","17 May 2009","2009","Lincoln","Ocean Road, Yachats Loop Road","44.3058","-124.1053","1","","","Juncus breweri Engelm. "
"observation","306098","Juncaceae","Juncus effusus ssp. pacificus","common rush, Pacific rush","Wilson, B.","","25 July 2006","2006","Josephine","field on the west side of Sexton Mountain","42.6209","-123.3791","472","","","Juncus effusus L. ssp. pacificus (Fernald & Wiegand) Piper & Beattie "
"observation","303910","Juncaceae","Juncus ensifolius","dagger-leaved rush, swordleaf rush","Newhouse, B.","","August 2005","2005","Lane","Meadow southwest of Blue Lake","43.5293","-122.2049","1669","","","Juncus ensifolius Wickstr. "
"image","dig38936","Juncaceae","Juncus marginatus","grass rush","Gerald D. Carr","","October 29, 2014","2014","Lane","along Hwy 58, ca. 6 mi. SE of Dexter, drawdown zone of Lookout Point Reservoir, Rolling Rifle Creek area [R. Halse 9307]; 292m; 43.8775&#176; N -122.70353&#176","43.8775","-122.7035","292","","","Juncus marginatus Rostk. "
"image","dig35639","Juncaceae","Juncus orthophyllus","straight-leaved rush","Gerald D. Carr","","July 16, 2013","2013","Lane","Rigdon Rd. (NFS Rd. 21) at jct. with NFS Rd. 400, near Skunk Creek crossing; 809m","43.5084","-122.2871","809","","","Juncus orthophyllus Coville "
"observation","304342","Juncaceae","Juncus breweri","Brewer's rush, salt rush","Wilson, B.","","12 July 2006","2006","Lincoln","Boiler Bay State Park","44.8296","-124.0639","12","","","Juncus breweri Engelm. "
"observation","289404","Juncaceae","Juncus effusus","pasture rush, soft rush","Wilson, B., Brainerd, R.","","2003","2003","Jackson","I-5, mile 36 to 37","42.4109","-122.9612","","","","Juncus effusus L. "
"observation","424508","Juncaceae","Juncus mertensianus","Mertens' rush","Newhouse, B., Brainerd, R.","","29 August 2007","2007","Lane","Cupit Mary Meadow - Salix Associates","43.7377","-122.1036","1579","","","Juncus mertensianus Bong. "
"observation","306061","Juncaceae","Juncus canadensis","Canada rush, Canadian rush","Coberly, C., Mitchell, K., Wilson, B., Brainerd, R.","","17 July 2006","2006","Coos","Muddy Lake, East side of NE corner","42.9906","-124.4528","4","","","Juncus canadensis J. Gay ex LaHarpe "
"observation","307882","Juncaceae","Luzula comosa","Pacific woodrush","Wilson, B., Brainerd, R.","","15 August 2006","2006","Benton","Rock Creek Watershed: origin of road 3406-112","44.5104","-123.4633","","","","Luzula comosa E. Mey. "
"observation","178671","Juncaceae","Juncus tenuis","path rush, poverty rush, slender rush","Boyer, L.","","2002","2002","Lane","Southwest and South Eugene","44.0276","-123.2164","","","","Juncus tenuis Willd. "
"observation","287072","Juncaceae","Juncus patens","gray rush, spreading rush","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 125 to 126","43.2330","-123.3606","","","","Juncus patens E. Mey. "
"observation","414249","Juncaceae","Juncus patens","gray rush, spreading rush","Brainerd, R., Newhouse, B.","","2007","2007","Lane","Andrew Reasoner Wildlife Preserve, Lorane Highway","43.9599","-123.2088","158","","","Juncus patens E. Mey. "
"observation","323208","Juncaceae","Juncus acuminatus","tapered rush, knotty-leaf rush, sharp-fruited rush","Otting, N., Wilson, B.","","24 June 2007","2007","Douglas","Pond near Canyon Creek, BLM roads 31-5-13 and 31-5-12.1","42.8748","-123.2293","456","","","Juncus acuminatus Michx. "
"image","dig12761","Juncaceae","Juncus ensifolius","dagger-leaved rush, swordleaf rush","Keir Morse","","June 27, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I152; 42.2755504691&#176; N -123.644352411&#176; W","42.2756","-123.6444","","","","Juncus ensifolius Wickstr. "
"observation","407191","Juncaceae","Juncus balticus","Baltic rush","Wilson, B., Otting, N.","","15 June 2012","2012","Jefferson","Fly Lake","44.5341","-121.4257","918","","","Juncus balticus Willd. "
"observation","404642","Juncaceae","Juncus nevadensis var. inventus","Oregon rush","Wilson, B.","","13 July 2010","2010","Lincoln","Newport South Jetty","44.6131","-124.0631","1","","","Juncus nevadensis S. Watson var. inventus (L.F. Hend.) C.L. Hitchc. "
"observation","310889","Juncaceae","Juncus effusus","pasture rush, soft rush","Wilson, B., Brainerd, R.","","30 June 2005","2005","Linn","Blagen Mill Road Site #2","44.3088","-122.9147","442","","","Juncus effusus L. "
"observation","10096269","Juncaceae","Juncus howellii","Howell's rush","R.E. Brainerd","","26 August 2007","2007","Lane","Unaccessioned specimen: Brainerd, R. #s.n.","43.8465","-122.0310","1460","Wet meadow.","","Juncus howellii F.J. Herm. "
"observation","305884","Juncaceae","Luzula parviflora","small-flowered woodrush","Coberly, C., Wilson, B.","","19 July 2006","2006","Coos","Lost Lake ACEC","43.0254","-124.4334","6","","","Luzula parviflora (Ehrh.) Desv. "
"observation","313729","Juncaceae","Juncus parryi","Parry's rush","Salix Associates","","14 August 2003","2003","Linn","Hoodoo Ski Area Alpine Slide","44.4092","-121.8757","1426","","","Juncus parryi Engelm. "
"observation","312097","Juncaceae","Juncus bufonius","toad rush","Brainerd, R., Newhouse, B., Lytjen, D., Otting, N.","","2004","2004","Lane","Green Island - Brainerd, Newhouse, Lytjen, Otting","44.1596","-123.1255","","","","Juncus bufonius L. "
"observation","417848","Juncaceae","Juncus patens","gray rush, spreading rush","Salix Associates","","2008","2008","Polk","Zena Road, private property site","45.0098","-123.1608","","","","Juncus patens E. Mey. "
"observation","180235","Juncaceae","Luzula comosa","Pacific woodrush","Koenig, J.","","9 May 2002","2002","Lane","Major Prairie Oak Habitat Inventory","43.8888","-122.2621","671","","","Luzula comosa E. Mey. "
"observation","303223","Juncaceae","Juncus balticus ssp. ater","Baltic rush, dark Baltic rush","Brainerd, R., Blakeley-Smith, M.","","August 2005","2005","Lane","Wildcat Swamp","43.9774","-121.9780","1402","","","Juncus balticus Willd. ssp. ater (Rydb.) Snogerup "
"image","dig13070","Juncaceae","Luzula multiflora","common woodrush","Keir Morse","","April 6, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I038; 42.2918271596&#176; N -123.651869215&#176; W","42.2918","-123.6519","","","","Luzula multiflora (Ehrh.) Lej. "
"image","dig38923","Juncaceae","Juncus bolanderi","Bolander's rush","Gerald D. Carr","","August 6, 2014","2014","Douglas","Sparrow Park Rd. (CR 247), 1.0 mi. NW of jct. with Hwy 101, N of Reedsport; 27m; 43.75841&#176; N -124.13463&#176; W","43.7584","-124.1346","27","","","Juncus bolanderi Engelm. "
"observation","352582","Juncaceae","Luzula parviflora","small-flowered woodrush","Wilson, B., Otting, N.","","2 July 2008","2008","Douglas","T28S R04W S01, E of China Ditch","43.1713","-123.1082","534","","","Luzula parviflora (Ehrh.) Desv. "
"image","dig12746","Juncaceae","Juncus articulatus ssp. articulatus","joint-leaved rush, jointed rush","Keir Morse","","June 25, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I178; 42.2730625461&#176; N -123.635062318&#176; W","42.2731","-123.6351","","","","Juncus articulatus L. ssp. articulatus "
"observation","353179","Juncaceae","Juncus laccatus","shiny rush","Wilson, B.","","21 June 2008","2008","Douglas","Chief Miwaleta County Park","42.8505","-123.1605","587","","","Juncus laccatus Zika "
"observation","305370","Juncaceae","Juncus patens","gray rush, spreading rush","Wilson, B.","","29 June 2006","2006","Marion","intersection of Abiqua Road and South Abiqua Road","45.0075","-122.6750","143","","","Juncus patens E. Mey. "
"observation","10096010","Juncaceae","Luzula comosa var. laxa","Pacific woodrush","R.E. Brainerd","","30 April 2009","2009","Douglas","Unaccessioned specimen: Brainerd, R. #1351","42.7577","-123.3534","442","Understory of young Pseudotsuga menzi...","","Luzula comosa E. Mey. var. laxa Buchenau "
"observation","329982","Juncaceae","Juncus effusus ssp. pacificus","common rush, Pacific rush","Wilson, B., Otting, N.","","3 October 2007","2007","Douglas","Highway 42 W of Brockway, Hoover Hill Road","43.1019","-123.4804","226","","","Juncus effusus L. ssp. pacificus (Fernald & Wiegand) Piper & Beattie "
"image","dig35657","Juncaceae","Juncus supiniformis","hair-leaved rush, spreading rush","Gerald D. Carr","","September 29, 2013","2013","Lane","N end of Woahink Lake, 0.3 mi. S of Canary Rd., 0.5 W of Hwy 101, S of Florence; 13m; 43.92608&#176; N -124.1&#176; W","43.9261","-124.1000","13","","","Juncus supiniformis Engelm. "
