binomial,count
Juncus acuminatus,20
Juncus articulatus,9
Juncus balticus,64
Juncus bolanderi,21
Juncus breweri,39
Juncus bufonius,106
Juncus bulbosus,1
Juncus canadensis,6
Juncus compressus,2
Juncus covillei,2
Juncus diffusissimus,1
Juncus drummondii,7
Juncus effusus,249
Juncus ensifolius,126
Juncus exiguus,3
Juncus falcatus,5
Juncus gerardi,2
Juncus hemiendytus,3
Juncus hesperius,25
Juncus howellii,1
Juncus laccatus,42
Juncus lescurii,9
Juncus marginatus,4
Juncus mertensianus,29
Juncus nevadensis,17
Juncus occidentalis,22
Juncus orthophyllus,7
Juncus oxymeris,9
Juncus parryi,19
Juncus patens,109
Juncus planifolius,5
Juncus regelii,4
Juncus saximontanus,1
Juncus supiniformis,7
Juncus tenuis,54
Juncus uncialis,3
Luzula cascadensis,1
Luzula comosa,109
Luzula hitchcockii,9
Luzula macrantha,5
Luzula multiflora,3
Luzula parviflora,78
Luzula piperi,1
Luzula subsessilis,6
