"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","310444","Lamiaceae","Prunella vulgaris var. lanceolata","native heal all","Salix Associates","","2003 - 2005","2003","Lane","Lost Creek Confluence Restoration Site","43.9479","-122.8431","","","","Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald "
"image","dig14352","Lamiaceae","Trichostema lanceolatum","vinegar weed","Keir Morse","","July 13, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I141; 42.2731987726&#176; N -123.634857533&#176; W","42.2732","-123.6349","","","","Trichostema lanceolatum Benth. "
"observation","404091","Lamiaceae","Prunella vulgaris","common selfheal","Stein, M., Otting, N., Wilson, B.","","23 April 2011","2011","Benton","Seep S of Grass Mountain","44.4142","-123.6894","610","","","Prunella vulgaris L. "
"image","dig16807","Lamiaceae","Mentha canadensis","field mint, corn mint","Gerald D. Carr","","July 19, 2008","2008","Benton","Smith Loop, south side of, connecting Baker and McBee Lakes, 0.7 mi. east of Highway 99W; 44.47465&#176; N -123.25842&#176; W","44.4746","-123.2584","","","","Mentha canadensis L. "
"observation","286385","Lamiaceae","Mentha pulegium","pennyroyal","Wilson, B., Brainerd, R., Newhouse, B.","","2005","2005","Douglas","I-5, mile 153 to 154","43.5977","-123.2384","","","","Mentha pulegium L. "
"observation","10094894","Lamiaceae","Lavandula stoechas","Spanish lavender, French lavender","R.E. Brainerd","","14 June 2008","2008","Benton","Unaccessioned specimen: Brainerd, R. #1134","44.6993","-123.2139","73","Gravel road shoulder.","","Lavandula stoechas L. "
"observation","418049","Lamiaceae","Satureja douglasii","yerba buena","Salix Associates","","2009","2009","Lane","East Ridgeline Extension Survey, Eugene","43.9987","-123.0432","194","","","Satureja douglasii (Benth.) Briq. "
"observation","412539","Lamiaceae","Prunella vulgaris var. lanceolata","native heal all","Newhouse, B., Brainerd, R.","","July 2007","2007","Benton","Herbert Farm and Natural Area, Open Space Park","44.5198","-123.2956","","","","Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald "
"observation","414357","Lamiaceae","Satureja douglasii","yerba buena","Newhouse, B.","","20 February 2006","2006","Lane","SE Springfield Private Site in T18S R02W","44.0291","-122.9193","","","","Satureja douglasii (Benth.) Briq. "
"observation","403525","Lamiaceae","Monardella purpurea","Siskiyou monardella","ORBIC","","31 July 2007","2007","Curry","ORBIC Element Occurrence #  31352","42.0014","-123.9869","549","","","Monardella purpurea Howell "
"observation","353539","Lamiaceae","Mentha canadensis","field mint, corn mint","Wilson, B.","","21 June 2008","2008","Douglas","Galagher Canyon Road site 5","43.4989","-123.4174","513","","","Mentha canadensis L. "
"observation","385743","Lamiaceae","Mentha pulegium","pennyroyal","Wilson, B.","","11 June 2010","2010","Linn","Intersection of Courtney Lane and Timber Lane","44.3459","-122.9367","118","","","Mentha pulegium L. "
"image","dig23008","Lamiaceae","Agastache urticifolia var. urticifolia","nettle leaved horsemint, nettle leaved giant hyssop","Gerald D. Carr","","July 22, 2010","2010","Douglas","NFD Road 2133, 1.3 mi. SE of Loletta Lakes, ca. 34.3 mi. S of Oakridge via Rigdon Rd.; 1506m","43.3875","-122.4198","1506","","","Agastache urticifolia (Benth.) Kuntze var. urticifolia "
"observation","163906","Lamiaceae","Mentha pulegium","pennyroyal","Heinze, D.","","14 April 2002","2002","Josephine","Pacifica","42.2711","-123.2620","390","forest, herbland, savanna","","Mentha pulegium L. "
"observation","360896","Lamiaceae","Scutellaria antirrhinoides","snapdragon skullcap","Bluhm, W., Native Plant Society of Oregon","","2005","2005","Douglas","Cedar Springs Mountain","42.7629","-123.1220","","","","Scutellaria antirrhinoides Benth. "
"observation","311580","Lamiaceae","Prunella vulgaris var. lanceolata","native heal all","Brainerd, R., Newhouse, B., Otting, N.","","2005","2005","Lane","North Taylor","44.1378","-123.2937","102","","","Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald "
"image","dig16859","Lamiaceae","Scutellaria galericulata","willow weed skullcap, marsh skullcap","Gerald D. Carr","","July 29, 2008","2008","Linn","Parish Lake, small bog northeast of, off Parish Lake Road, ca. 4.4 mi. west-northwest of Highway 22; 1076m; 44.5343&#176; N -122.06982&#176; W","44.5343","-122.0698","1076","","","Scutellaria galericulata L. "
"observation","354487","Lamiaceae","Prunella vulgaris var. lanceolata","native heal all","Wilson, B., Otting, N.","","11 July 2008","2008","Douglas","Susan Creek Falls day use area","43.2986","-122.9051","291","","","Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald "
"observation","298236","Lamiaceae","Prunella vulgaris var. lanceolata","native heal all","Brainerd, R., Wilson, B.","","30 June 2005","2005","Linn","Blagen Road","44.3195","-122.9275","","","","Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald "
"observation","403468","Lamiaceae","Prunella vulgaris","common selfheal","Moore, J., Kirby, M., Glenn, T., Thomas, B., Moore, F.","","13 June 2012","2012","Douglas","Grotto Falls, Little River - 2012","43.2485","-122.8255","905","","","Prunella vulgaris L. "
"observation","303064","Lamiaceae","Stachys cooleyae","great betony, Cooley's hedgenettle","Brainerd, R., Newhouse, B., Blakeley-Smith, M.","","August 2005","2005","Lane","Dillon Lake","44.0285","-121.9701","1227","","","Stachys cooleyae A. Heller "
"observation","395361","Lamiaceae","Prunella vulgaris","common selfheal","Wilson, B., Otting, N., Coberly, C.","","2010","2010","Linn","Highway 20, Albany to Sisters, mile post 65 to 66","44.3948","-122.1165","","","","Prunella vulgaris L. "
"observation","10096100","Lamiaceae","Lavandula stoechas","Spanish lavender, French lavender","R.E. Brainerd","","3 May 2013","2013","Benton","Unaccessioned specimen: Brainerd, R. #2142","44.6743","-123.2218","94","Gravel road shoulder; full sun.","","Lavandula stoechas L. "
"observation","332617","Lamiaceae","Stachys mexicana","Mexican betony, great betony","Bluhm, W.","","May 2008","2008","Lincoln","Drift Creek Camp","44.9028","-123.9117","76","","","Stachys mexicana Benth. "
"observation","401243","Lamiaceae","Prunella vulgaris var. lanceolata","native heal all","Newhouse, B.","","2007 - 2009","2007","Lane","Private Site about 1.5 miles north of Fern Ridge Dam","44.1538","-123.2921","101","","","Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald "
"observation","326880","Lamiaceae","Scutellaria antirrhinoides","snapdragon skullcap","Morse, K.","","31 May 2007","2007","Josephine","Deer Creek Center - North","42.2912","-123.6483","456","","","Scutellaria antirrhinoides Benth. "
"observation","404917","Lamiaceae","Prunella vulgaris","common selfheal","Wilson, B.","","7 April 2011","2011","Polk","4350 Cooper Hollow Road","44.8717","-123.3324","90","","","Prunella vulgaris L. "
"observation","419825","Lamiaceae","Prunella vulgaris","common selfheal","Harvey, T.","","2003 - 2013","2003","Linn","Coffin Mountain: Harvey","44.6179","-122.0424","1448","","","Prunella vulgaris L. "
"image","dig16862","Lamiaceae","Scutellaria galericulata","willow weed skullcap, marsh skullcap","Gerald D. Carr","","July 29, 2008","2008","Linn","Parish Lake, small bog northeast of, off Parish Lake Road, ca. 4.4 mi. west-northwest of Highway 22; 1076m; 44.5343&#176; N -122.06982&#176; W","44.5343","-122.0698","1076","","","Scutellaria galericulata L. "
"observation","304298","Lamiaceae","Prunella vulgaris var. vulgaris","self heal, heal all","Wilson, B.","","12 July 2006","2006","Lincoln","Boiler Bay State Park","44.8296","-124.0639","12","","","Prunella vulgaris L. var. vulgaris "
"observation","376250","Lamiaceae","Stachys cooleyae","great betony, Cooley's hedgenettle","Harvey, T.","","2009 - 2012","2009","Douglas","Loletta Lakes, Peak and wetlands","43.3991","-122.4289","1603","","","Stachys cooleyae A. Heller "
"observation","355180","Lamiaceae","Prunella vulgaris var. lanceolata","native heal all","Wilson, B., Otting, N.","","2 July 2008","2008","Douglas","Boomer Hill, pond in S27","43.0186","-123.3919","583","","","Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald "
"observation","365049","Lamiaceae","Stachys mexicana","Mexican betony, great betony","Bluhm, W., Myers, E.","","2008 - 2010","2008","Marion","Shellburg Falls Recreation Area","44.8169","-122.6109","381","","","Stachys mexicana Benth. "
"observation","297494","Lamiaceae","Lamium purpureum","deadnettle","Wilson, B.","","2003 - 2005","2003","Douglas","Cabin Creek Rest Area, northbound","43.4695","-123.3136","","","","Lamium purpureum L. "
"observation","405382","Lamiaceae","Mentha pulegium","pennyroyal","Wilson, B., Brainerd, R.","","29 June 2011","2011","Douglas","Old Hwy 99 near River of Life Church along railroad tracks","43.3183","-123.3435","165","","","Mentha pulegium L. "
"observation","412890","Lamiaceae","Prunella vulgaris var. vulgaris","self heal, heal all","Newhouse, B.","","2011","2011","Lane","Berggren Watershed Conservation Area","44.0649","-122.8989","155","","","Prunella vulgaris L. var. vulgaris "
"observation","422842","Lamiaceae","Satureja douglasii","yerba buena","Harvey, T.","","2012","2012","Linn","McKenzie Cliffs","44.2783","-122.0877","549","","","Satureja douglasii (Benth.) Briq. "
"observation","403121","Lamiaceae","Prunella vulgaris var. lanceolata","native heal all","Newhouse, B.","","2011","2011","Lane","Confluence of Middle and Coast Forks Willamette River and S side of Middle Fork","44.0219","-122.9750","136","","","Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald "
"observation","179238","Lamiaceae","Prunella vulgaris var. lanceolata","native heal all","Boyer, L.","","2002","2002","Lane","South Valley RA","43.8772","-123.1725","","","","Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald "
"image","dig29014","Lamiaceae","Satureja vulgaris","wild basil, savory","Gerald D. Carr","","October 24, 2011","2011","Lane","Hwy 58, roadside ditch, north of Minnow; 312m; 43.90053&#176; N -123.93416&#176; W","43.9005","-123.9342","312","","","Satureja vulgaris (L.) Fritsch "
"observation","308044","Lamiaceae","Prunella vulgaris var. lanceolata","native heal all","Wilson, B.","","23 August 2006","2006","Jackson","Cobleigh Road, BLM wetland","42.5811","-122.6133","671","","","Prunella vulgaris L. var. lanceolata (W.P.C. Barton) Fernald "
