binomial,count
Agastache urticifolia,25
Glechoma hederacea,10
Lamiastrum galeobdolon,6
Lamium amplexicaule,10
Lamium purpureum,58
Lavandula stoechas,7
Lycopus americanus,4
Lycopus uniflorus,26
Marrubium vulgare,6
Melissa officinalis,42
Mentha canadensis,26
Mentha pulegium,127
Mentha spicata,2
Mentha suaveolens,1
Mentha ×piperita,5
Mentha ×villosa,1
Monardella odoratissima,24
Monardella purpurea,4
Monardella villosa,13
Nepeta cataria,2
Origanum vulgare,2
Prunella vulgaris,386
Salvia aethiopis,1
Satureja douglasii,79
Satureja vulgaris,1
Scutellaria angustifolia,2
Scutellaria antirrhinoides,19
Scutellaria galericulata,2
Scutellaria lateriflora,5
Scutellaria nana,12
Stachys byzantina,2
Stachys cooleyae,111
Stachys mexicana,13
Stachys pilosa,1
Stachys rigida,51
Trichostema lanceolatum,11
Trichostema oblongum,4
Trichostema simulatum,1
