"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","328320","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","31 July 2007","2007","Josephine","Deer Creek Center - South","42.2724","-123.6366","382","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","206325","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Bluhm, W., Horn, E.","","2004","2004","Curry","Johnson Butte Trail","42.2115","-123.9794","1097","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","328846","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","10 May 2007","2007","Josephine","Deer Creek Center - South","42.2752","-123.6411","382","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","329927","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Otting, N., Wilson, B.","","2 May 2007","2007","Douglas","Island Creek Recreation Area","42.9133","-123.4800","226","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","327289","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","12 July 2007","2007","Josephine","Deer Creek Center - North","42.2957","-123.6509","456","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","328456","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","20 August 2007","2007","Josephine","Deer Creek Center - South","42.2734","-123.6395","382","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","328631","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","10 May 2007","2007","Josephine","Deer Creek Center - South","42.2744","-123.6400","382","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","329363","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","9 August 2007","2007","Josephine","Deer Creek Center - South","42.2807","-123.6485","382","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","328108","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","25 May 2007","2007","Josephine","Deer Creek Center - North","42.3073","-123.6506","456","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","364428","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Bluhm, W., BLM Botanist","","2004 - 2006","2004","Coos","New River ACEC","42.9745","-124.4623","","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","326834","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","29 June 2007","2007","Josephine","Deer Creek Center - North","42.2904","-123.6499","456","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","294333","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Heinze, D.","","19 April 2005","2005","Josephine","Slate Creek","42.3670","-123.5138","293","forest, savanna","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","287468","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Douglas","I-5, mile 110 to 111","43.0405","-123.3298","","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","327508","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","12 May 2007","2007","Josephine","Deer Creek Center - North","42.2984","-123.6581","456","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","327023","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","1 June 2007","2007","Josephine","Deer Creek Center - North","42.2930","-123.6539","456","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","329029","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","27 June 2007","2007","Josephine","Deer Creek Center - South","42.2764","-123.6458","382","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","197411","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Bluhm, W.","","2003","2003","Josephine","Chrome Ridge","42.4691","-123.7292","","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","171739","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Bluhm, W.","","2005","2005","Josephine","$8 Mountain to Onion Camp","42.2353","-123.7093","","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","308318","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Wilson, B.","","5 September 2006","2006","Douglas","Umpqua Wayside","43.6776","-123.8330","15","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","329385","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","28 April 2007","2007","Josephine","Deer Creek Center - South","42.2813","-123.6476","382","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","327994","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","29 July 2007","2007","Josephine","Deer Creek Center - North","42.3062","-123.6578","456","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","319644","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Otting, N., Wilson, B.","","2 May 2007","2007","Douglas","Road 17","42.8767","-123.5483","298","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","357633","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Wilson, B., Otting, N.","","16 September 2008","2008","Douglas","Miner Wolf Watchable Wildlife Site","43.4458","-123.6081","101","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","357450","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Wilson, B., Otting, N.","","16 September 2008","2008","Douglas","Yellow Creek Boat Ramp","43.4504","-123.5061","66","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","353359","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Wilson, B.","","21 June 2008","2008","Douglas","Junction of Hwy 138 & Tyee Road","43.4753","-123.4827","78","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","328911","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","31 July 2007","2007","Josephine","Deer Creek Center - South","42.2757","-123.6451","382","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","295011","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Wilson, B.","","1 August 2003","2003","Coos","Reiber property","43.3305","-124.1306","","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","328937","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","25 June 2007","2007","Josephine","Deer Creek Center - South","42.2759","-123.6378","382","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","327011","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Morse, K.","","29 June 2007","2007","Josephine","Deer Creek Center - North","42.2930","-123.6518","456","","","Umbellularia californica (Hook. & Arn.) Nutt. "
"observation","412235","Lauraceae","Umbellularia californica","California laurel, Oregon myrtle","Newhouse, B.","","September 2010","2010","Douglas","Devils Staircase Proposed Wilderness","43.7545","-123.8506","137","","","Umbellularia californica (Hook. & Arn.) Nutt. "
