"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","351785","Liliaceae","Fritillaria gentneri","Gentner's fritillary","ORBIC","","11 April 2007","2007","Jackson","Sensitive species - location undisclosed","42.1000","-123.0000","945","","","Fritillaria gentneri Gilkey "
"observation","351444","Liliaceae","Fritillaria eastwoodiae","Butte County fritillary","ORBIC","","20 April 2004","2004","Jackson","ORBIC Element Occurrence #  28765","42.4083","-123.0139","512","","","Fritillaria eastwoodiae R.M. Macfarlane "
"observation","397628","Liliaceae","Lilium columbianum","Columbia lily, Oregon lily, tiger lily","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","2008","2008","Lane","Highway 58, mile post 49 to 50","43.6704","-122.2349","","","","Lilium columbianum Hanson "
"observation","180440","Liliaceae","Clintonia uniflora","queen's cup, beadlily, bride's bonnet, bluebead","Koenig, J.","","22 May 2002","2002","Lane","Jims Oak Patch Oak Habitat Inventory","43.5004","-122.4263","686","","","Clintonia uniflora (Schult.) Kunth "
"observation","369805","Liliaceae","Streptopus amplexifolius","claspleaf twisted-stalk, clasping twisted-stalk","Harvey, T.","","2013","2013","Linn","Ikenick Creek","44.3672","-122.1400","1030","","","Streptopus amplexifolius (L.) DC. "
"observation","13526","Liliaceae","Lilium washingtonianum","Cascade lily","Native Plant Society of Oregon","","2 August 2003","2003","Lane","Bear Mountain Ridge - NPSO","43.5201","-122.2006","1753","","","Lilium washingtonianum Kellogg "
"observation","329443","Liliaceae","Calochortus tolmiei","Tolmie's cat's ear","Morse, K.","","12 May 2007","2007","Josephine","Deer Creek Center - South","42.2817","-123.6512","382","","","Calochortus tolmiei Hook. & Arn. "
"observation","202103","Liliaceae","Prosartes hookeri","Hooker's fairybells, Oregon fairybells, drops-of-gold","Harvey, T.","","1 July 2003","2003","Lane","Sardine Butte: Harvey","43.9741","-122.2958","1524","","","Prosartes hookeri Torr. "
"image","dig41672","Liliaceae","Fritillaria camschatcensis","Indian rice, black lily","Gerald D. Carr","","July 1, 2015","2015","Multnomah","Sensitive species - location undisclosed","45.6000","-122.0000","920","","","Fritillaria camschatcensis (L.) Ker Gawl. "
"image","dig10597","Liliaceae","Erythronium citrinum var. citrinum","pale fawn-lily","Gerald D. Carr","","April 9, 2007","2007","Josephine","Sensitive species - location undisclosed","42.3000","-123.7000","","","","Erythronium citrinum S. Watson var. citrinum "
"observation","423727","Liliaceae","Erythronium grandiflorum","glacier-lily","Harvey, T.","","2012","2012","Douglas","Upper Elk Meadows: Harvey","43.5296","-122.9021","1231","","","Erythronium grandiflorum Pursh "
"observation","417063","Liliaceae","Streptopus lanceolatus","rosy twisted-stalk, simplestem twisted-stalk","Wood, W.","","1 September 2013","2013","Douglas","Upper Rogue River","43.0861","-122.2904","1341","","","Streptopus lanceolatus (Aiton) Reveal "
"observation","337035","Liliaceae","Calochortus macrocarpus","sagebrush mariposa lily, green-banded star tulip","BLM Botanist","","23 May 2006","2006","Deschutes","Sensitive species - location undisclosed","44.3000","-121.4000","","","","Calochortus macrocarpus Douglas "
"observation","206349","Liliaceae","Erythronium citrinum","","Bluhm, W., Horn, E.","","2004","2004","Curry","Sensitive species - location undisclosed","42.2000","-124.0000","1097","","","Erythronium citrinum S. Watson "
