binomial,count
Calochortus elegans,21
Calochortus greenei,13
Calochortus howellii,4
Calochortus macrocarpus,8
Calochortus monophyllus,1
Calochortus persistens,1
Calochortus subalpinus,47
Calochortus tolmiei,93
Calochortus umpquaensis,1
Calochortus uniflorus,4
Clintonia uniflora,138
Erythronium citrinum,17
Erythronium elegans,1
Erythronium grandiflorum,39
Erythronium hendersonii,3
Erythronium klamathense,9
Erythronium montanum,9
Erythronium oregonum,59
Erythronium revolutum,3
Fritillaria affinis,33
Fritillaria atropurpurea,9
Fritillaria eastwoodiae,2
Fritillaria gentneri,51
Fritillaria glauca,16
Fritillaria pudica,7
Fritillaria recurva,3
Lilium bolanderi,2
Lilium columbianum,93
Lilium occidentale,4
Lilium pardalinum,27
Lilium washingtonianum,51
Prosartes hookeri,142
Prosartes smithii,44
Scoliopus bigelovii,1
Scoliopus hallii,3
Streptopus amplexifolius,78
Streptopus lanceolatus,54
Streptopus streptopoides,1
