"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","284430","Limnanthaceae","Limnanthes alba","white meadowfoam","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Linn","Sensitive species - location undisclosed","44.6000","-123.1000","","","","Limnanthes alba Hartw. ex Benth. "
"observation","368246","Limnanthaceae","Floerkea proserpinacoides","false mermaid","Harvey, T.","","2005 - 2013","2005","Douglas","Fish Creek Valley","43.1052","-122.4104","1600","","","Floerkea proserpinacoides Willd. "
"observation","284458","Limnanthaceae","Limnanthes alba","white meadowfoam","Wilson, B., Brainerd, R., Newhouse, B.","","2002","2002","Linn","Sensitive species - location undisclosed","44.6000","-123.1000","","","","Limnanthes alba Hartw. ex Benth. "
"image","dig21229","Limnanthaceae","Limnanthes alba ssp. alba","white meadowfoam","Gerald D. Carr","","May 27, 2009","2009","Benton","OSU Hyslop Crop Science Field Lab, 3455 NE Granger Avenue, northeast of Corvallis; 44.6337&#176; N -123.19762&#176; W","44.6337","-123.1976","","","","Limnanthes alba Hartw. ex Benth. ssp. alba "
"observation","396502","Limnanthaceae","Limnanthes alba","white meadowfoam","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","16 May 2007","2007","Lane","Sensitive species - location undisclosed","43.9000","-122.8000","","","","Limnanthes alba Hartw. ex Benth. "
"image","dig28142","Limnanthaceae","Limnanthes pumila ssp. pumila","dwarf woolly meadowfoam","Gerald D. Carr","","April 19, 2011","2011","Jackson","Sensitive species - location undisclosed","42.5000","-122.9000","620","","","Limnanthes pumila Howell ssp. pumila "
"observation","396313","Limnanthaceae","Limnanthes alba","white meadowfoam","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","16 May 2007","2007","Lane","Sensitive species - location undisclosed","44.0000","-122.9000","","","","Limnanthes alba Hartw. ex Benth. "
"image","dig21230","Limnanthaceae","Limnanthes alba ssp. alba","white meadowfoam","Gerald D. Carr","","May 27, 2009","2009","Benton","OSU Hyslop Crop Science Field Lab, 3455 NE Granger Avenue, northeast of Corvallis; 44.6337&#176; N -123.19762&#176; W","44.6337","-123.1976","","","","Limnanthes alba Hartw. ex Benth. ssp. alba "
"observation","10085492","Limnanthaceae","Limnanthes alba ssp. alba","white meadowfoam","R.E. Brainerd","","20 May 2004","2004","Lane","Unaccessioned specimen: Brainerd, R. #403","43.8519","-122.6605","293","Gravelly roadside, full sun.","","Limnanthes alba Hartw. ex Benth. ssp. alba "
"image","dig27775","Limnanthaceae","Floerkea proserpinacoides","false mermaid","Gerald D. Carr","","July 20, 2011","2011","Jefferson","Prairie Farm Meadow, immediately southwest of junction of NFD Road 1490  and SW Green Ridge Road; 1350m","44.5552","-121.5897","1350","","","Floerkea proserpinacoides Willd. "
