"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","354642","Linaceae","Linum bienne","pale flax, narrow leaved flax","Wilson, B., Otting, N.","","30 June 2003","2003","Douglas","Deadman's Butte","43.6225","-123.4472","493","","","Linum bienne Mill. "
"image","dig12664","Linaceae","Hesperolinon micranthum","small flowered white flax, little white flax","Keir Morse","","May 31, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I163; 42.2961270361&#176; N -123.647995228&#176; W","42.2961","-123.6480","","","","Hesperolinon micranthum (A. Gray) Small "
"observation","336668","Linaceae","Linum perenne","blue garden flax, perennial flax","Halvorson, R.","","17 May 2006","2006","Crook","16S 17E 14","44.1821","-120.6571","","","","Linum perenne L. "
"image","dig35770","Linaceae","Linum perenne","blue garden flax, perennial flax","Gerald D. Carr","","July 11, 2013","2013","Crook","Hwy 26, 0.7 mi. E of Mack Dr., ca. 5.3 mi. E of Prineville; 963m; 44.30226&#176; N -120.71627&#176; W","44.3023","-120.7163","963","","","Linum perenne L. "
"observation","355050","Linaceae","Linum bienne","pale flax, narrow leaved flax","Wilson, B., Otting, N.","","2 July 2008","2008","Douglas","China Ditch loop, near and northwest of junction with road 11.1","43.1492","-123.1356","629","","","Linum bienne Mill. "
"observation","352143","Linaceae","Linum bienne","pale flax, narrow leaved flax","Wilson, B.","","2008","2008","Lincoln","Salmon Creek Road and Hwy 20","44.6177","-123.7304","47","","","Linum bienne Mill. "
"observation","323234","Linaceae","Linum bienne","pale flax, narrow leaved flax","Wilson, B.","","22 July 2007","2007","Coos","Mars Street, S of Bandon","43.0883","-124.4328","11","","","Linum bienne Mill. "
"image","dig4187","Linaceae","Linum perenne","blue garden flax, perennial flax","Bruce Neil Newhouse","","June 29, 2002","2002","Deschutes","Indian Ford","44.3604","-121.5798","","","","Linum perenne L. "
"observation","190129","Linaceae","Linum perenne","blue garden flax, perennial flax","Koenig, J.","","19 July 2002","2002","Clackamas","Table Rock Wilderness","44.9552","-122.3285","1387","","","Linum perenne L. "
"observation","353344","Linaceae","Linum bienne","pale flax, narrow leaved flax","Wilson, B.","","21 June 2008","2008","Douglas","Junction of Hwy 138 & Tyee Road","43.4753","-123.4827","78","","","Linum bienne Mill. "
"image","dig35763","Linaceae","Linum perenne","blue garden flax, perennial flax","Gerald D. Carr","","July 11, 2013","2013","Crook","Hwy 26, 0.7 mi. E of Mack Dr., ca. 5.3 mi. E of Prineville; 963m; 44.30226&#176; N -120.71627&#176; W","44.3023","-120.7163","963","","","Linum perenne L. "
"image","dig16985","Linaceae","Hesperolinon micranthum","small flowered white flax, little white flax","Gerald D. Carr","","June 13, 2008","2008","Josephine","NFD Road 4201, north of confluence of Josephine Creek and Illinois River, west of Highway 199; 42.24494&#176; N -123.68424&#176; W","42.2449","-123.6842","","","","Hesperolinon micranthum (A. Gray) Small "
"observation","311966","Linaceae","Linum bienne","pale flax, narrow leaved flax","Brainerd, R., Newhouse, B., Lytjen, D., Otting, N.","","2004","2004","Lane","Green Island - Brainerd, Newhouse, Lytjen, Otting","44.1596","-123.1255","","","","Linum bienne Mill. "
"observation","355615","Linaceae","Linum bienne","pale flax, narrow leaved flax","Wilson, B.","","23 July 2008","2008","Douglas","Goodrich Highway - Wilson","43.4680","-123.3117","151","","","Linum bienne Mill. "
"observation","385734","Linaceae","Linum bienne","pale flax, narrow leaved flax","Wilson, B.","","11 June 2010","2010","Linn","Intersection of Courtney Lane and Timber Lane","44.3459","-122.9367","118","","","Linum bienne Mill. "
"observation","181521","Linaceae","Sclerolinon digynum","northwestern yellow flax","Battaile, J., Battaile, C.","","2 August 2002","2002","Klamath","Clover Creek Rd MP 12","42.2133","-122.0583","1305","","","Sclerolinon digynum (A. Gray) C.M. Rogers "
"observation","327658","Linaceae","Hesperolinon micranthum","small flowered white flax, little white flax","Morse, K.","","19 July 2007","2007","Josephine","Deer Creek Center - North","42.2998","-123.6572","456","","","Hesperolinon micranthum (A. Gray) Small "
"observation","396697","Linaceae","Linum bienne","pale flax, narrow leaved flax","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","7 July 2008","2008","Lane","Highway 58, mile post 18 to 19","43.8784","-122.7039","","","","Linum bienne Mill. "
"observation","413065","Linaceae","Linum bienne","pale flax, narrow leaved flax","Newhouse, B.","","2011","2011","Lane","Clearwater Park","44.0296","-122.9421","146","","","Linum bienne Mill. "
"observation","397313","Linaceae","Linum bienne","pale flax, narrow leaved flax","Wilson, B., Brainerd, R., Newhouse, B., Otting, N.","","7 July 2008","2008","Lane","Highway 58, mile post 39 to 40","43.7313","-122.4048","","","","Linum bienne Mill. "
"image","dig35771","Linaceae","Linum perenne","blue garden flax, perennial flax","Gerald D. Carr","","July 11, 2013","2013","Crook","Hwy 26, 0.7 mi. E of Mack Dr., ca. 5.3 mi. E of Prineville; 963m; 44.30226&#176; N -120.71627&#176; W","44.3023","-120.7163","963","","","Linum perenne L. "
"observation","322537","Linaceae","Linum bienne","pale flax, narrow leaved flax","Otting, N., Wilson, B.","","21 June 2007","2007","Douglas","Bland Mountain Fire, creek crossing","42.9496","-123.1054","299","","","Linum bienne Mill. "
"observation","414856","Linaceae","Linum bienne","pale flax, narrow leaved flax","Newhouse, B.","","2004","2004","Benton","BLM Maxfield - Pit Road Meadow","44.6887","-123.4008","218","","","Linum bienne Mill. "
"image","dig12665","Linaceae","Hesperolinon micranthum","small flowered white flax, little white flax","Keir Morse","","May 31, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I163; 42.2961270361&#176; N -123.647995228&#176; W","42.2961","-123.6480","","","","Hesperolinon micranthum (A. Gray) Small "
"observation","352004","Linaceae","Linum bienne","pale flax, narrow leaved flax","Otting, N., Wilson, B.","","2008","2008","Douglas","Island Creek Recreation Area","42.9133","-123.4800","226","","","Linum bienne Mill. "
"observation","307099","Linaceae","Linum bienne","pale flax, narrow leaved flax","Wilson, B., Brainerd, R.","","18 August 2006","2006","Benton","Rock Creek Watershed: along Old Peak Road #2","44.5365","-123.4902","","","","Linum bienne Mill. "
"observation","322385","Linaceae","Linum bienne","pale flax, narrow leaved flax","Otting, N., Wilson, B.","","21 June 2007","2007","Douglas","Lee Creek Road and I-5","43.6583","-123.2046","146","","","Linum bienne Mill. "
"observation","352844","Linaceae","Linum bienne","pale flax, narrow leaved flax","Wilson, B.","","18 June 2008","2008","Douglas","Road 31-5-13.1, site 3","42.8827","-123.2347","601","","","Linum bienne Mill. "
"observation","322466","Linaceae","Linum bienne","pale flax, narrow leaved flax","Otting, N., Wilson, B.","","21 June 2007","2007","Douglas","Snively Creek Road","42.9576","-123.1753","91","","","Linum bienne Mill. "
"image","dig35767","Linaceae","Linum perenne","blue garden flax, perennial flax","Gerald D. Carr","","July 11, 2013","2013","Crook","Hwy 26, 0.7 mi. E of Mack Dr., ca. 5.3 mi. E of Prineville; 963m; 44.30226&#176; N -120.71627&#176; W","44.3023","-120.7163","963","","","Linum perenne L. "
