"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig21353","Loasaceae","Mentzelia albicaulis","whitestem blazingstar","Gerald D. Carr","","June 17, 2009","2009","Deschutes","Innes Market Rd., ca. 1.0 mi. E of Hwy. 20, ca. 10 mi. SE of Sisters; 1000m","44.198400","-121.380700","1000","","","Mentzelia albicaulis (Douglas ex Hook.) Douglas ex Torr. & A. Gray "
"image","dig21354","Loasaceae","Mentzelia albicaulis","whitestem blazingstar","Gerald D. Carr","","June 18, 2009","2009","Deschutes","Innes Market Road, ca. 1.0 mi. east of Highway 20, ca. 10 mi. southeast of Sisters; 1000m","44.1984","-121.3807","1000","","","Mentzelia albicaulis (Douglas ex Hook.) Douglas ex Torr. & A. Gray "
"image","dig28358","Loasaceae","Mentzelia veatchiana","Veatch's mentzelia, whitestem blazingstar","Gerald D. Carr","","June 16, 2011","2011","Deschutes","Innes Market Road, 0.3 mi. east of Highway 20, ca. 10.3 mi. southeast of Sisters; 988m; 44.19629&#176; N -121.3927&#176; W","44.1963","-121.3927","988","","","Mentzelia veatchiana Kellogg "
"image","dig34398","Loasaceae","Mentzelia albicaulis","whitestem blazingstar","Tanya Harvey","","June 14, 2011","2011","Lake","Fort Rock; T25S R14E S29","43.3778","-121.0640","","","","Mentzelia albicaulis (Douglas ex Hook.) Douglas ex Torr. & A. Gray "
"observation","400660","Loasaceae","Mentzelia laevicaulis var. laevicaulis","smoothstem blazingstar, great mentzelia","Wilson, B., Otting, N.","","24 July 2009","2009","Crook","Highway 380, Prineville to Paulina, mile post 15 to 16","44.1899","-120.6470","","","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray var. laevicaulis "
"image","dig25020","Loasaceae","Mentzelia dispersa","bushy mentzelia","Gerald D. Carr","","July 5, 2010","2010","Wheeler","Highway 19, 3.0 mi. north of junction with W 1st Street, Fossil; 945m; 45.03384&#176; N -120.20539&#176; W","45.0338","-120.2054","945","","","Mentzelia dispersa S. Watson "
"observation","430371","Loasaceae","Mentzelia albicaulis","whitestem blazingstar","Schuller, R., Halvorson, R.","","April 2009","2009","Lake","Benjamin RNA","43.5936","-120.3663","1500","forest","","Mentzelia albicaulis (Douglas ex Hook.) Douglas ex Torr. & A. Gray "
"image","dig43266","Loasaceae","Mentzelia laevicaulis var. laevicaulis","smoothstem blazingstar, great mentzelia","Paul Slichter","","May 12, 2012","2012","Gilliam","Calliche soils west of Arlington, Oregon.; 338m; T03N R20E S32","45.6977","-120.3423","338","","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray var. laevicaulis "
"observation","400747","Loasaceae","Mentzelia laevicaulis var. laevicaulis","smoothstem blazingstar, great mentzelia","Wilson, B., Otting, N.","","24 July 2009","2009","Crook","Highway 380, Prineville to Paulina, mile post 21 to 22","44.1761","-120.5391","","","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray var. laevicaulis "
"observation","140803","Loasaceae","Mentzelia laevicaulis","smoothstem blazingstar","Heinze, D.","","3 August 2003","2003","Josephine","Star Flat, Heinze","42.2841","-123.6731","354","herbland, savanna","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray "
"observation","323027","Loasaceae","Mentzelia albicaulis","whitestem blazingstar","Otting, N., Wilson, B.","","22 June 2007","2007","Klamath","Seven Mile Creek; intersection of road 3300 and the highway","42.6676","-122.0846","1277","","","Mentzelia albicaulis (Douglas ex Hook.) Douglas ex Torr. & A. Gray "
"image","dig25042","Loasaceae","Mentzelia laevicaulis var. laevicaulis","smoothstem blazingstar, great mentzelia","Gerald D. Carr","","September 8, 2010","2010","Josephine","NFD Road 4103, 3.3 mi. west of Highway 199, Selma; 427m","42.2841","-123.6730","427","","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray var. laevicaulis "
"image","dig13154","Loasaceae","Mentzelia laevicaulis var. laevicaulis","smoothstem blazingstar, great mentzelia","Keir Morse","","July 13, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I141; 42.2731987726&#176; N -123.634857533&#176; W","42.2732","-123.6349","","","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray var. laevicaulis "
"observation","243782","Loasaceae","Mentzelia albicaulis","whitestem blazingstar","Battaile, C., Battaile, J.","","22 June 2003","2003","Klamath","Williamson River Road","42.7667","-121.7167","1311","","","Mentzelia albicaulis (Douglas ex Hook.) Douglas ex Torr. & A. Gray "
"image","dig28357","Loasaceae","Mentzelia veatchiana","Veatch's mentzelia, whitestem blazingstar","Gerald D. Carr","","June 16, 2011","2011","Deschutes","Highway 126, 3.1 mi. east of Sisters; 957m; 44.29162&#176; N -121.49049&#176; W","44.2916","-121.4905","957","","","Mentzelia veatchiana Kellogg "
"image","dig13155","Loasaceae","Mentzelia laevicaulis var. laevicaulis","smoothstem blazingstar, great mentzelia","Keir Morse","","August 11, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I141; 42.2731987726&#176; N -123.634857533&#176; W","42.2732","-123.6349","","","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray var. laevicaulis "
"observation","181592","Loasaceae","Mentzelia dispersa","bushy mentzelia","Battaile, J., Battaile, C.","","28 May 2002","2002","Klamath","Clover Creek vernal pool","42.1650","-121.9983","1247","","","Mentzelia dispersa S. Watson "
"image","dig13152","Loasaceae","Mentzelia laevicaulis var. laevicaulis","smoothstem blazingstar, great mentzelia","Keir Morse","","July 13, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I141; 42.2731987726&#176; N -123.634857533&#176; W","42.2732","-123.6349","","","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray var. laevicaulis "
"image","dig25021","Loasaceae","Mentzelia dispersa","bushy mentzelia","Gerald D. Carr","","July 5, 2010","2010","Wheeler","Highway 19, 3.0 mi. north of junction with W 1st Street, Fossil; 945m","45.0338","-120.2054","945","","","Mentzelia dispersa S. Watson "
"image","dig28362","Loasaceae","Mentzelia veatchiana","Veatch's mentzelia, whitestem blazingstar","Gerald D. Carr","","June 16, 2011","2011","Deschutes","Innes Market Road, 0.3 mi. east of Highway 20, ca. 10.3 mi. southeast of Sisters; 988m; 44.19629&#176; N -121.3927&#176; W","44.1963","-121.3927","988","","","Mentzelia veatchiana Kellogg "
"observation","181591","Loasaceae","Mentzelia albicaulis","whitestem blazingstar","Battaile, J., Battaile, C.","","30 June 2002","2002","Klamath","Clover Creek vernal pool","42.1650","-121.9983","1247","","","Mentzelia albicaulis (Douglas ex Hook.) Douglas ex Torr. & A. Gray "
"observation","381390","Loasaceae","Mentzelia laevicaulis var. laevicaulis","smoothstem blazingstar, great mentzelia","Wilson, B.","","13 September 2007","2007","Wheeler","Meyers Canyon - Wilson","44.6174","-120.2030","679","","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray var. laevicaulis "
"observation","324728","Loasaceae","Mentzelia albicaulis","whitestem blazingstar","BLM Botanist","","2007","2007","Lake","Benjamin Research Natural Area","43.5936","-120.3663","","","","Mentzelia albicaulis (Douglas ex Hook.) Douglas ex Torr. & A. Gray "
"image","dig25039","Loasaceae","Mentzelia laevicaulis var. laevicaulis","smoothstem blazingstar, great mentzelia","Gerald D. Carr","","September 8, 2010","2010","Josephine","NFD Road 4103, 3.3 mi. west of Highway 199, Selma; 427m; 42.28415&#176; N -123.67303&#176; W","42.2841","-123.6730","427","","","Mentzelia laevicaulis (Douglas ex Hook.) Torr. & A. Gray var. laevicaulis "
