"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"obs","dig7796","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Bruce Neil Newhouse","","August 12, 2003","2003","Linn","Gordon Meadows","44.363900","-122.308100","","","","Diphasiastrum sitchense (Rupr.) Holub "
"observation","370712","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Harvey, T.","","13 September 2007","2007","Marion","Pigeon Prairie and Little Pigeon Prairie","44.7207","-121.9373","1094","","","Lycopodium clavatum L. "
"observation","312406","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Brainerd, R., Kuykendall, K., Newhouse, B., Lippert, J., Smith, A.","","2003","2003","Linn","Gordon Meadows","44.3663","-122.2938","","","","Lycopodium clavatum L. "
"observation","372451","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Harvey, T.","","2 October 2003","2003","Lane","Lillian Falls-Black Creek","43.7033","-122.0912","1036","","","Diphasiastrum sitchense (Rupr.) Holub "
"observation","303373","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Newhouse, B., Blakeley-Smith, M.","","11 August 2005","2005","Lane","Meadow 64; Southeast of Vivian Lake","43.5790","-122.1434","1646","","","Diphasiastrum sitchense (Rupr.) Holub "
"observation","379336","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Bluhm, W., Myers, E.","","July 2010","2010","Marion","Elkhorn Mountain area","44.8203","-122.3093","457","","","Lycopodium clavatum L. "
"observation","374490","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Harvey, T.","","2003 - 2013","2003","Linn","Bruno Meadows: Harvey","44.6477","-122.0028","1244","","","Lycopodium clavatum L. "
"observation","421075","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Harvey, T.","","2010 - 2013","2010","Douglas","Hills Peak","43.4096","-122.1882","1509","","","Diphasiastrum sitchense (Rupr.) Holub "
"image","dig21311","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Gerald D. Carr","","September 11, 2007","2007","Linn","NFD Road 11, ca. 11.9 mi. east of Lone Star; 44.57434&#176; N -122.12262&#176; W","44.5743","-122.1226","","","","Lycopodium clavatum L. "
"image","dig35823","Lycopodiaceae","Lycopodiella inundata","northern bog clubmoss, northern marsh clubmoss","Gerald D. Carr","","September 28, 2013","2013","Lane","Sensitive species - location undisclosed","44.1000","-124.1000","5","","","Lycopodiella inundata (L.) Holub "
"image","dig24978","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Gerald D. Carr","","July 14, 2010","2010","Clackamas","Trail 724 to Black Wolf Meadows/Anvil Lake, NFD Road 160, 14.2 mi. north of Ripplebrook via NFD Roads 57 and 58; 1265m; 45.14749&#176; N -121.86431&#176; W","45.1475","-121.8643","1265","","","Lycopodium clavatum L. "
"image","dig21313","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Gerald D. Carr","","September 11, 2007","2007","Linn","NFD Road 11, ca. 11.9 mi. east of Lone Star; 44.57434&#176; N -122.12262&#176; W","44.5743","-122.1226","","","","Lycopodium clavatum L. "
"observation","317699","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","BLM Botanist","","2007","2007","Benton","Grass Mountain Research Natural Area","44.4244","-123.6751","","","","Lycopodium clavatum L. "
"image","dig21314","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Gerald D. Carr","","September 11, 2007","2007","Linn","NFD Road 11, ca. 11.9 mi. east of Lone Star; 44.57434&#176; N -122.12262&#176; W","44.5743","-122.1226","","","","Lycopodium clavatum L. "
"observation","310657","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Brainerd, R., Newhouse, B.","","2004 - 2005","2004","Clackamas or Multnomah","Lower Bull Run Watershed","45.4731","-122.1036","232","","","Lycopodium clavatum L. "
"observation","374195","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Harvey, T.","","2004 - 2010","2004","Marion","Whetstone Mountain Trail: Harvey","44.8661","-122.2021","1204","","","Diphasiastrum sitchense (Rupr.) Holub "
"observation","10085427","Lycopodiaceae","Lycopodiella inundata","northern bog clubmoss, northern marsh clubmoss","R.E. Brainerd","","30 August 2005","2005","Lane","Sensitive species - location undisclosed","44.0000","-122.0000","1417","Wet meadow with Sphagnum mounds and s...","","Lycopodiella inundata (L.) Holub "
"observation","206897","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Bluhm, W.","","15 July 2004","2004","Clackamas","West Goodfellow Lake Meadow","45.4234","-121.9706","869","","","Lycopodium clavatum L. "
"observation","332817","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Bluhm, W.","","August 2008","2008","Tillamook","Kings and Elk Mountains","45.6167","-123.4985","244","","","Lycopodium clavatum L. "
"observation","412382","Lycopodiaceae","Lycopodiella inundata","northern bog clubmoss, northern marsh clubmoss","Newhouse, B.","","5 September 2008","2008","Curry","Sensitive species - location undisclosed","42.9000","-124.5000","37","","","Lycopodiella inundata (L.) Holub "
"image","dig41403","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Gerald D. Carr","","July 1, 2015","2015","Multnomah","Latourell Prairie, ca. 0.1 mi. N of Boody Lake, Bull Run watershed, ca. 1.8 air mi. WSW of Mt. Talapus; 917m; 45.5542&#176; N -122.00341&#176; W","45.5542","-122.0034","917","","","Diphasiastrum sitchense (Rupr.) Holub "
"observation","10084914","Lycopodiaceae","Huperzia occidentalis","western firmoss, western clubmoss","R.E. Brainerd","","8 March 2005","2005","Multnomah","Unaccessioned specimen: Brainerd, R. #564","45.4664","-122.1434","610","Margins of logged cedar swamp in part...","","Huperzia occidentalis (Clute) Kartesz & Gandhi "
"observation","374866","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Harvey, T.","","2005 - 2014","2005","Marion","Hawk Mountain","44.8518","-121.9372","1393","","","Diphasiastrum sitchense (Rupr.) Holub "
"observation","351084","Lycopodiaceae","Lycopodiella inundata","northern bog clubmoss, northern marsh clubmoss","ORBIC","","30 August 2005","2005","Lane","Sensitive species - location undisclosed","44.0000","-122.0000","1417","","","Lycopodiella inundata (L.) Holub "
"image","dig41408","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Gerald D. Carr","","July 1, 2015","2015","Multnomah","Latourell Prairie; 917m; 45.5542&#176; N -122.00341&#176; W","45.5542","-122.0034","917","","","Diphasiastrum sitchense (Rupr.) Holub "
"image","dig35824","Lycopodiaceae","Lycopodiella inundata","northern bog clubmoss, northern marsh clubmoss","Gerald D. Carr","","September 28, 2013","2013","Lane","Sensitive species - location undisclosed","44.1000","-124.1000","5","","","Lycopodiella inundata (L.) Holub "
"image","dig35825","Lycopodiaceae","Lycopodiella inundata","northern bog clubmoss, northern marsh clubmoss","Gerald D. Carr","","September 28, 2013","2013","Lane","Sensitive species - location undisclosed","44.1000","-124.1000","5","","","Lycopodiella inundata (L.) Holub "
"observation","360071","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Bluhm, W., Marttala, V.","","2004 - 2008","2004","[Unknown]","Bull Run Watershed","45.4541","-122.0145","213","","","Diphasiastrum sitchense (Rupr.) Holub "
"observation","197546","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Bluhm, W., Myers, E.","","2003","2003","Marion","Opal Lake and Trail","44.7935","-122.2232","1018","","","Lycopodium clavatum L. "
"observation","192737","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Bluhm, W.","","2003","2003","Marion","Phantom Natural Bridge","44.7790","-122.2234","1219","","","Lycopodium clavatum L. "
"observation","380191","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Bluhm, W., Myers, E.","","August 2010","2010","Marion","South Breitenbush Gorge Trail 3366","44.7672","-121.9321","744","","","Lycopodium clavatum L. "
"observation","226370","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Mt. Hood NF botanist","","31 July 2003","2003","Clackamas","Township Meadows","45.4338","-121.9991","914","","","Lycopodium clavatum L. "
"observation","201269","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Harvey, T.","","2003 - 2005","2003","Linn","Crescent Mountain: Harvey","44.4399","-122.0586","1140","","","Lycopodium clavatum L. "
"observation","225845","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Mt. Hood NF botanist","","15 July 2004","2004","Clackamas","west end of West Goodfellow Lake (2); 02S 07E 05 NW SE","45.4240","-121.9740","878","","","Lycopodium clavatum L. "
"image","dig21315","Lycopodiaceae","Lycopodiella inundata","northern bog clubmoss, northern marsh clubmoss","Gerald D. Carr","","July 9, 2009","2009","Lane","Sensitive species - location undisclosed","44.1000","-124.1000","","","","Lycopodiella inundata (L.) Holub "
"observation","295729","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Otting, N., Wilson, B.","","24 August 2005","2005","Clackamas","Bull Run Watershed: intersection of roads 10 and 1000524","45.4581","-121.8823","849","","","Lycopodium clavatum L. "
"observation","368476","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Harvey, T.","","5 August 2004","2004","Marion","French Creek Ridge ","44.7934","-122.1824","1244","","","Diphasiastrum sitchense (Rupr.) Holub "
"image","dig14920","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Bruce Neil Newhouse","","August 17, 2006","2006","Multnomah","Bull Run","45.4814","-121.9556","","","","Diphasiastrum sitchense (Rupr.) Holub "
"image","dig14918","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Bruce Neil Newhouse","","August 17, 2006","2006","Multnomah","Bull Run","45.4814","-121.9556","","","","Diphasiastrum sitchense (Rupr.) Holub "
"image","dig14919","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Bruce Neil Newhouse","","August 17, 2006","2006","Multnomah","Bull Run","45.4814","-121.9556","","","","Diphasiastrum sitchense (Rupr.) Holub "
"observation","419400","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Harvey, T.","","2002 - 2013","2002","Lane","Saddleblanket Mountain and wetlands","43.9030","-122.5191","1311","","","Lycopodium clavatum L. "
"image","dig41410","Lycopodiaceae","Diphasiastrum sitchense","Alaska clubmoss, Sitka clubmoss","Gerald D. Carr","","July 1, 2015","2015","Multnomah","Latourell Prairie, just NE of Boody Lake, Bull Run watershed, ca. 1.8 air mi. WSW of Mt. Talapus; 920m","45.5524","-122.0032","920","","","Diphasiastrum sitchense (Rupr.) Holub "
"observation","421885","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Harvey, T.","","2013","2013","Lane","Elk Camp and Nevergo Meadow","43.8876","-122.5978","1347","","","Lycopodium clavatum L. "
"observation","197960","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Brainerd, R., Newhouse, B.","","24 July 2003","2003","Clackamas","Tamarack Quarry Expansion Site","45.3394","-121.7514","","","","Lycopodium clavatum L. "
"observation","372014","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Harvey, T.","","2004 - 2011","2004","Linn","Wolf Rock and Meadow (Lake)","44.2926","-122.1568","427","","","Lycopodium clavatum L. "
"observation","10663","Lycopodiaceae","Lycopodium clavatum","common clubmoss, stag's horn clubmoss","Bluhm, W.","","2004","2004","Marion","French Creek Ridge","44.7845","-122.1953","1219","","","Lycopodium clavatum L. "
