"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","285741","Malvaceae","Sidalcea campestris","meadow sidalcea","Wilson, B., Brainerd, R.","","2002","2002","Lane","I-5, mile 179 to 180","43.8697","-123.0143","","","","Sidalcea campestris Greene "
"observation","178836","Malvaceae","Sidalcea campestris","meadow sidalcea","Boyer, L.","","2002","2002","Lane","Camas Swale","43.9148","-123.0450","","","","Sidalcea campestris Greene "
"observation","351666","Malvaceae","Iliamna latibracteata","broad bracted globemallow, California globemallow","ORBIC","","18 October 2007","2007","Jackson","Sensitive species - location undisclosed","42.7000","-122.7000","609","","","Iliamna latibracteata Wiggins "
"image","dig36329","Malvaceae","Sidalcea hirtipes","hairy stemmed checkermallow","Gerald D. Carr","","June 17, 2013","2013","Clatsop","Sensitive species - location undisclosed","46.0000","-123.7000","732","","","Sidalcea hirtipes C.L. Hitchc. "
"observation","351060","Malvaceae","Sidalcea nelsoniana","Nelson's checkermallow","ORBIC","","2005","2005","Clatsop","Sensitive species - location undisclosed","45.9000","-123.6000","","","","Sidalcea nelsoniana Piper "
"observation","424435","Malvaceae","Sidalcea cusickii","Cusick's sidalcea, Cusick's checkermallow","Newhouse, B., Brainerd, R.","","11 August 2007","2007","Lane","Meadow North of Upper Salmon Lake","43.7579","-122.1059","1494","","","Sidalcea cusickii Piper "
"observation","284682","Malvaceae","Sidalcea campestris","meadow sidalcea","Wilson, B., Brainerd, R.","","2005","2005","Linn","I-5, mile 223 to 224","44.4891","-123.0616","","","","Sidalcea campestris Greene "
"observation","283969","Malvaceae","Sidalcea campestris","meadow sidalcea","Wilson, B., Newhouse, B.","","2002","2002","Marion","I-5, mile 246 to 247","44.8180","-123.0222","","","","Sidalcea campestris Greene "
"image","dig43831","Malvaceae","Sidalcea hickmanii ssp. petraea","Hickman's checkerbloom","Richard R. Halse","","June 11, 2009","2009","Jackson","Top of Neil Rock, ca. 14 air miles north northwest of Medford.; 45.54145&#176; N -122.96996&#176; W","45.5414","-122.9700","","","","Sidalcea hickmanii Greene ssp. petraea S.R. Hill & R. Halse "
"observation","376528","Malvaceae","Sidalcea malviflora ssp. virgata","rose sidalcea, rose checkermallow","Newhouse, B., Brainerd, R.","","2007","2007","Lane","Meisen Property","44.0004","-123.1231","242","","","Sidalcea malviflora (DC.) A. Gray ex Benth. ssp. virgata (Howell) C.L. Hitchc. "
"observation","309547","Malvaceae","Sidalcea campestris","meadow sidalcea","Salix Associates","","June 2006","2006","Benton","Owens Farm","44.6143","-123.2487","","","","Sidalcea campestris Greene "
"observation","414360","Malvaceae","Sidalcea malviflora ssp. virgata","rose sidalcea, rose checkermallow","Newhouse, B.","","20 February 2006","2006","Lane","SE Springfield Private Site in T18S R02W","44.0291","-122.9193","","","","Sidalcea malviflora (DC.) A. Gray ex Benth. ssp. virgata (Howell) C.L. Hitchc. "
"image","dig41802","Malvaceae","Malva neglecta","common mallow, cheeseweed, dwarf mallow","Gerald D. Carr","","July 31, 2015","2015","Curry","W edge of Lower Parking Lot of Harris Beach State Park, NW of Brookings; 11m; 42.06862&#176; N -124.31505&#176; W","42.0686","-124.3150","11","","","Malva neglecta Wallr. "
"image","dig43838","Malvaceae","Sidalcea hickmanii ssp. petraea","Hickman's checkerbloom","Richard R. Halse","","June 11, 2009","2009","Jackson","Top of Neil Rock, ca. 14 air miles north northwest of Medford.; 45.54145&#176; N -122.96996&#176; W","45.5414","-122.9700","","","","Sidalcea hickmanii Greene ssp. petraea S.R. Hill & R. Halse "
"observation","354227","Malvaceae","Sidalcea oregana","Oregon checkermallow","Wilson, B., Otting, N.","","11 July 2008","2008","Lake","Sensitive species - location undisclosed","42.1000","-120.2000","1827","","","Sidalcea oregana (Nutt. ex Torr. & A. Gray) A. Gray "
"observation","243168","Malvaceae","Sidalcea malviflora ssp. patula","mallow sidalcea","ORBIC","","5 September 2003","2003","Curry","Sensitive species - location undisclosed","42.4000","-124.2000","1113","","","Sidalcea malviflora (DC.) A. Gray ex Benth. ssp. patula C.L. Hitchc. "
