"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","378852","Melanthiaceae","Xerophyllum tenax","bear-grass, western turkeybeard, beargrass","Harvey, T.","","2009 - 2013","2009","Lane","Warfield Bog and Wetlands","43.6347","-122.2423","1494","","","Xerophyllum tenax (Pursh) Nutt. "
"image","dig26187","Melanthiaceae","Toxicoscordion fremontii","Fremont's star lily, Fremont's death camas","Gerald D. Carr","","June 14, 2010","2010","Curry","Battle Rock, south of Highway 101, Port Orford; 15m","42.7418","-124.4930","15","","","Toxicoscordion fremontii (Torr.) Rydb. "
"observation","416733","Melanthiaceae","Trillium ovatum ssp. ovatum","western trillium, western wakerobin","Wood, W.","","20 April 2013","2013","Curry","Harris Beach State Park 2","42.0713","-124.3085","","","","Trillium ovatum Pursh ssp. ovatum "
"image","dig26297","Melanthiaceae","Trillium rivale","brook trillium, brook wakerobin","Gerald D. Carr","","May 12, 2010","2010","Josephine","Illinois River Bridge,  0.25 mi. southeast of, NFD Road 4201, southwest of 8 Dollar Mountain; 375m; 42.24389&#176; N -123.68654&#176; W","42.2439","-123.6865","375","","","Trillium rivale S. Watson "
"image","dig14419","Melanthiaceae","Trillium albidum ssp. albidum","giant trillium, sessile trillium","Keir Morse","","April 15, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I053; 42.2737854172&#176; N -123.634633012&#176; W","42.2738","-123.6346","","","","Trillium albidum J.D. Freeman ssp. albidum "
"observation","378043","Melanthiaceae","Trillium ovatum","western trillium","Harvey, T.","","2010","2010","Douglas","Hills Peak","43.4096","-122.1882","1509","","","Trillium ovatum Pursh "
"image","dig29366","Melanthiaceae","Veratrum insolitum","Siskiyou false-hellebore","Gerald D. Carr","","July 27, 2011","2011","Polk","Bickleton Highway, 5.2 mi. southwest of Cleveland, northwest of Goldendale; 861m; 44.92399&#176; N -123.60471&#176; W","44.9240","-123.6047","861","","","Veratrum insolitum Jeps. "
"observation","401060","Melanthiaceae","Toxicoscordion venenosum","meadow death camas, poison camas","Maze, D.","","14 May 2010","2010","Benton","Marys River, in an area E of Wren","44.5884","-123.4000","131","","","Toxicoscordion venenosum (S. Watson) Rydb. "
"observation","179424","Melanthiaceae","Trillium ovatum","western trillium","Salix Associates","","2 July 2002","2002","Lane","Owl Creek Meadow","44.1595","-122.1561","","","","Trillium ovatum Pursh "
"observation","312884","Melanthiaceae","Xerophyllum tenax","bear-grass, western turkeybeard, beargrass","Salix Associates","","July 2004","2004","Lane","Grasshopper to Chuksney Mountain Meadow # 4","43.8976","-122.1546","1494","","","Xerophyllum tenax (Pursh) Nutt. "
"observation","367642","Melanthiaceae","Veratrum viride","","Harvey, T.","","11 September 2006","2006","Lane","Cupit Mary Meadow","43.7322","-122.1112","1509","","","Veratrum viride Aiton "
"observation","296106","Melanthiaceae","Xerophyllum tenax","bear-grass, western turkeybeard, beargrass","Otting, N., Wilson, B.","","30 August 2005","2005","Multnomah","Bull Run Watershed: intersection of roads 20 and 2030000","45.5495","-122.0025","954","","","Xerophyllum tenax (Pursh) Nutt. "
"observation","360059","Melanthiaceae","Trillium ovatum ssp. ovatum","western trillium, western wakerobin","Bluhm, W., Stansell, V.","","2004 - 2006","2004","Curry","Bear Camp, Brandy Peak, & Elk Wallows","42.6117","-123.8625","","","","Trillium ovatum Pursh ssp. ovatum "
"image","dig14418","Melanthiaceae","Trillium albidum ssp. albidum","giant trillium, sessile trillium","Keir Morse","","April 15, 2007","2007","Josephine","Deer Creek Center, Selma; site code: I053; 42.2737854172&#176; N -123.634633012&#176; W","42.2738","-123.6346","","","","Trillium albidum J.D. Freeman ssp. albidum "
"observation","380953","Melanthiaceae","Trillium ovatum ssp. ovatum","western trillium, western wakerobin","Brainerd, R., Otting, N., Wilson, B.","","2009","2009","Lane","east of Lost Lake","44.4285","-121.8948","1219","","","Trillium ovatum Pursh ssp. ovatum "
"observation","374167","Melanthiaceae","Anticlea occidentalis","western stenanthium, bronze bells","Harvey, T.","","2004 - 2011","2004","Clackamas","Table Rock Wilderness Trail","44.9633","-122.3238","1036","","","Anticlea occidentalis (A. Gray) Zomlefer & Judd "
"observation","336487","Melanthiaceae","Toxicoscordion venenosum","meadow death camas, poison camas","Halvorson, R.","","20 June 2005","2005","Jefferson","10S 17E Sections 17,20,21","44.6891","-120.7117","","","","Toxicoscordion venenosum (S. Watson) Rydb. "
"observation","379438","Melanthiaceae","Xerophyllum tenax","bear-grass, western turkeybeard, beargrass","Bluhm, W., Myers, E.","","July 2010","2010","Marion","Elkhorn Mountain area","44.8203","-122.3093","457","","","Xerophyllum tenax (Pursh) Nutt. "
"observation","309570","Melanthiaceae","Toxicoscordion venenosum","meadow death camas, poison camas","Salix Associates","","June 2006","2006","Benton","Owens Farm","44.6143","-123.2487","","","","Toxicoscordion venenosum (S. Watson) Rydb. "
"observation","353990","Melanthiaceae","Veratrum californicum","false-hellebore","Wilson, B., Otting, N.","","8 July 2008","2008","Lake","Deep Creek Campground","42.0575","-120.1745","1491","","","Veratrum californicum Durand "
"observation","302373","Melanthiaceae","Veratrum viride","","Harvey, T.","","2004 - 2010","2004","Marion","Whetstone Mountain Trail: Harvey","44.8661","-122.2021","1204","","","Veratrum viride Aiton "
"observation","192782","Melanthiaceae","Xerophyllum tenax","bear-grass, western turkeybeard, beargrass","Bluhm, W.","","2003","2003","Marion","Phantom Natural Bridge","44.7790","-122.2234","1219","","","Xerophyllum tenax (Pursh) Nutt. "
"observation","301909","Melanthiaceae","Veratrum californicum","false-hellebore","Harvey, T.","","2005 - 2011","2005","Douglas","Whitehorse meadows, including Wolf Lake","43.1486","-122.4501","1603","","","Veratrum californicum Durand "
"observation","419432","Melanthiaceae","Trillium ovatum","western trillium","Harvey, T.","","2002 - 2013","2002","Lane","Saddleblanket Mountain and wetlands","43.9030","-122.5191","1311","","","Trillium ovatum Pursh "
