"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","179091","Montiaceae","Claytonia sibirica","candyflower","Boyer, L.","","2002","2002","Lane","Coburg Hills","44.1817","-123.0319","","","","Claytonia sibirica L. "
"image","dig18533","Montiaceae","Montia linearis","narrowleaf montia, lineleaf Indian lettuce","Gerald D. Carr","","March 27, 2007","2007","Wasco","Highway 30, ca. 1.1 mi. west of Rowena; 45.67647&#176; N -121.29003&#176; W","45.6765","-121.2900","","","","Montia linearis (Douglas ex Hook.) Greene "
"observation","371818","Montiaceae","Claytonia sibirica","candyflower","Harvey, T.","","2004 - 2010","2004","Lane","Winberry Creek Rd 102-150","43.8737","-122.5784","351","","","Claytonia sibirica L. "
"observation","202456","Montiaceae","Claytonia cordifolia","broad leaved springbeauty","Harvey, T.","","25 July 2003","2003","Marion","Triangulation Peak: Harvey","44.7207","-121.9373","1445","","","Claytonia cordifolia S. Watson "
"observation","372475","Montiaceae","Lewisia triphylla","threeleaf lewisia","Harvey, T.","","2003 - 2014","2003","Lane","Hell's Half Acre/Verdun Rock","43.6635","-122.1823","1356","","","Lewisia triphylla (S. Watson) B.L. Rob. "
"observation","377174","Montiaceae","Claytonia perfoliata","miner's lettuce","Harvey, T.","","2005 - 2012","2005","Linn","Deer Creek Road","44.2763","-122.0792","732","","","Claytonia perfoliata Donn ex Willd. "
"image","dig20575","Montiaceae","Claytonia cordifolia","broad leaved springbeauty","Gerald D. Carr","","July 14, 2009","2009","Hood River","Rainy Lake Trail near trailhead off NFD Road 2820, ca. 12.7 mi. NW of Dee; 1231m","45.6262","-121.7591","1231","","","Claytonia cordifolia S. Watson "
"observation","207229","Montiaceae","Montia linearis","narrowleaf montia, lineleaf Indian lettuce","Duncan, J., Plaisance, E.","","4 June 2003","2003","Lake","Blizzard Gap, 1.25 miles S of","42.0791","-119.6749","1890","forest, shrubland","","Montia linearis (Douglas ex Hook.) Greene "
"observation","299792","Montiaceae","Calyptridium umbellatum","pussypaws","Harvey, T.","","2004 - 2009","2004","Douglas","Rattlesnake Mountain","43.1069","-122.4233","1707","","","Calyptridium umbellatum (Torr.) Greene "
"observation","416008","Montiaceae","Claytonia sibirica","candyflower","Newhouse, B.","","2007","2007","Benton","Homestead #1, OSU Prairie","44.7056","-123.3087","144","","","Claytonia sibirica L. "
"observation","405471","Montiaceae","Montia parvifolia","littleleaf miners lettuce","Wilson, B., Brainerd, R.","","28 June 2011","2011","Douglas","Fall Creek Falls trailhead","43.3130","-122.8356","333","","","Montia parvifolia (Moç. ex DC.) Greene "
"observation","371571","Montiaceae","Claytonia lanceolata","western springbeauty","Harvey, T.","","2004 - 2005","2004","Douglas","Wild Rose Point","43.3715","-122.5386","1472","","","Claytonia lanceolata Pursh "
"observation","312482","Montiaceae","Claytonia sibirica","candyflower","Salix Associates","","July 2004","2004","Lane","Grasshopper to Chuksney Mountain Meadow # 1","43.9067","-122.1973","1402","","","Claytonia sibirica L. "
