binomial,count
Calandrinia ciliata,6
Calyptridium monospermum,2
Calyptridium umbellatum,42
Claytonia cordifolia,11
Claytonia exigua,22
Claytonia lanceolata,32
Claytonia parviflora,19
Claytonia perfoliata,51
Claytonia rubra,23
Claytonia saxosa,1
Claytonia sibirica,282
Lewisia columbiana,2
Lewisia cotyledon,1
Lewisia leeana,3
Lewisia nevadensis,4
Lewisia oppositifolia,2
Lewisia rediviva,4
Lewisia triphylla,28
Montia chamissoi,11
Montia dichotoma,1
Montia diffusa,1
Montia fontana,29
Montia howellii,16
Montia linearis,32
Montia parvifolia,102
