"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","291469","Moraceae","Morus alba","white mulberry","Wilson, B.","","2002","2002","Sherman","I-84, mile 107 to 108","45.6855","-120.7773","","","","Morus alba L. "
"observation","322107","Moraceae","Morus alba","white mulberry","Otting, N., Mitchell, K., Wilson, B.","","10 June 2007","2007","Malheur","Ontario State Recreation Area","44.0476","-116.9734","653","","","Morus alba L. "
"observation","10086171","Moraceae","Morus alba","white mulberry","R.E. Brainerd","","22 June 2009","2009","Sherman","Unaccessioned specimen: Brainerd, R. #1507","45.6293","-120.9079","61","Disturbed area between mowed lawn and...","","Morus alba L. "
"observation","291717","Moraceae","Morus alba","white mulberry","Wilson, B.","","2002","2002","Wasco","I-84, mile 90 to 91","45.6379","-121.0893","","","","Morus alba L. "
"observation","291455","Moraceae","Morus alba","white mulberry","Wilson, B.","","2002","2002","Sherman","I-84, mile 108 to 109","45.6905","-120.7581","","","","Morus alba L. "
"image","dig25157","Moraceae","Morus alba","white mulberry","Gerald D. Carr","","July 28, 2010","2010","Wasco","The Dalles Riverside Park Nature Trail; 26m; 45.60105&#176; N -121.16124&#176; W","45.6010","-121.1612","26","","","Morus alba L. "
"observation","321953","Moraceae","Morus alba","white mulberry","Otting, N., Mitchell, K., Wilson, B.","","8 June 2007","2007","Baker","Weatherby rest area, I-84","44.4960","-117.3664","738","","","Morus alba L. "
"observation","228892","Moraceae","Morus alba","white mulberry","Wilson, B.","","2002 - 2004","2002","Gilliam","Arlington","45.7162","-120.2012","76","","","Morus alba L. "
"observation","321544","Moraceae","Morus alba","white mulberry","Otting, N., Mitchell, K., Wilson, B.","","7 June 2007","2007","Sherman","Deschutes River Recreation Area, north end","45.6287","-120.9064","58","","","Morus alba L. "
"observation","230470","Moraceae","Morus alba","white mulberry","Wilson, B.","","2002 - 2003","2002","Umatilla","Hermiston - Wilson","45.8404","-119.2895","","","","Morus alba L. "
"observation","291487","Moraceae","Morus alba","white mulberry","Wilson, B.","","2002","2002","Sherman","I-84, mile 106 to 107","45.6804","-120.7966","","","","Morus alba L. "
"observation","290581","Moraceae","Morus alba","white mulberry","Wilson, B.","","2002","2002","Morrow","I-84, mile 163 to 164","45.8371","-119.7139","","","","Morus alba L. "
"observation","10096598","Moraceae","Morus alba","white mulberry","N.J. Otting","","15 August 2012","2012","Multnomah","Unaccessioned specimen: Otting, N. #3466","45.5659","-122.7122","0","Sandy shore of lagoon.","","Morus alba L. "
"observation","229521","Moraceae","Morus alba","white mulberry","Wilson, B.","","2002 - 2012","2002","Wasco","The Dalles","45.5946","-121.1787","26","","","Morus alba L. "
"observation","290607","Moraceae","Morus alba","white mulberry","Wilson, B.","","2002","2002","Morrow","I-84, mile 162 to 163","45.8353","-119.7344","","","","Morus alba L. "
