"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","354574","Myricaceae","Myrica californica","Pacific wax myrtle, Western wax myrtle","Wilson, B.","","15 July 2008","2008","Lincoln","Beverly Beach State Park","44.7288","-124.0568","3","","","Myrica californica Cham. & Schltdl. "
"observation","299023","Myricaceae","Myrica californica","Pacific wax myrtle, Western wax myrtle","Wilson, B.","","15 July 2005","2005","Lincoln","East Devil's Lake","44.9679","-123.9962","","","","Myrica californica Cham. & Schltdl. "
"observation","386269","Myricaceae","Myrica californica","Pacific wax myrtle, Western wax myrtle","Wilson, B.","","14 July 2010","2010","Lincoln","Driftwood Beach State Park","44.4644","-124.0806","6","","","Myrica californica Cham. & Schltdl. "
"observation","329769","Myricaceae","Myrica californica","Pacific wax myrtle, Western wax myrtle","Wilson, B.","","26 April 2008","2008","Lane","Sutton Creek area","44.0679","-124.1233","","","","Myrica californica Cham. & Schltdl. "
"observation","198512","Myricaceae","Myrica gale","sweet gale","Bluhm, W., Marttala, V., Carter, B.","","1 July 2003","2003","Multnomah","Latourell Prairie, Bull Run Watershed","45.5546","-122.0119","","","","Myrica gale L. "
"image","dig41865","Myricaceae","Myrica gale","sweet gale","Gerald D. Carr","","July 1, 2015","2015","Multnomah","Latourell Prairie, cove just E of Boody Lake, Bull Run watershed, ca. 1.8 air mi. WSW of Mt. Talapus; 920m","45.5515","-122.0019","920","","","Myrica gale L. "
"observation","329817","Myricaceae","Myrica californica","Pacific wax myrtle, Western wax myrtle","Wilson, B.","","26 April 2008","2008","Lane","Cape Perpetua, Giant Spruce Trail","44.2814","-124.1053","","","","Myrica californica Cham. & Schltdl. "
"observation","308614","Myricaceae","Myrica californica","Pacific wax myrtle, Western wax myrtle","Wilson, B.","","7 September 2006","2006","Coos","Bradley Lake Boat Ramp","43.0634","-124.4230","17","","","Myrica californica Cham. & Schltdl. "
"observation","330624","Myricaceae","Myrica californica","Pacific wax myrtle, Western wax myrtle","Wilson, B.","","19 November 2007","2007","Lincoln","South Beach State Park","44.6066","-124.0634","","","","Myrica californica Cham. & Schltdl. "
"image","dig22624","Myricaceae","Myrica hartwegii","Sierra bayberry","Frank T. Callahan II","","July 29, 2010","2010","Jackson","Johnson Prairie; 1212m; 42.1864&#176; N -122.3057&#176; W","42.1864","-122.3057","1212","","","Myrica hartwegii S. Watson "
"observation","207515","Myricaceae","Myrica californica","Pacific wax myrtle, Western wax myrtle","Coquille Indian Tribe botanist","","2 July 2002","2002","Coos","Empire Watershed","43.3530","-124.2970","","","","Myrica californica Cham. & Schltdl. "
"observation","308362","Myricaceae","Myrica californica","Pacific wax myrtle, Western wax myrtle","Wilson, B.","","6 September 2006","2006","Coos","North Spit - Wilson","43.3961","-124.2917","0","","","Myrica californica Cham. & Schltdl. "
"observation","308721","Myricaceae","Myrica californica","Pacific wax myrtle, Western wax myrtle","Wilson, B.","","7 September 2006","2006","Douglas","Carter Lake boat ramp","43.8556","-124.1436","15","","","Myrica californica Cham. & Schltdl. "
"observation","409814","Myricaceae","Myrica californica","Pacific wax myrtle, Western wax myrtle","Wilson, B.","","9 June 2012","2012","Lincoln","Ona Beach State Park","44.5214","-124.0704","3","","","Myrica californica Cham. & Schltdl. "
"observation","305584","Myricaceae","Myrica californica","Pacific wax myrtle, Western wax myrtle","Wilson, B.","","13 July 2006","2006","Lincoln","Fogarty Creek State Park","44.8383","-124.0480","7","","","Myrica californica Cham. & Schltdl. "
