"data_type","source","family","taxon","common","collector_observer","collectors_num","date","year","county","location","lat","long","elevation (m)","habitat","phenology","taxonauths"
"observation","243075","Nyctaginaceae","Abronia umbellata var. breviflora","pink sandverbena","ORBIC","","21 November 2003","2003","Coos","Sensitive species - location undisclosed","43.1000","-124.4000","8","","","Abronia umbellata Lam. var. breviflora (Standl.) L.A. Galloway "
"image","dig19983","Nyctaginaceae","Abronia umbellata var. breviflora","pink sandverbena","Dave and Diane Bilderback","","October 12, 2009","2009","Curry","Sensitive species - location undisclosed","42.6000","-124.4000","","","","Abronia umbellata Lam. var. breviflora (Standl.) L.A. Galloway "
"image","dig19982","Nyctaginaceae","Abronia umbellata var. breviflora","pink sandverbena","Dave and Diane Bilderback","","October 12, 2009","2009","Curry","Sensitive species - location undisclosed","42.6000","-124.4000","","","","Abronia umbellata Lam. var. breviflora (Standl.) L.A. Galloway "
"observation","401935","Nyctaginaceae","Abronia umbellata","","Bilderback, D.","","7 August 2011","2011","Curry","Sensitive species - location undisclosed","42.7000","-124.5000","","","","Abronia umbellata Lam. "
"image","dig19958","Nyctaginaceae","Abronia latifolia","yellow sandverbena","Dave and Diane Bilderback","","June 3, 2009","2009","Coos","on a dune, Face Rock Wayside, 1 mi. south of, Bandon; 43.08541&#176; N -124.43504&#176; W","43.0854","-124.4350","","","","Abronia latifolia Eschsch. "
"observation","297865","Nyctaginaceae","Abronia umbellata","","Brainerd, R., Newhouse, B., Wilson, B.","","21 June 2005","2005","Lane","Sensitive species - location undisclosed","44.0000","-124.1000","","","","Abronia umbellata Lam. "
"image","dig19954","Nyctaginaceae","Abronia umbellata var. breviflora","pink sandverbena","Dave and Diane Bilderback","","June 3, 2009","2009","Coos","Sensitive species - location undisclosed","43.1000","-124.4000","","","","Abronia umbellata Lam. var. breviflora (Standl.) L.A. Galloway "
"image","dig19955","Nyctaginaceae","Abronia umbellata var. breviflora","pink sandverbena","Dave and Diane Bilderback","","June 3, 2009","2009","Coos","Sensitive species - location undisclosed","43.1000","-124.4000","","","","Abronia umbellata Lam. var. breviflora (Standl.) L.A. Galloway "
"observation","364432","Nyctaginaceae","Abronia latifolia","yellow sandverbena","Bluhm, W., BLM Botanist","","2004 - 2006","2004","Coos","New River ACEC","42.9745","-124.4623","","","","Abronia latifolia Eschsch. "
"image","dig19997","Nyctaginaceae","Abronia latifolia","yellow sandverbena","Gerald D. Carr","","June 27, 2009","2009","Tillamook","north edge of parking area for Pacific Avenue beach access, Pacific City; 45.20244&#176; N -123.96723&#176; W","45.2024","-123.9672","","","","Abronia latifolia Eschsch. "
